base,extra,test,majority,num_classes,majority_all
0.14,0.3,0.315,0.14,10,0.1
0.125,0.25,0.34,0.155,10,0.1
0.225,0.31,0.385,0.15,10,0.1
0.18,0.37,0.295,0.135,10,0.1
0.135,0.425,0.495,0.13,10,0.1
0.075,0.265,0.225,0.12,10,0.1
0.165,0.4,0.275,0.115,10,0.1
0.125,0.325,0.33,0.165,10,0.1
0.125,0.275,0.225,0.14,10,0.1
0.16,0.38,0.435,0.14,10,0.1
0.165,0.385,0.29,0.13,10,0.1
0.115,0.485,0.295,0.14,10,0.1
0.115,0.31,0.435,0.155,10,0.1
0.175,0.375,0.245,0.125,10,0.1
0.175,0.21,0.285,0.12,10,0.1
0.125,0.35,0.205,0.135,10,0.1
0.175,0.265,0.325,0.135,10,0.1
0.135,0.335,0.39,0.12,10,0.1
0.1,0.395,0.17,0.135,10,0.1
0.145,0.34,0.39,0.145,10,0.1
0.12,0.24,0.235,0.115,10,0.1
0.16,0.345,0.295,0.125,10,0.1
0.21,0.24,0.425,0.14,10,0.1
0.11,0.295,0.41,0.125,10,0.1
0.155,0.255,0.2,0.13,10,0.1
0.15,0.275,0.33,0.135,10,0.1
0.125,0.37,0.415,0.12,10,0.1
0.12,0.26,0.22,0.165,10,0.1
0.14,0.375,0.38,0.145,10,0.1
0.155,0.375,0.395,0.14,10,0.1
0.13,0.315,0.265,0.125,10,0.1
0.145,0.355,0.305,0.145,10,0.1
0.085,0.31,0.26,0.155,10,0.1
0.09,0.305,0.265,0.14,10,0.1
0.215,0.235,0.465,0.135,10,0.1
0.16,0.315,0.275,0.14,10,0.1
0.115,0.245,0.275,0.15,10,0.1
0.15,0.39,0.4,0.13,10,0.1
0.16,0.315,0.35,0.13,10,0.1
0.15,0.39,0.21,0.12,10,0.1
0.165,0.41,0.445,0.14,10,0.1
0.12,0.28,0.26,0.135,10,0.1
0.12,0.29,0.415,0.12,10,0.1
0.175,0.335,0.325,0.14,10,0.1
0.09,0.245,0.265,0.135,10,0.1
0.17,0.48,0.385,0.145,10,0.1
0.215,0.405,0.385,0.115,10,0.1
0.19,0.34,0.33,0.15,10,0.1
0.16,0.345,0.275,0.14,10,0.1
0.135,0.355,0.34,0.135,10,0.1
