base,extra,test,majority,num_classes,majority_all
0.19,0.21,0.155,0.25,6,0.2479512102153611
0.205,0.25,0.2,0.275,6,0.2479512102153611
0.17,0.155,0.175,0.24,6,0.2479512102153611
0.15,0.12,0.165,0.22,6,0.2479512102153611
0.155,0.225,0.21,0.23,6,0.2479512102153611
0.16,0.185,0.175,0.28,6,0.2479512102153611
0.165,0.215,0.205,0.295,6,0.2479512102153611
0.205,0.205,0.2,0.235,6,0.2479512102153611
0.19,0.17,0.19,0.28,6,0.2479512102153611
0.155,0.2,0.19,0.25,6,0.2479512102153611
0.205,0.125,0.145,0.26,6,0.2479512102153611
0.18,0.235,0.185,0.24,6,0.2479512102153611
0.125,0.185,0.2,0.235,6,0.2479512102153611
0.15,0.185,0.215,0.265,6,0.2479512102153611
0.14,0.225,0.23,0.245,6,0.2479512102153611
0.235,0.15,0.165,0.245,6,0.2479512102153611
0.14,0.165,0.145,0.24,6,0.2479512102153611
0.2,0.175,0.18,0.265,6,0.2479512102153611
0.175,0.205,0.165,0.245,6,0.2479512102153611
0.155,0.21,0.225,0.265,6,0.2479512102153611
0.135,0.22,0.225,0.265,6,0.2479512102153611
0.16,0.15,0.15,0.255,6,0.2479512102153611
0.21,0.185,0.16,0.24,6,0.2479512102153611
0.205,0.14,0.155,0.255,6,0.2479512102153611
0.19,0.19,0.195,0.245,6,0.2479512102153611
0.155,0.225,0.16,0.235,6,0.2479512102153611
0.18,0.17,0.155,0.26,6,0.2479512102153611
0.19,0.22,0.19,0.25,6,0.2479512102153611
0.175,0.23,0.26,0.25,6,0.2479512102153611
0.14,0.235,0.235,0.265,6,0.2479512102153611
0.275,0.23,0.215,0.25,6,0.2479512102153611
0.14,0.195,0.16,0.28,6,0.2479512102153611
0.155,0.14,0.155,0.25,6,0.2479512102153611
0.16,0.22,0.245,0.24,6,0.2479512102153611
0.14,0.195,0.195,0.26,6,0.2479512102153611
0.14,0.205,0.17,0.28,6,0.2479512102153611
0.17,0.255,0.225,0.23,6,0.2479512102153611
0.155,0.205,0.165,0.255,6,0.2479512102153611
0.195,0.145,0.225,0.255,6,0.2479512102153611
0.145,0.25,0.255,0.285,6,0.2479512102153611
0.13,0.16,0.2,0.265,6,0.2479512102153611
0.155,0.17,0.18,0.205,6,0.2479512102153611
0.165,0.17,0.16,0.23,6,0.2479512102153611
0.16,0.2,0.185,0.245,6,0.2479512102153611
0.09,0.185,0.235,0.245,6,0.2479512102153611
0.22,0.23,0.195,0.22,6,0.2479512102153611
0.155,0.17,0.175,0.29,6,0.2479512102153611
0.145,0.16,0.18,0.235,6,0.2479512102153611
0.13,0.225,0.165,0.255,6,0.2479512102153611
0.165,0.135,0.125,0.3,6,0.2479512102153611
