base,extra,test,majority,num_classes,majority_all
0.85,0.91,0.91,0.5,3,0.4950914982844072
0.795,0.89,0.865,0.515,3,0.4950914982844072
0.765,0.855,0.87,0.47,3,0.4950914982844072
0.775,0.86,0.825,0.465,3,0.4950914982844072
0.775,0.86,0.84,0.55,3,0.4950914982844072
0.81,0.885,0.88,0.45,3,0.4950914982844072
0.825,0.855,0.89,0.52,3,0.4950914982844072
0.845,0.925,0.915,0.49,3,0.4950914982844072
0.835,0.915,0.91,0.46,3,0.4950914982844072
0.84,0.91,0.89,0.46,3,0.4950914982844072
0.87,0.88,0.88,0.47,3,0.4950914982844072
0.9,0.905,0.895,0.57,3,0.4950914982844072
0.79,0.88,0.89,0.495,3,0.4950914982844072
0.84,0.9,0.91,0.515,3,0.4950914982844072
0.825,0.885,0.915,0.465,3,0.4950914982844072
0.825,0.94,0.935,0.46,3,0.4950914982844072
0.87,0.89,0.885,0.485,3,0.4950914982844072
0.8,0.875,0.88,0.475,3,0.4950914982844072
0.795,0.895,0.895,0.465,3,0.4950914982844072
0.845,0.94,0.925,0.525,3,0.4950914982844072
0.82,0.92,0.905,0.5,3,0.4950914982844072
0.795,0.845,0.865,0.53,3,0.4950914982844072
0.835,0.9,0.88,0.515,3,0.4950914982844072
0.825,0.89,0.905,0.535,3,0.4950914982844072
0.815,0.94,0.92,0.49,3,0.4950914982844072
0.795,0.905,0.895,0.48,3,0.4950914982844072
0.79,0.9,0.895,0.56,3,0.4950914982844072
0.845,0.915,0.91,0.505,3,0.4950914982844072
0.825,0.865,0.84,0.52,3,0.4950914982844072
0.775,0.885,0.88,0.495,3,0.4950914982844072
0.82,0.925,0.915,0.515,3,0.4950914982844072
0.85,0.845,0.85,0.49,3,0.4950914982844072
0.815,0.89,0.885,0.55,3,0.4950914982844072
0.85,0.88,0.86,0.495,3,0.4950914982844072
0.885,0.935,0.95,0.53,3,0.4950914982844072
0.83,0.89,0.885,0.485,3,0.4950914982844072
0.805,0.91,0.9,0.565,3,0.4950914982844072
0.845,0.87,0.865,0.46,3,0.4950914982844072
0.85,0.86,0.87,0.51,3,0.4950914982844072
0.8,0.885,0.89,0.53,3,0.4950914982844072
0.765,0.885,0.875,0.53,3,0.4950914982844072
0.855,0.91,0.905,0.49,3,0.4950914982844072
0.755,0.885,0.895,0.45,3,0.4950914982844072
0.75,0.85,0.825,0.48,3,0.4950914982844072
0.82,0.885,0.89,0.53,3,0.4950914982844072
0.84,0.885,0.89,0.52,3,0.4950914982844072
0.895,0.89,0.895,0.56,3,0.4950914982844072
0.8,0.9,0.855,0.495,3,0.4950914982844072
0.775,0.915,0.9,0.465,3,0.4950914982844072
0.86,0.895,0.92,0.505,3,0.4950914982844072
