base,extra,test,majority,num_classes,majority_all
0.205,0.195,0.2,0.29,6,0.335125
0.12,0.235,0.215,0.295,6,0.335125
0.195,0.19,0.185,0.335,6,0.335125
0.185,0.25,0.235,0.31,6,0.335125
0.15,0.14,0.12,0.345,6,0.335125
0.185,0.185,0.205,0.315,6,0.335125
0.175,0.185,0.155,0.34,6,0.335125
0.145,0.19,0.2,0.3,6,0.335125
0.24,0.195,0.2,0.315,6,0.335125
0.185,0.245,0.225,0.325,6,0.335125
0.175,0.24,0.205,0.31,6,0.335125
0.15,0.18,0.175,0.365,6,0.335125
0.195,0.205,0.195,0.33,6,0.335125
0.16,0.21,0.2,0.32,6,0.335125
0.225,0.215,0.2,0.31,6,0.335125
0.165,0.2,0.185,0.34,6,0.335125
0.215,0.165,0.155,0.355,6,0.335125
0.145,0.16,0.175,0.405,6,0.335125
0.27,0.17,0.18,0.34,6,0.335125
0.215,0.15,0.175,0.39,6,0.335125
0.23,0.16,0.19,0.34,6,0.335125
0.155,0.2,0.23,0.375,6,0.335125
0.15,0.155,0.165,0.38,6,0.335125
0.2,0.18,0.18,0.36,6,0.335125
0.195,0.15,0.145,0.36,6,0.335125
0.165,0.13,0.14,0.355,6,0.335125
0.22,0.215,0.215,0.34,6,0.335125
0.2,0.13,0.155,0.37,6,0.335125
0.23,0.17,0.215,0.37,6,0.335125
0.195,0.175,0.195,0.295,6,0.335125
0.155,0.215,0.22,0.33,6,0.335125
0.215,0.225,0.21,0.36,6,0.335125
0.23,0.14,0.14,0.33,6,0.335125
0.225,0.15,0.17,0.365,6,0.335125
0.16,0.12,0.125,0.38,6,0.335125
0.235,0.225,0.195,0.365,6,0.335125
0.185,0.215,0.21,0.32,6,0.335125
0.215,0.195,0.215,0.32,6,0.335125
0.24,0.16,0.18,0.34,6,0.335125
0.175,0.225,0.195,0.335,6,0.335125
0.23,0.17,0.14,0.34,6,0.335125
0.255,0.225,0.21,0.315,6,0.335125
0.19,0.135,0.15,0.345,6,0.335125
0.145,0.12,0.14,0.4,6,0.335125
0.205,0.175,0.18,0.37,6,0.335125
0.16,0.185,0.175,0.34,6,0.335125
0.19,0.16,0.165,0.355,6,0.335125
0.18,0.22,0.2,0.345,6,0.335125
0.16,0.165,0.14,0.36,6,0.335125
0.25,0.17,0.18,0.315,6,0.335125
