base,extra,test,majority,num_classes,majority_all
0.66,0.595,0.555,0.59,2,0.6222674986204847
0.755,0.635,0.675,0.63,2,0.6222674986204847
0.7,0.625,0.645,0.63,2,0.6222674986204847
0.735,0.63,0.615,0.605,2,0.6222674986204847
0.69,0.64,0.625,0.645,2,0.6222674986204847
0.725,0.7,0.685,0.65,2,0.6222674986204847
0.68,0.61,0.62,0.62,2,0.6222674986204847
0.685,0.635,0.64,0.62,2,0.6222674986204847
0.755,0.65,0.66,0.605,2,0.6222674986204847
0.715,0.685,0.65,0.635,2,0.6222674986204847
0.75,0.585,0.6,0.615,2,0.6222674986204847
0.775,0.615,0.58,0.65,2,0.6222674986204847
0.685,0.605,0.605,0.605,2,0.6222674986204847
0.715,0.71,0.7,0.645,2,0.6222674986204847
0.675,0.645,0.65,0.61,2,0.6222674986204847
0.655,0.645,0.64,0.64,2,0.6222674986204847
0.695,0.66,0.655,0.64,2,0.6222674986204847
0.68,0.685,0.67,0.625,2,0.6222674986204847
0.7,0.625,0.635,0.67,2,0.6222674986204847
0.73,0.67,0.65,0.665,2,0.6222674986204847
0.68,0.605,0.59,0.6,2,0.6222674986204847
0.68,0.615,0.615,0.645,2,0.6222674986204847
0.715,0.68,0.645,0.65,2,0.6222674986204847
0.715,0.685,0.685,0.63,2,0.6222674986204847
0.715,0.62,0.625,0.615,2,0.6222674986204847
0.685,0.625,0.65,0.6,2,0.6222674986204847
0.74,0.65,0.62,0.635,2,0.6222674986204847
0.76,0.64,0.63,0.665,2,0.6222674986204847
0.75,0.655,0.685,0.645,2,0.6222674986204847
0.705,0.625,0.61,0.61,2,0.6222674986204847
0.705,0.675,0.635,0.615,2,0.6222674986204847
0.745,0.68,0.66,0.63,2,0.6222674986204847
0.635,0.63,0.63,0.625,2,0.6222674986204847
0.725,0.615,0.6,0.63,2,0.6222674986204847
0.72,0.665,0.65,0.655,2,0.6222674986204847
0.71,0.66,0.655,0.625,2,0.6222674986204847
0.675,0.63,0.62,0.645,2,0.6222674986204847
0.68,0.69,0.685,0.615,2,0.6222674986204847
0.67,0.585,0.625,0.575,2,0.6222674986204847
0.77,0.745,0.75,0.685,2,0.6222674986204847
0.68,0.65,0.655,0.61,2,0.6222674986204847
0.72,0.65,0.665,0.58,2,0.6222674986204847
0.675,0.585,0.63,0.53,2,0.6222674986204847
0.68,0.605,0.565,0.575,2,0.6222674986204847
0.735,0.6,0.585,0.655,2,0.6222674986204847
0.725,0.665,0.64,0.63,2,0.6222674986204847
0.645,0.57,0.57,0.565,2,0.6222674986204847
0.675,0.635,0.61,0.56,2,0.6222674986204847
0.69,0.68,0.67,0.62,2,0.6222674986204847
0.695,0.6,0.62,0.595,2,0.6222674986204847
