base,extra,test,majority,num_classes,majority_all
0.16,0.16,0.08,0.44,4,0.4260586319218241
0.34,0.28,0.5,0.58,4,0.4260586319218241
0.14,0.1,0.1,0.42,4,0.4260586319218241
0.3,0.32,0.28,0.4,4,0.4260586319218241
0.26,0.18,0.26,0.36,4,0.4260586319218241
0.38,0.48,0.2,0.42,4,0.4260586319218241
0.2,0.32,0.2,0.5,4,0.4260586319218241
0.24,0.16,0.16,0.4,4,0.4260586319218241
0.32,0.38,0.28,0.44,4,0.4260586319218241
0.36,0.52,0.5,0.46,4,0.4260586319218241
0.28,0.14,0.16,0.44,4,0.4260586319218241
0.38,0.38,0.26,0.48,4,0.4260586319218241
0.36,0.28,0.4,0.42,4,0.4260586319218241
0.4,0.16,0.34,0.52,4,0.4260586319218241
0.28,0.24,0.3,0.44,4,0.4260586319218241
0.3,0.28,0.2,0.52,4,0.4260586319218241
0.14,0.28,0.34,0.5,4,0.4260586319218241
0.42,0.42,0.24,0.38,4,0.4260586319218241
0.3,0.38,0.28,0.46,4,0.4260586319218241
0.26,0.24,0.48,0.52,4,0.4260586319218241
0.3,0.28,0.28,0.52,4,0.4260586319218241
0.24,0.14,0.28,0.44,4,0.4260586319218241
0.22,0.32,0.1,0.6,4,0.4260586319218241
0.28,0.26,0.26,0.42,4,0.4260586319218241
0.32,0.42,0.42,0.58,4,0.4260586319218241
0.32,0.26,0.38,0.5,4,0.4260586319218241
0.24,0.32,0.34,0.44,4,0.4260586319218241
0.26,0.58,0.24,0.58,4,0.4260586319218241
0.16,0.38,0.54,0.56,4,0.4260586319218241
0.1,0.14,0.38,0.58,4,0.4260586319218241
0.22,0.26,0.42,0.42,4,0.4260586319218241
0.4,0.32,0.44,0.54,4,0.4260586319218241
0.26,0.4,0.42,0.46,4,0.4260586319218241
0.18,0.32,0.22,0.44,4,0.4260586319218241
0.32,0.32,0.3,0.36,4,0.4260586319218241
0.24,0.28,0.28,0.48,4,0.4260586319218241
0.16,0.12,0.22,0.52,4,0.4260586319218241
0.24,0.4,0.36,0.38,4,0.4260586319218241
0.38,0.3,0.24,0.42,4,0.4260586319218241
0.34,0.44,0.36,0.38,4,0.4260586319218241
0.32,0.3,0.46,0.42,4,0.4260586319218241
0.24,0.28,0.16,0.42,4,0.4260586319218241
0.24,0.4,0.36,0.38,4,0.4260586319218241
0.38,0.6,0.48,0.42,4,0.4260586319218241
0.28,0.32,0.26,0.36,4,0.4260586319218241
0.14,0.16,0.4,0.46,4,0.4260586319218241
0.3,0.42,0.4,0.44,4,0.4260586319218241
0.28,0.38,0.46,0.4,4,0.4260586319218241
0.26,0.36,0.42,0.4,4,0.4260586319218241
0.26,0.24,0.28,0.36,4,0.4260586319218241
0.42,0.36,0.3,0.44,4,0.4260586319218241
0.24,0.26,0.26,0.48,4,0.4260586319218241
0.28,0.28,0.24,0.52,4,0.4260586319218241
0.3,0.24,0.16,0.38,4,0.4260586319218241
0.18,0.12,0.38,0.42,4,0.4260586319218241
0.22,0.14,0.06,0.48,4,0.4260586319218241
0.2,0.2,0.22,0.58,4,0.4260586319218241
0.28,0.34,0.28,0.5,4,0.4260586319218241
0.08,0.14,0.14,0.4,4,0.4260586319218241
0.3,0.34,0.34,0.36,4,0.4260586319218241
0.26,0.4,0.42,0.44,4,0.4260586319218241
0.18,0.14,0.18,0.4,4,0.4260586319218241
0.34,0.28,0.38,0.52,4,0.4260586319218241
0.12,0.36,0.28,0.44,4,0.4260586319218241
0.26,0.28,0.1,0.36,4,0.4260586319218241
0.28,0.24,0.28,0.44,4,0.4260586319218241
0.18,0.4,0.12,0.42,4,0.4260586319218241
0.18,0.12,0.08,0.5,4,0.4260586319218241
0.2,0.18,0.2,0.4,4,0.4260586319218241
0.22,0.4,0.18,0.46,4,0.4260586319218241
0.12,0.26,0.3,0.4,4,0.4260586319218241
0.46,0.3,0.24,0.4,4,0.4260586319218241
0.3,0.36,0.36,0.48,4,0.4260586319218241
0.28,0.2,0.34,0.48,4,0.4260586319218241
0.28,0.3,0.14,0.52,4,0.4260586319218241
0.32,0.22,0.26,0.46,4,0.4260586319218241
0.36,0.36,0.24,0.4,4,0.4260586319218241
0.1,0.18,0.48,0.46,4,0.4260586319218241
0.16,0.3,0.14,0.44,4,0.4260586319218241
0.24,0.26,0.38,0.4,4,0.4260586319218241
0.24,0.22,0.26,0.36,4,0.4260586319218241
0.04,0.38,0.18,0.58,4,0.4260586319218241
0.26,0.48,0.12,0.54,4,0.4260586319218241
0.28,0.32,0.24,0.5,4,0.4260586319218241
0.24,0.32,0.18,0.38,4,0.4260586319218241
0.14,0.14,0.4,0.48,4,0.4260586319218241
0.18,0.3,0.32,0.46,4,0.4260586319218241
0.18,0.16,0.14,0.58,4,0.4260586319218241
0.22,0.26,0.26,0.42,4,0.4260586319218241
0.24,0.44,0.24,0.54,4,0.4260586319218241
0.2,0.42,0.34,0.42,4,0.4260586319218241
0.18,0.24,0.36,0.42,4,0.4260586319218241
0.08,0.14,0.1,0.46,4,0.4260586319218241
0.14,0.3,0.38,0.42,4,0.4260586319218241
0.2,0.36,0.14,0.54,4,0.4260586319218241
0.28,0.2,0.26,0.4,4,0.4260586319218241
0.3,0.18,0.18,0.38,4,0.4260586319218241
0.2,0.34,0.34,0.38,4,0.4260586319218241
0.16,0.16,0.16,0.48,4,0.4260586319218241
0.14,0.14,0.12,0.38,4,0.4260586319218241
