base,extra,test,majority,num_classes,majority_all
0.53,0.548,0.544,0.532,2,0.5228141513929105
0.542,0.54,0.542,0.524,2,0.5228141513929105
0.502,0.504,0.514,0.528,2,0.5228141513929105
0.46,0.5,0.494,0.576,2,0.5228141513929105
0.53,0.524,0.566,0.502,2,0.5228141513929105
0.606,0.546,0.522,0.546,2,0.5228141513929105
0.48,0.538,0.554,0.536,2,0.5228141513929105
0.546,0.528,0.548,0.522,2,0.5228141513929105
0.568,0.548,0.58,0.55,2,0.5228141513929105
0.514,0.554,0.556,0.504,2,0.5228141513929105
0.554,0.582,0.608,0.522,2,0.5228141513929105
0.58,0.542,0.528,0.534,2,0.5228141513929105
0.518,0.47,0.5,0.522,2,0.5228141513929105
0.498,0.52,0.504,0.512,2,0.5228141513929105
0.52,0.558,0.532,0.514,2,0.5228141513929105
0.474,0.522,0.49,0.52,2,0.5228141513929105
0.602,0.586,0.592,0.534,2,0.5228141513929105
0.536,0.52,0.548,0.506,2,0.5228141513929105
0.526,0.52,0.532,0.51,2,0.5228141513929105
0.504,0.51,0.486,0.52,2,0.5228141513929105
