base,extra,test,majority,num_classes,majority_all
0.668,0.764,0.504,0.504,2,0.5
0.636,0.594,0.518,0.522,2,0.5
0.752,0.778,0.762,0.506,2,0.5
0.712,0.794,0.718,0.506,2,0.5
0.678,0.798,0.726,0.51,2,0.5
0.614,0.768,0.696,0.53,2,0.5
0.644,0.804,0.754,0.508,2,0.5
0.686,0.562,0.708,0.51,2,0.5
0.658,0.608,0.646,0.506,2,0.5
0.612,0.742,0.572,0.514,2,0.5
0.654,0.77,0.636,0.516,2,0.5
0.67,0.802,0.628,0.512,2,0.5
0.66,0.744,0.774,0.53,2,0.5
0.682,0.682,0.702,0.56,2,0.5
0.694,0.664,0.79,0.53,2,0.5
0.63,0.622,0.646,0.504,2,0.5
0.676,0.714,0.716,0.526,2,0.5
0.706,0.764,0.544,0.522,2,0.5
0.702,0.816,0.752,0.548,2,0.5
0.716,0.784,0.798,0.514,2,0.5
