base,extra,test,majority,num_classes,majority_all
0.808,0.792,0.84,0.926,2,0.9298542018647143
0.722,0.716,0.824,0.936,2,0.9298542018647143
0.73,0.786,0.764,0.938,2,0.9298542018647143
0.604,0.714,0.716,0.936,2,0.9298542018647143
0.676,0.758,0.778,0.932,2,0.9298542018647143
0.614,0.794,0.834,0.938,2,0.9298542018647143
0.702,0.914,0.8,0.926,2,0.9298542018647143
0.52,0.788,0.762,0.93,2,0.9298542018647143
0.71,0.682,0.778,0.91,2,0.9298542018647143
0.698,0.746,0.852,0.928,2,0.9298542018647143
0.864,0.802,0.76,0.946,2,0.9298542018647143
0.734,0.748,0.782,0.946,2,0.9298542018647143
0.622,0.588,0.798,0.936,2,0.9298542018647143
0.602,0.616,0.838,0.916,2,0.9298542018647143
0.63,0.686,0.754,0.926,2,0.9298542018647143
0.59,0.758,0.744,0.936,2,0.9298542018647143
0.698,0.92,0.742,0.936,2,0.9298542018647143
0.714,0.826,0.834,0.926,2,0.9298542018647143
0.74,0.746,0.53,0.926,2,0.9298542018647143
0.704,0.822,0.686,0.936,2,0.9298542018647143
