base,extra,test,majority,num_classes,majority_all
0.198,0.244,0.236,0.228,5,0.2
0.278,0.346,0.352,0.222,5,0.2
0.196,0.262,0.31,0.21,5,0.2
0.252,0.302,0.296,0.226,5,0.2
0.21,0.322,0.206,0.206,5,0.2
0.196,0.206,0.274,0.222,5,0.2
0.264,0.32,0.344,0.22,5,0.2
0.246,0.314,0.354,0.216,5,0.2
0.182,0.318,0.298,0.22,5,0.2
0.206,0.2,0.206,0.214,5,0.2
0.214,0.296,0.244,0.218,5,0.2
0.198,0.232,0.308,0.222,5,0.2
0.204,0.256,0.224,0.22,5,0.2
0.204,0.316,0.232,0.224,5,0.2
0.248,0.19,0.272,0.236,5,0.2
0.2,0.312,0.332,0.252,5,0.2
0.242,0.27,0.26,0.246,5,0.2
0.224,0.336,0.19,0.224,5,0.2
0.252,0.322,0.28,0.234,5,0.2
0.234,0.364,0.36,0.212,5,0.2
