base,extra,test,majority,num_classes,majority_all
0.278,0.204,0.24,0.584,5,0.6053286584624998
0.106,0.172,0.156,0.61,5,0.6053286584624998
0.11,0.206,0.24,0.536,5,0.6053286584624998
0.124,0.192,0.204,0.594,5,0.6053286584624998
0.078,0.172,0.144,0.638,5,0.6053286584624998
0.134,0.162,0.138,0.58,5,0.6053286584624998
0.104,0.264,0.224,0.582,5,0.6053286584624998
0.206,0.2,0.268,0.606,5,0.6053286584624998
0.136,0.282,0.25,0.612,5,0.6053286584624998
0.148,0.156,0.204,0.616,5,0.6053286584624998
0.154,0.202,0.228,0.588,5,0.6053286584624998
0.156,0.202,0.186,0.624,5,0.6053286584624998
0.122,0.26,0.198,0.6,5,0.6053286584624998
0.154,0.144,0.154,0.626,5,0.6053286584624998
0.076,0.206,0.182,0.624,5,0.6053286584624998
0.136,0.214,0.196,0.606,5,0.6053286584624998
0.12,0.202,0.19,0.604,5,0.6053286584624998
0.204,0.17,0.194,0.59,5,0.6053286584624998
0.12,0.194,0.188,0.59,5,0.6053286584624998
0.114,0.246,0.216,0.608,5,0.6053286584624998
