base,extra,test,majority,num_classes,majority_all
0.342,0.308,0.314,0.448,4,0.4956233421750663
0.238,0.354,0.342,0.462,4,0.4956233421750663
0.254,0.332,0.332,0.458,4,0.4956233421750663
0.22,0.324,0.314,0.522,4,0.4956233421750663
0.224,0.292,0.272,0.498,4,0.4956233421750663
0.254,0.35,0.404,0.49,4,0.4956233421750663
0.25,0.326,0.354,0.508,4,0.4956233421750663
0.202,0.332,0.32,0.512,4,0.4956233421750663
0.236,0.326,0.302,0.484,4,0.4956233421750663
0.27,0.412,0.412,0.48,4,0.4956233421750663
0.264,0.37,0.35,0.492,4,0.4956233421750663
0.234,0.314,0.298,0.494,4,0.4956233421750663
0.23,0.3,0.352,0.502,4,0.4956233421750663
0.212,0.346,0.352,0.496,4,0.4956233421750663
0.224,0.326,0.312,0.502,4,0.4956233421750663
0.208,0.314,0.324,0.526,4,0.4956233421750663
0.188,0.37,0.408,0.5,4,0.4956233421750663
0.244,0.324,0.362,0.432,4,0.4956233421750663
0.208,0.322,0.326,0.488,4,0.4956233421750663
0.2,0.33,0.294,0.51,4,0.4956233421750663
