base,extra,test,majority,num_classes,majority_all
0.462,0.612,0.608,0.624,3,0.6143992932862191
0.608,0.606,0.596,0.66,3,0.6143992932862191
0.556,0.574,0.592,0.628,3,0.6143992932862191
0.358,0.6,0.586,0.622,3,0.6143992932862191
0.31,0.504,0.592,0.604,3,0.6143992932862191
0.518,0.636,0.54,0.646,3,0.6143992932862191
0.5,0.568,0.574,0.624,3,0.6143992932862191
0.53,0.592,0.552,0.63,3,0.6143992932862191
0.63,0.524,0.5,0.624,3,0.6143992932862191
0.576,0.452,0.524,0.636,3,0.6143992932862191
0.44,0.54,0.616,0.64,3,0.6143992932862191
0.548,0.648,0.48,0.646,3,0.6143992932862191
0.644,0.558,0.596,0.674,3,0.6143992932862191
0.298,0.494,0.49,0.642,3,0.6143992932862191
0.554,0.588,0.624,0.596,3,0.6143992932862191
0.504,0.58,0.516,0.616,3,0.6143992932862191
0.602,0.644,0.574,0.66,3,0.6143992932862191
0.61,0.572,0.528,0.646,3,0.6143992932862191
0.602,0.554,0.602,0.63,3,0.6143992932862191
0.604,0.556,0.628,0.646,3,0.6143992932862191
