base,extra,test,majority,num_classes,majority_all
0.124,0.124,0.12,0.234,9,0.20989559691330004
0.154,0.09,0.098,0.214,9,0.20989559691330004
0.164,0.126,0.118,0.216,9,0.20989559691330004
0.176,0.112,0.124,0.226,9,0.20989559691330004
0.138,0.11,0.11,0.236,9,0.20989559691330004
0.138,0.078,0.084,0.234,9,0.20989559691330004
0.152,0.114,0.108,0.216,9,0.20989559691330004
0.136,0.116,0.116,0.212,9,0.20989559691330004
0.152,0.122,0.104,0.212,9,0.20989559691330004
0.088,0.104,0.114,0.21,9,0.20989559691330004
0.142,0.112,0.102,0.198,9,0.20989559691330004
0.154,0.102,0.116,0.234,9,0.20989559691330004
0.112,0.11,0.084,0.228,9,0.20989559691330004
0.162,0.126,0.114,0.208,9,0.20989559691330004
0.15,0.112,0.118,0.222,9,0.20989559691330004
0.148,0.074,0.078,0.222,9,0.20989559691330004
0.17,0.112,0.1,0.228,9,0.20989559691330004
0.124,0.106,0.088,0.226,9,0.20989559691330004
0.176,0.092,0.1,0.224,9,0.20989559691330004
0.124,0.108,0.11,0.222,9,0.20989559691330004
