base,extra,test,majority,num_classes,majority_all
0.088,0.1,0.098,0.118,10,0.1
0.086,0.08,0.066,0.122,10,0.1
0.1,0.122,0.114,0.128,10,0.1
0.128,0.108,0.1,0.132,10,0.1
0.1,0.096,0.088,0.116,10,0.1
0.112,0.094,0.116,0.112,10,0.1
0.126,0.12,0.112,0.116,10,0.1
0.118,0.09,0.076,0.114,10,0.1
0.1,0.116,0.11,0.118,10,0.1
0.1,0.104,0.108,0.114,10,0.1
0.094,0.092,0.1,0.114,10,0.1
0.144,0.114,0.116,0.128,10,0.1
0.118,0.098,0.096,0.126,10,0.1
0.124,0.116,0.106,0.126,10,0.1
0.138,0.09,0.102,0.134,10,0.1
0.126,0.102,0.118,0.116,10,0.1
0.118,0.122,0.12,0.116,10,0.1
0.088,0.086,0.096,0.114,10,0.1
0.118,0.102,0.084,0.118,10,0.1
0.136,0.092,0.088,0.122,10,0.1
