base,extra,test,majority,num_classes,majority_all
0.63,0.58,0.61,0.58,2,0.5
0.63,0.49,0.66,0.51,2,0.5
0.55,0.63,0.64,0.5,2,0.5
0.64,0.71,0.68,0.54,2,0.5
0.67,0.61,0.77,0.54,2,0.5
0.61,0.69,0.56,0.5,2,0.5
0.62,0.66,0.6,0.53,2,0.5
0.65,0.63,0.56,0.51,2,0.5
0.61,0.73,0.71,0.52,2,0.5
0.62,0.71,0.66,0.5,2,0.5
0.67,0.66,0.69,0.53,2,0.5
0.6,0.65,0.64,0.58,2,0.5
0.67,0.67,0.69,0.54,2,0.5
0.64,0.56,0.6,0.53,2,0.5
0.6,0.55,0.58,0.53,2,0.5
0.61,0.65,0.57,0.63,2,0.5
0.69,0.68,0.56,0.52,2,0.5
0.59,0.7,0.55,0.56,2,0.5
0.66,0.66,0.64,0.52,2,0.5
0.61,0.68,0.7,0.56,2,0.5
0.64,0.6,0.63,0.54,2,0.5
0.67,0.63,0.68,0.54,2,0.5
0.55,0.58,0.62,0.51,2,0.5
0.56,0.61,0.64,0.58,2,0.5
0.68,0.66,0.73,0.57,2,0.5
0.64,0.61,0.61,0.56,2,0.5
0.61,0.65,0.71,0.51,2,0.5
0.6,0.61,0.65,0.53,2,0.5
0.62,0.7,0.65,0.58,2,0.5
0.6,0.59,0.56,0.57,2,0.5
0.55,0.57,0.55,0.52,2,0.5
0.55,0.54,0.62,0.5,2,0.5
0.57,0.62,0.67,0.52,2,0.5
0.57,0.5,0.58,0.56,2,0.5
0.62,0.6,0.59,0.5,2,0.5
0.67,0.6,0.7,0.57,2,0.5
0.62,0.62,0.65,0.5,2,0.5
0.63,0.67,0.61,0.5,2,0.5
0.69,0.71,0.56,0.6,2,0.5
0.61,0.62,0.55,0.51,2,0.5
0.62,0.69,0.7,0.54,2,0.5
0.62,0.64,0.62,0.54,2,0.5
0.6,0.67,0.64,0.56,2,0.5
0.65,0.67,0.63,0.55,2,0.5
0.62,0.54,0.63,0.59,2,0.5
0.55,0.54,0.59,0.54,2,0.5
0.59,0.62,0.64,0.53,2,0.5
0.56,0.65,0.61,0.54,2,0.5
0.65,0.68,0.63,0.52,2,0.5
0.57,0.69,0.71,0.58,2,0.5
0.69,0.72,0.6,0.57,2,0.5
0.6,0.72,0.74,0.53,2,0.5
0.61,0.69,0.6,0.51,2,0.5
0.59,0.51,0.6,0.54,2,0.5
0.6,0.63,0.61,0.52,2,0.5
0.63,0.68,0.66,0.56,2,0.5
0.61,0.68,0.72,0.52,2,0.5
0.61,0.61,0.48,0.52,2,0.5
0.54,0.59,0.51,0.59,2,0.5
0.63,0.64,0.57,0.53,2,0.5
0.57,0.75,0.72,0.51,2,0.5
0.62,0.61,0.65,0.51,2,0.5
0.6,0.51,0.57,0.55,2,0.5
0.62,0.69,0.68,0.57,2,0.5
0.62,0.66,0.72,0.51,2,0.5
0.61,0.63,0.62,0.56,2,0.5
0.67,0.67,0.72,0.53,2,0.5
0.66,0.71,0.64,0.56,2,0.5
0.59,0.69,0.73,0.53,2,0.5
0.63,0.69,0.6,0.51,2,0.5
0.59,0.72,0.69,0.51,2,0.5
0.64,0.65,0.67,0.52,2,0.5
0.56,0.66,0.58,0.52,2,0.5
0.62,0.61,0.64,0.5,2,0.5
0.61,0.69,0.59,0.56,2,0.5
0.59,0.67,0.58,0.52,2,0.5
0.62,0.57,0.63,0.56,2,0.5
0.58,0.64,0.52,0.59,2,0.5
0.54,0.66,0.6,0.57,2,0.5
0.72,0.66,0.66,0.53,2,0.5
0.69,0.64,0.64,0.52,2,0.5
0.67,0.65,0.67,0.52,2,0.5
0.63,0.69,0.62,0.59,2,0.5
0.56,0.58,0.62,0.54,2,0.5
0.67,0.67,0.71,0.59,2,0.5
0.63,0.65,0.64,0.5,2,0.5
0.55,0.58,0.65,0.58,2,0.5
0.73,0.75,0.72,0.53,2,0.5
0.7,0.68,0.73,0.61,2,0.5
0.68,0.67,0.6,0.5,2,0.5
0.67,0.61,0.72,0.51,2,0.5
0.61,0.75,0.67,0.53,2,0.5
0.61,0.65,0.59,0.52,2,0.5
0.61,0.69,0.62,0.56,2,0.5
0.6,0.69,0.59,0.51,2,0.5
0.66,0.57,0.57,0.51,2,0.5
0.68,0.7,0.72,0.54,2,0.5
0.57,0.6,0.64,0.52,2,0.5
0.67,0.69,0.68,0.52,2,0.5
0.66,0.62,0.73,0.54,2,0.5
