base,extra,test,majority,num_classes,majority_all
0.47,0.57,0.6,0.59,2,0.5
0.54,0.46,0.47,0.54,2,0.5
0.44,0.56,0.56,0.56,2,0.5
0.63,0.53,0.51,0.51,2,0.5
0.48,0.52,0.52,0.52,2,0.5
0.51,0.49,0.51,0.51,2,0.5
0.52,0.49,0.53,0.53,2,0.5
0.53,0.47,0.47,0.53,2,0.5
0.51,0.53,0.49,0.51,2,0.5
0.59,0.49,0.49,0.51,2,0.5
0.43,0.57,0.58,0.57,2,0.5
0.63,0.47,0.5,0.53,2,0.5
0.54,0.49,0.5,0.51,2,0.5
0.64,0.62,0.62,0.62,2,0.5
0.59,0.45,0.41,0.59,2,0.5
0.51,0.53,0.56,0.51,2,0.5
0.55,0.53,0.52,0.52,2,0.5
0.51,0.5,0.51,0.52,2,0.5
0.53,0.49,0.52,0.51,2,0.5
0.52,0.51,0.51,0.51,2,0.5
0.49,0.51,0.51,0.51,2,0.5
0.45,0.46,0.43,0.58,2,0.5
0.39,0.62,0.61,0.61,2,0.5
0.61,0.41,0.42,0.59,2,0.5
0.51,0.52,0.49,0.51,2,0.5
0.56,0.51,0.5,0.5,2,0.5
0.62,0.47,0.54,0.51,2,0.5
0.66,0.53,0.53,0.52,2,0.5
0.46,0.54,0.54,0.54,2,0.5
0.53,0.54,0.56,0.53,2,0.5
0.52,0.52,0.54,0.52,2,0.5
0.51,0.49,0.5,0.51,2,0.5
0.49,0.54,0.55,0.51,2,0.5
0.52,0.57,0.53,0.5,2,0.5
0.58,0.59,0.6,0.59,2,0.5
0.46,0.45,0.44,0.56,2,0.5
0.56,0.47,0.47,0.52,2,0.5
0.61,0.56,0.54,0.57,2,0.5
0.49,0.5,0.51,0.51,2,0.5
0.5,0.46,0.46,0.55,2,0.5
0.6,0.47,0.53,0.56,2,0.5
0.58,0.55,0.55,0.55,2,0.5
0.59,0.51,0.51,0.51,2,0.5
0.49,0.52,0.57,0.51,2,0.5
0.57,0.55,0.58,0.54,2,0.5
0.47,0.53,0.53,0.53,2,0.5
0.53,0.53,0.59,0.53,2,0.5
0.4,0.6,0.6,0.6,2,0.5
0.51,0.49,0.49,0.51,2,0.5
0.52,0.49,0.5,0.53,2,0.5
0.5,0.5,0.56,0.5,2,0.5
0.52,0.54,0.56,0.55,2,0.5
0.54,0.46,0.5,0.54,2,0.5
0.56,0.5,0.5,0.5,2,0.5
0.51,0.51,0.5,0.51,2,0.5
0.41,0.59,0.59,0.59,2,0.5
0.57,0.5,0.5,0.5,2,0.5
0.42,0.58,0.58,0.58,2,0.5
0.49,0.52,0.53,0.53,2,0.5
0.46,0.56,0.57,0.54,2,0.5
0.57,0.47,0.47,0.53,2,0.5
0.57,0.49,0.48,0.52,2,0.5
0.57,0.51,0.54,0.51,2,0.5
0.49,0.51,0.5,0.5,2,0.5
0.62,0.57,0.54,0.52,2,0.5
0.56,0.5,0.46,0.56,2,0.5
0.61,0.51,0.51,0.53,2,0.5
0.48,0.53,0.51,0.53,2,0.5
0.55,0.46,0.46,0.54,2,0.5
0.53,0.54,0.52,0.54,2,0.5
0.52,0.5,0.5,0.5,2,0.5
0.6,0.54,0.54,0.54,2,0.5
0.52,0.51,0.51,0.52,2,0.5
0.51,0.49,0.49,0.51,2,0.5
0.54,0.5,0.51,0.54,2,0.5
0.49,0.6,0.58,0.51,2,0.5
0.49,0.52,0.51,0.51,2,0.5
0.45,0.55,0.55,0.56,2,0.5
0.56,0.48,0.47,0.53,2,0.5
0.61,0.5,0.49,0.51,2,0.5
0.53,0.47,0.47,0.53,2,0.5
0.58,0.54,0.57,0.54,2,0.5
0.6,0.48,0.62,0.53,2,0.5
0.63,0.55,0.53,0.53,2,0.5
0.68,0.58,0.59,0.58,2,0.5
0.59,0.41,0.41,0.64,2,0.5
0.48,0.49,0.48,0.53,2,0.5
0.56,0.53,0.54,0.53,2,0.5
0.49,0.5,0.5,0.51,2,0.5
0.62,0.46,0.47,0.54,2,0.5
0.54,0.53,0.53,0.53,2,0.5
0.54,0.52,0.5,0.5,2,0.5
0.47,0.57,0.54,0.53,2,0.5
0.5,0.5,0.49,0.5,2,0.5
0.51,0.56,0.5,0.53,2,0.5
0.57,0.43,0.43,0.57,2,0.5
0.49,0.51,0.51,0.51,2,0.5
0.48,0.47,0.47,0.53,2,0.5
0.48,0.53,0.54,0.52,2,0.5
0.69,0.59,0.57,0.55,2,0.5
