base,extra,test,majority,num_classes,majority_all
0.58,0.49,0.55,0.51,4,0.4574165423884364
0.5,0.58,0.68,0.47,4,0.4574165423884364
0.56,0.61,0.62,0.44,4,0.4574165423884364
0.59,0.75,0.68,0.45,4,0.4574165423884364
0.69,0.62,0.57,0.37,4,0.4574165423884364
0.73,0.63,0.77,0.33,4,0.4574165423884364
0.66,0.73,0.76,0.45,4,0.4574165423884364
0.61,0.58,0.66,0.57,4,0.4574165423884364
0.63,0.52,0.58,0.47,4,0.4574165423884364
0.62,0.5,0.4,0.51,4,0.4574165423884364
0.55,0.58,0.58,0.46,4,0.4574165423884364
0.48,0.57,0.64,0.46,4,0.4574165423884364
0.6,0.65,0.67,0.44,4,0.4574165423884364
0.55,0.68,0.62,0.39,4,0.4574165423884364
0.54,0.61,0.62,0.38,4,0.4574165423884364
0.67,0.67,0.62,0.44,4,0.4574165423884364
0.71,0.65,0.64,0.46,4,0.4574165423884364
0.53,0.72,0.68,0.42,4,0.4574165423884364
0.68,0.7,0.71,0.44,4,0.4574165423884364
0.72,0.6,0.71,0.38,4,0.4574165423884364
0.67,0.72,0.67,0.47,4,0.4574165423884364
0.61,0.62,0.65,0.38,4,0.4574165423884364
0.66,0.51,0.66,0.52,4,0.4574165423884364
0.66,0.62,0.61,0.45,4,0.4574165423884364
0.63,0.7,0.68,0.5,4,0.4574165423884364
0.59,0.69,0.69,0.46,4,0.4574165423884364
0.55,0.73,0.76,0.56,4,0.4574165423884364
0.5,0.56,0.62,0.42,4,0.4574165423884364
0.42,0.57,0.44,0.48,4,0.4574165423884364
0.55,0.53,0.65,0.53,4,0.4574165423884364
0.68,0.71,0.72,0.4,4,0.4574165423884364
0.63,0.66,0.57,0.39,4,0.4574165423884364
0.56,0.64,0.73,0.47,4,0.4574165423884364
0.54,0.54,0.61,0.46,4,0.4574165423884364
0.63,0.7,0.72,0.49,4,0.4574165423884364
0.81,0.67,0.79,0.45,4,0.4574165423884364
0.53,0.63,0.73,0.52,4,0.4574165423884364
0.5,0.53,0.51,0.46,4,0.4574165423884364
0.52,0.62,0.72,0.44,4,0.4574165423884364
0.71,0.73,0.61,0.45,4,0.4574165423884364
0.71,0.64,0.68,0.49,4,0.4574165423884364
0.67,0.67,0.69,0.49,4,0.4574165423884364
0.65,0.8,0.78,0.41,4,0.4574165423884364
0.57,0.67,0.67,0.39,4,0.4574165423884364
0.61,0.48,0.72,0.48,4,0.4574165423884364
0.64,0.74,0.63,0.48,4,0.4574165423884364
0.64,0.62,0.67,0.5,4,0.4574165423884364
0.6,0.53,0.69,0.5,4,0.4574165423884364
0.58,0.68,0.66,0.46,4,0.4574165423884364
0.59,0.67,0.62,0.41,4,0.4574165423884364
0.56,0.51,0.42,0.52,4,0.4574165423884364
0.72,0.66,0.75,0.43,4,0.4574165423884364
0.59,0.67,0.72,0.37,4,0.4574165423884364
0.54,0.71,0.67,0.47,4,0.4574165423884364
0.62,0.62,0.67,0.44,4,0.4574165423884364
0.68,0.52,0.56,0.47,4,0.4574165423884364
0.52,0.57,0.51,0.48,4,0.4574165423884364
0.69,0.7,0.7,0.6,4,0.4574165423884364
0.54,0.68,0.62,0.41,4,0.4574165423884364
0.6,0.75,0.64,0.44,4,0.4574165423884364
0.58,0.75,0.78,0.48,4,0.4574165423884364
0.69,0.73,0.7,0.5,4,0.4574165423884364
0.7,0.74,0.68,0.45,4,0.4574165423884364
0.57,0.58,0.57,0.46,4,0.4574165423884364
0.73,0.66,0.62,0.5,4,0.4574165423884364
0.59,0.6,0.6,0.51,4,0.4574165423884364
0.69,0.73,0.75,0.47,4,0.4574165423884364
0.72,0.63,0.62,0.5,4,0.4574165423884364
0.67,0.68,0.68,0.54,4,0.4574165423884364
0.62,0.67,0.65,0.5,4,0.4574165423884364
0.54,0.62,0.73,0.41,4,0.4574165423884364
0.65,0.69,0.54,0.42,4,0.4574165423884364
0.64,0.52,0.51,0.59,4,0.4574165423884364
0.59,0.66,0.63,0.42,4,0.4574165423884364
0.78,0.58,0.77,0.41,4,0.4574165423884364
0.58,0.53,0.63,0.45,4,0.4574165423884364
0.59,0.64,0.63,0.42,4,0.4574165423884364
0.74,0.76,0.69,0.51,4,0.4574165423884364
0.48,0.63,0.65,0.48,4,0.4574165423884364
0.76,0.77,0.79,0.5,4,0.4574165423884364
0.66,0.67,0.7,0.47,4,0.4574165423884364
0.56,0.63,0.6,0.43,4,0.4574165423884364
0.6,0.67,0.69,0.44,4,0.4574165423884364
0.53,0.51,0.66,0.41,4,0.4574165423884364
0.55,0.64,0.7,0.43,4,0.4574165423884364
0.51,0.68,0.64,0.45,4,0.4574165423884364
0.59,0.66,0.65,0.53,4,0.4574165423884364
0.63,0.61,0.72,0.4,4,0.4574165423884364
0.7,0.76,0.73,0.47,4,0.4574165423884364
0.48,0.59,0.67,0.48,4,0.4574165423884364
0.7,0.67,0.6,0.48,4,0.4574165423884364
0.47,0.51,0.6,0.43,4,0.4574165423884364
0.54,0.63,0.51,0.37,4,0.4574165423884364
0.6,0.68,0.71,0.47,4,0.4574165423884364
0.59,0.67,0.63,0.42,4,0.4574165423884364
0.59,0.63,0.6,0.51,4,0.4574165423884364
0.62,0.75,0.57,0.45,4,0.4574165423884364
0.38,0.54,0.5,0.38,4,0.4574165423884364
0.63,0.63,0.66,0.33,4,0.4574165423884364
0.71,0.67,0.71,0.42,4,0.4574165423884364
