base,extra,test,majority,num_classes,majority_all
0.24,0.24,0.3,0.23,5,0.2
0.29,0.2,0.36,0.25,5,0.2
0.19,0.38,0.39,0.24,5,0.2
0.26,0.27,0.23,0.27,5,0.2
0.19,0.29,0.22,0.25,5,0.2
0.17,0.21,0.27,0.26,5,0.2
0.3,0.32,0.29,0.29,5,0.2
0.21,0.25,0.21,0.25,5,0.2
0.21,0.18,0.18,0.26,5,0.2
0.28,0.24,0.28,0.27,5,0.2
0.19,0.26,0.28,0.28,5,0.2
0.19,0.2,0.35,0.29,5,0.2
0.17,0.19,0.35,0.29,5,0.2
0.26,0.12,0.16,0.29,5,0.2
0.23,0.22,0.15,0.26,5,0.2
0.24,0.21,0.39,0.28,5,0.2
0.22,0.37,0.28,0.22,5,0.2
0.22,0.23,0.1,0.24,5,0.2
0.22,0.22,0.26,0.22,5,0.2
0.24,0.21,0.18,0.23,5,0.2
0.21,0.24,0.32,0.27,5,0.2
0.22,0.23,0.28,0.25,5,0.2
0.22,0.27,0.35,0.29,5,0.2
0.28,0.46,0.37,0.27,5,0.2
0.23,0.38,0.3,0.25,5,0.2
0.25,0.3,0.21,0.23,5,0.2
0.21,0.17,0.18,0.24,5,0.2
0.23,0.19,0.15,0.22,5,0.2
0.14,0.31,0.19,0.28,5,0.2
0.17,0.2,0.28,0.21,5,0.2
0.28,0.16,0.36,0.28,5,0.2
0.22,0.37,0.18,0.27,5,0.2
0.28,0.27,0.27,0.23,5,0.2
0.28,0.36,0.23,0.28,5,0.2
0.28,0.3,0.18,0.28,5,0.2
0.2,0.18,0.15,0.26,5,0.2
0.21,0.28,0.3,0.26,5,0.2
0.23,0.41,0.31,0.29,5,0.2
0.25,0.2,0.27,0.25,5,0.2
0.23,0.21,0.21,0.23,5,0.2
0.23,0.28,0.19,0.27,5,0.2
0.29,0.35,0.48,0.25,5,0.2
0.2,0.29,0.25,0.25,5,0.2
0.2,0.27,0.2,0.24,5,0.2
0.19,0.27,0.26,0.24,5,0.2
0.19,0.24,0.34,0.23,5,0.2
0.21,0.25,0.18,0.24,5,0.2
0.17,0.23,0.23,0.25,5,0.2
0.19,0.34,0.19,0.24,5,0.2
0.28,0.37,0.41,0.28,5,0.2
0.24,0.23,0.31,0.22,5,0.2
0.21,0.3,0.28,0.24,5,0.2
0.25,0.2,0.29,0.25,5,0.2
0.36,0.31,0.2,0.31,5,0.2
0.2,0.24,0.23,0.22,5,0.2
0.2,0.17,0.18,0.26,5,0.2
0.11,0.28,0.23,0.25,5,0.2
0.23,0.38,0.3,0.24,5,0.2
0.23,0.22,0.22,0.27,5,0.2
0.27,0.31,0.28,0.23,5,0.2
0.35,0.35,0.46,0.28,5,0.2
0.25,0.33,0.12,0.25,5,0.2
0.25,0.35,0.21,0.24,5,0.2
0.17,0.33,0.35,0.31,5,0.2
0.28,0.21,0.38,0.24,5,0.2
0.2,0.27,0.22,0.23,5,0.2
0.21,0.21,0.24,0.22,5,0.2
0.33,0.19,0.18,0.25,5,0.2
0.25,0.28,0.25,0.28,5,0.2
0.16,0.3,0.16,0.28,5,0.2
0.24,0.32,0.17,0.24,5,0.2
0.21,0.31,0.28,0.23,5,0.2
0.3,0.35,0.29,0.25,5,0.2
0.21,0.35,0.19,0.24,5,0.2
0.24,0.22,0.36,0.22,5,0.2
0.24,0.29,0.34,0.24,5,0.2
0.23,0.23,0.31,0.23,5,0.2
0.25,0.15,0.32,0.27,5,0.2
0.2,0.32,0.31,0.24,5,0.2
0.21,0.2,0.18,0.26,5,0.2
0.22,0.21,0.21,0.24,5,0.2
0.22,0.17,0.3,0.28,5,0.2
0.27,0.24,0.31,0.24,5,0.2
0.21,0.22,0.16,0.29,5,0.2
0.23,0.14,0.24,0.28,5,0.2
0.22,0.4,0.41,0.23,5,0.2
0.16,0.25,0.15,0.24,5,0.2
0.13,0.26,0.22,0.28,5,0.2
0.26,0.39,0.41,0.27,5,0.2
0.19,0.22,0.27,0.25,5,0.2
0.27,0.25,0.17,0.24,5,0.2
0.19,0.18,0.41,0.23,5,0.2
0.2,0.31,0.26,0.26,5,0.2
0.21,0.23,0.17,0.23,5,0.2
0.2,0.28,0.26,0.28,5,0.2
0.2,0.2,0.3,0.25,5,0.2
0.31,0.27,0.33,0.3,5,0.2
0.12,0.31,0.34,0.28,5,0.2
0.21,0.2,0.33,0.25,5,0.2
0.24,0.24,0.24,0.25,5,0.2
