base,extra,test,majority,num_classes,majority_all
0.78,0.45,0.51,0.51,2,0.5
0.61,0.58,0.57,0.5,2,0.5
0.71,0.48,0.43,0.56,2,0.5
0.68,0.51,0.56,0.52,2,0.5
0.63,0.37,0.49,0.63,2,0.5
0.49,0.51,0.47,0.52,2,0.5
0.63,0.57,0.57,0.51,2,0.5
0.7,0.52,0.52,0.52,2,0.5
0.5,0.45,0.5,0.51,2,0.5
0.52,0.57,0.56,0.52,2,0.5
0.67,0.61,0.62,0.53,2,0.5
0.68,0.52,0.51,0.55,2,0.5
0.64,0.47,0.54,0.56,2,0.5
0.72,0.63,0.57,0.6,2,0.5
0.69,0.57,0.53,0.55,2,0.5
0.59,0.48,0.58,0.53,2,0.5
0.64,0.57,0.56,0.54,2,0.5
0.65,0.5,0.47,0.58,2,0.5
0.75,0.49,0.6,0.56,2,0.5
0.62,0.59,0.57,0.53,2,0.5
0.64,0.53,0.48,0.56,2,0.5
0.58,0.61,0.54,0.5,2,0.5
0.56,0.54,0.54,0.53,2,0.5
0.56,0.53,0.54,0.53,2,0.5
0.7,0.58,0.51,0.54,2,0.5
0.61,0.56,0.48,0.52,2,0.5
0.57,0.38,0.36,0.53,2,0.5
0.65,0.55,0.57,0.53,2,0.5
0.5,0.56,0.51,0.55,2,0.5
0.61,0.51,0.52,0.53,2,0.5
0.55,0.48,0.48,0.51,2,0.5
0.69,0.56,0.62,0.53,2,0.5
0.54,0.54,0.55,0.58,2,0.5
0.65,0.6,0.61,0.62,2,0.5
0.69,0.56,0.46,0.59,2,0.5
0.69,0.5,0.54,0.55,2,0.5
0.67,0.62,0.53,0.52,2,0.5
0.78,0.56,0.56,0.5,2,0.5
0.75,0.6,0.6,0.58,2,0.5
0.63,0.63,0.64,0.55,2,0.5
0.77,0.55,0.59,0.52,2,0.5
0.67,0.58,0.58,0.58,2,0.5
0.63,0.48,0.48,0.54,2,0.5
0.54,0.52,0.62,0.53,2,0.5
0.72,0.59,0.55,0.52,2,0.5
0.6,0.44,0.55,0.53,2,0.5
0.65,0.51,0.53,0.51,2,0.5
0.73,0.59,0.68,0.56,2,0.5
0.51,0.55,0.57,0.56,2,0.5
0.65,0.56,0.64,0.5,2,0.5
0.69,0.52,0.57,0.56,2,0.5
0.7,0.57,0.57,0.54,2,0.5
0.66,0.56,0.56,0.54,2,0.5
0.6,0.51,0.55,0.5,2,0.5
0.64,0.53,0.49,0.52,2,0.5
0.67,0.56,0.47,0.57,2,0.5
0.66,0.55,0.55,0.55,2,0.5
0.66,0.47,0.49,0.53,2,0.5
0.65,0.61,0.57,0.52,2,0.5
0.68,0.6,0.6,0.57,2,0.5
0.64,0.55,0.52,0.51,2,0.5
0.64,0.53,0.69,0.67,2,0.5
0.61,0.47,0.54,0.55,2,0.5
0.71,0.48,0.57,0.52,2,0.5
0.5,0.51,0.47,0.55,2,0.5
0.59,0.54,0.56,0.51,2,0.5
0.52,0.55,0.59,0.54,2,0.5
0.56,0.56,0.5,0.54,2,0.5
0.62,0.52,0.59,0.62,2,0.5
0.8,0.63,0.49,0.57,2,0.5
0.67,0.57,0.56,0.54,2,0.5
0.62,0.53,0.52,0.5,2,0.5
0.69,0.59,0.61,0.56,2,0.5
0.55,0.46,0.51,0.52,2,0.5
0.75,0.58,0.55,0.55,2,0.5
0.56,0.55,0.51,0.54,2,0.5
0.58,0.46,0.52,0.54,2,0.5
0.64,0.52,0.46,0.6,2,0.5
0.72,0.6,0.57,0.53,2,0.5
0.6,0.53,0.6,0.54,2,0.5
0.6,0.43,0.45,0.57,2,0.5
0.67,0.62,0.65,0.56,2,0.5
0.67,0.6,0.59,0.52,2,0.5
0.57,0.47,0.54,0.51,2,0.5
0.66,0.51,0.51,0.6,2,0.5
0.57,0.44,0.48,0.58,2,0.5
0.67,0.58,0.51,0.51,2,0.5
0.57,0.56,0.57,0.54,2,0.5
0.63,0.58,0.53,0.51,2,0.5
0.58,0.52,0.53,0.53,2,0.5
0.65,0.51,0.52,0.5,2,0.5
0.69,0.52,0.51,0.5,2,0.5
0.72,0.55,0.49,0.53,2,0.5
0.58,0.48,0.56,0.51,2,0.5
0.64,0.51,0.56,0.54,2,0.5
0.67,0.47,0.46,0.57,2,0.5
0.47,0.56,0.53,0.52,2,0.5
0.59,0.47,0.51,0.51,2,0.5
0.61,0.54,0.59,0.53,2,0.5
0.68,0.49,0.49,0.57,2,0.5
