base,extra,test,majority,num_classes,majority_all
0.76,0.75,0.77,0.68,2,0.6288525638098716
0.84,0.81,0.81,0.6,2,0.6288525638098716
0.68,0.77,0.76,0.73,2,0.6288525638098716
0.76,0.72,0.74,0.59,2,0.6288525638098716
0.79,0.78,0.77,0.61,2,0.6288525638098716
0.81,0.75,0.76,0.63,2,0.6288525638098716
0.68,0.76,0.74,0.64,2,0.6288525638098716
0.82,0.86,0.82,0.65,2,0.6288525638098716
0.79,0.84,0.82,0.59,2,0.6288525638098716
0.79,0.9,0.91,0.58,2,0.6288525638098716
0.78,0.75,0.73,0.63,2,0.6288525638098716
0.85,0.89,0.86,0.61,2,0.6288525638098716
0.82,0.84,0.86,0.59,2,0.6288525638098716
0.79,0.76,0.76,0.56,2,0.6288525638098716
0.81,0.86,0.84,0.67,2,0.6288525638098716
0.84,0.84,0.83,0.65,2,0.6288525638098716
0.86,0.84,0.8,0.67,2,0.6288525638098716
0.87,0.89,0.85,0.62,2,0.6288525638098716
0.71,0.76,0.77,0.61,2,0.6288525638098716
0.83,0.84,0.83,0.69,2,0.6288525638098716
0.85,0.81,0.79,0.68,2,0.6288525638098716
0.8,0.84,0.82,0.69,2,0.6288525638098716
0.73,0.77,0.78,0.63,2,0.6288525638098716
0.82,0.8,0.81,0.65,2,0.6288525638098716
0.84,0.86,0.85,0.63,2,0.6288525638098716
0.75,0.77,0.78,0.67,2,0.6288525638098716
0.74,0.79,0.78,0.58,2,0.6288525638098716
0.89,0.89,0.89,0.65,2,0.6288525638098716
0.74,0.72,0.71,0.64,2,0.6288525638098716
0.78,0.8,0.81,0.69,2,0.6288525638098716
0.78,0.83,0.81,0.64,2,0.6288525638098716
0.82,0.84,0.86,0.67,2,0.6288525638098716
0.72,0.77,0.77,0.67,2,0.6288525638098716
0.72,0.73,0.74,0.62,2,0.6288525638098716
0.88,0.81,0.81,0.68,2,0.6288525638098716
0.76,0.82,0.83,0.58,2,0.6288525638098716
0.87,0.89,0.89,0.63,2,0.6288525638098716
0.86,0.84,0.83,0.65,2,0.6288525638098716
0.77,0.75,0.76,0.65,2,0.6288525638098716
0.73,0.76,0.78,0.66,2,0.6288525638098716
0.84,0.84,0.86,0.57,2,0.6288525638098716
0.83,0.83,0.81,0.62,2,0.6288525638098716
0.85,0.8,0.79,0.6,2,0.6288525638098716
0.8,0.78,0.77,0.69,2,0.6288525638098716
0.83,0.85,0.82,0.59,2,0.6288525638098716
0.76,0.84,0.81,0.65,2,0.6288525638098716
0.86,0.81,0.82,0.69,2,0.6288525638098716
0.8,0.77,0.78,0.57,2,0.6288525638098716
0.76,0.73,0.74,0.64,2,0.6288525638098716
0.85,0.8,0.77,0.62,2,0.6288525638098716
0.78,0.89,0.9,0.7,2,0.6288525638098716
0.84,0.9,0.89,0.64,2,0.6288525638098716
0.81,0.84,0.84,0.62,2,0.6288525638098716
0.77,0.76,0.77,0.74,2,0.6288525638098716
0.76,0.87,0.85,0.56,2,0.6288525638098716
0.76,0.82,0.81,0.66,2,0.6288525638098716
0.79,0.83,0.83,0.65,2,0.6288525638098716
0.79,0.82,0.82,0.62,2,0.6288525638098716
0.83,0.8,0.81,0.66,2,0.6288525638098716
0.84,0.86,0.85,0.6,2,0.6288525638098716
0.77,0.77,0.79,0.62,2,0.6288525638098716
0.85,0.83,0.85,0.66,2,0.6288525638098716
0.78,0.84,0.79,0.63,2,0.6288525638098716
0.79,0.81,0.8,0.6,2,0.6288525638098716
0.75,0.81,0.78,0.64,2,0.6288525638098716
0.75,0.81,0.82,0.64,2,0.6288525638098716
0.73,0.76,0.75,0.68,2,0.6288525638098716
0.8,0.79,0.8,0.59,2,0.6288525638098716
0.79,0.8,0.82,0.68,2,0.6288525638098716
0.74,0.79,0.77,0.65,2,0.6288525638098716
0.85,0.81,0.83,0.69,2,0.6288525638098716
0.8,0.86,0.83,0.57,2,0.6288525638098716
0.85,0.82,0.84,0.58,2,0.6288525638098716
0.85,0.75,0.75,0.64,2,0.6288525638098716
0.79,0.88,0.88,0.62,2,0.6288525638098716
0.74,0.83,0.84,0.65,2,0.6288525638098716
0.81,0.82,0.82,0.61,2,0.6288525638098716
0.84,0.87,0.85,0.58,2,0.6288525638098716
0.76,0.82,0.85,0.66,2,0.6288525638098716
0.77,0.8,0.79,0.61,2,0.6288525638098716
0.78,0.83,0.84,0.6,2,0.6288525638098716
0.88,0.84,0.85,0.71,2,0.6288525638098716
0.76,0.77,0.76,0.66,2,0.6288525638098716
0.72,0.74,0.74,0.62,2,0.6288525638098716
0.79,0.83,0.81,0.62,2,0.6288525638098716
0.78,0.78,0.78,0.6,2,0.6288525638098716
0.82,0.8,0.8,0.55,2,0.6288525638098716
0.7,0.79,0.79,0.65,2,0.6288525638098716
0.82,0.78,0.76,0.64,2,0.6288525638098716
0.82,0.81,0.79,0.62,2,0.6288525638098716
0.83,0.8,0.81,0.63,2,0.6288525638098716
0.77,0.86,0.86,0.61,2,0.6288525638098716
0.8,0.86,0.84,0.64,2,0.6288525638098716
0.74,0.76,0.75,0.63,2,0.6288525638098716
0.81,0.77,0.77,0.59,2,0.6288525638098716
0.83,0.78,0.78,0.65,2,0.6288525638098716
0.81,0.85,0.86,0.61,2,0.6288525638098716
0.69,0.78,0.77,0.55,2,0.6288525638098716
0.85,0.81,0.79,0.56,2,0.6288525638098716
0.72,0.8,0.79,0.66,2,0.6288525638098716
