base,extra,test,majority,num_classes,majority_all
0.75,0.71,0.71,0.57,3,0.6143992932862191
0.61,0.59,0.62,0.68,3,0.6143992932862191
0.61,0.62,0.59,0.52,3,0.6143992932862191
0.63,0.65,0.65,0.54,3,0.6143992932862191
0.64,0.57,0.61,0.56,3,0.6143992932862191
0.7,0.68,0.67,0.67,3,0.6143992932862191
0.57,0.6,0.63,0.62,3,0.6143992932862191
0.64,0.63,0.71,0.56,3,0.6143992932862191
0.64,0.6,0.6,0.55,3,0.6143992932862191
0.69,0.65,0.56,0.63,3,0.6143992932862191
0.63,0.69,0.58,0.57,3,0.6143992932862191
0.62,0.7,0.69,0.64,3,0.6143992932862191
0.66,0.66,0.68,0.76,3,0.6143992932862191
0.61,0.47,0.48,0.6,3,0.6143992932862191
0.55,0.75,0.75,0.61,3,0.6143992932862191
0.66,0.59,0.6,0.6,3,0.6143992932862191
0.55,0.63,0.64,0.64,3,0.6143992932862191
0.65,0.6,0.67,0.63,3,0.6143992932862191
0.69,0.68,0.65,0.66,3,0.6143992932862191
0.77,0.72,0.7,0.6,3,0.6143992932862191
0.66,0.61,0.63,0.67,3,0.6143992932862191
0.65,0.46,0.5,0.66,3,0.6143992932862191
0.68,0.69,0.76,0.69,3,0.6143992932862191
0.62,0.7,0.72,0.62,3,0.6143992932862191
0.58,0.59,0.55,0.6,3,0.6143992932862191
0.71,0.67,0.62,0.61,3,0.6143992932862191
0.65,0.6,0.64,0.66,3,0.6143992932862191
0.67,0.67,0.66,0.65,3,0.6143992932862191
0.67,0.62,0.7,0.69,3,0.6143992932862191
0.72,0.55,0.64,0.66,3,0.6143992932862191
0.68,0.65,0.61,0.71,3,0.6143992932862191
0.62,0.55,0.6,0.66,3,0.6143992932862191
0.54,0.65,0.66,0.58,3,0.6143992932862191
0.66,0.64,0.68,0.62,3,0.6143992932862191
0.68,0.65,0.7,0.61,3,0.6143992932862191
0.62,0.66,0.61,0.53,3,0.6143992932862191
0.62,0.58,0.62,0.61,3,0.6143992932862191
0.58,0.63,0.65,0.66,3,0.6143992932862191
0.73,0.75,0.68,0.72,3,0.6143992932862191
0.67,0.61,0.67,0.73,3,0.6143992932862191
0.72,0.6,0.72,0.63,3,0.6143992932862191
0.6,0.61,0.56,0.67,3,0.6143992932862191
0.68,0.69,0.67,0.62,3,0.6143992932862191
0.73,0.64,0.66,0.58,3,0.6143992932862191
0.51,0.57,0.55,0.59,3,0.6143992932862191
0.69,0.56,0.59,0.59,3,0.6143992932862191
0.67,0.67,0.65,0.71,3,0.6143992932862191
0.58,0.71,0.68,0.64,3,0.6143992932862191
0.73,0.53,0.54,0.68,3,0.6143992932862191
0.59,0.63,0.55,0.58,3,0.6143992932862191
0.52,0.59,0.56,0.57,3,0.6143992932862191
0.76,0.68,0.69,0.73,3,0.6143992932862191
0.58,0.6,0.56,0.71,3,0.6143992932862191
0.73,0.57,0.57,0.6,3,0.6143992932862191
0.55,0.72,0.7,0.59,3,0.6143992932862191
0.7,0.62,0.56,0.6,3,0.6143992932862191
0.67,0.59,0.58,0.65,3,0.6143992932862191
0.68,0.7,0.71,0.64,3,0.6143992932862191
0.59,0.68,0.72,0.6,3,0.6143992932862191
0.74,0.69,0.68,0.59,3,0.6143992932862191
0.62,0.64,0.69,0.61,3,0.6143992932862191
0.46,0.68,0.72,0.61,3,0.6143992932862191
0.52,0.66,0.62,0.71,3,0.6143992932862191
0.52,0.57,0.56,0.67,3,0.6143992932862191
0.62,0.71,0.72,0.6,3,0.6143992932862191
0.56,0.5,0.6,0.57,3,0.6143992932862191
0.64,0.56,0.6,0.66,3,0.6143992932862191
0.55,0.64,0.6,0.59,3,0.6143992932862191
0.64,0.69,0.67,0.6,3,0.6143992932862191
0.66,0.66,0.67,0.66,3,0.6143992932862191
0.53,0.71,0.73,0.57,3,0.6143992932862191
0.7,0.64,0.65,0.66,3,0.6143992932862191
0.72,0.74,0.71,0.58,3,0.6143992932862191
0.62,0.66,0.67,0.53,3,0.6143992932862191
0.59,0.61,0.6,0.6,3,0.6143992932862191
0.66,0.63,0.64,0.63,3,0.6143992932862191
0.6,0.64,0.63,0.62,3,0.6143992932862191
0.66,0.51,0.58,0.69,3,0.6143992932862191
0.62,0.59,0.6,0.68,3,0.6143992932862191
0.66,0.62,0.6,0.61,3,0.6143992932862191
0.72,0.66,0.65,0.62,3,0.6143992932862191
0.66,0.66,0.6,0.62,3,0.6143992932862191
0.52,0.63,0.54,0.61,3,0.6143992932862191
0.55,0.78,0.74,0.61,3,0.6143992932862191
0.61,0.65,0.6,0.62,3,0.6143992932862191
0.72,0.72,0.74,0.63,3,0.6143992932862191
0.63,0.53,0.61,0.62,3,0.6143992932862191
0.6,0.58,0.59,0.62,3,0.6143992932862191
0.72,0.7,0.68,0.64,3,0.6143992932862191
0.7,0.72,0.71,0.65,3,0.6143992932862191
0.72,0.64,0.63,0.57,3,0.6143992932862191
0.63,0.58,0.54,0.58,3,0.6143992932862191
0.67,0.58,0.66,0.76,3,0.6143992932862191
0.65,0.52,0.54,0.65,3,0.6143992932862191
0.55,0.6,0.67,0.54,3,0.6143992932862191
0.72,0.64,0.69,0.65,3,0.6143992932862191
0.58,0.72,0.69,0.56,3,0.6143992932862191
0.64,0.66,0.63,0.65,3,0.6143992932862191
0.6,0.53,0.53,0.61,3,0.6143992932862191
0.73,0.67,0.64,0.57,3,0.6143992932862191
