base,extra,test,majority,num_classes,majority_all
0.06,0.09,0.09,0.27,9,0.20989559691330004
0.13,0.17,0.16,0.25,9,0.20989559691330004
0.11,0.14,0.14,0.27,9,0.20989559691330004
0.11,0.2,0.2,0.26,9,0.20989559691330004
0.18,0.15,0.19,0.28,9,0.20989559691330004
0.09,0.16,0.17,0.21,9,0.20989559691330004
0.12,0.08,0.13,0.27,9,0.20989559691330004
0.07,0.14,0.19,0.21,9,0.20989559691330004
0.08,0.19,0.18,0.2,9,0.20989559691330004
0.09,0.18,0.17,0.22,9,0.20989559691330004
0.07,0.11,0.09,0.24,9,0.20989559691330004
0.16,0.15,0.15,0.23,9,0.20989559691330004
0.11,0.19,0.18,0.24,9,0.20989559691330004
0.13,0.23,0.25,0.26,9,0.20989559691330004
0.09,0.1,0.12,0.22,9,0.20989559691330004
0.14,0.22,0.19,0.26,9,0.20989559691330004
0.02,0.19,0.18,0.22,9,0.20989559691330004
0.12,0.17,0.16,0.21,9,0.20989559691330004
0.13,0.24,0.22,0.27,9,0.20989559691330004
0.06,0.17,0.2,0.23,9,0.20989559691330004
0.18,0.23,0.22,0.28,9,0.20989559691330004
0.07,0.15,0.13,0.22,9,0.20989559691330004
0.09,0.2,0.21,0.22,9,0.20989559691330004
0.12,0.22,0.21,0.27,9,0.20989559691330004
0.1,0.13,0.12,0.21,9,0.20989559691330004
0.05,0.19,0.2,0.21,9,0.20989559691330004
0.1,0.15,0.14,0.22,9,0.20989559691330004
0.13,0.12,0.11,0.21,9,0.20989559691330004
0.07,0.09,0.13,0.21,9,0.20989559691330004
0.13,0.15,0.13,0.24,9,0.20989559691330004
0.13,0.23,0.21,0.24,9,0.20989559691330004
0.11,0.09,0.1,0.2,9,0.20989559691330004
0.07,0.18,0.18,0.24,9,0.20989559691330004
0.08,0.15,0.15,0.28,9,0.20989559691330004
0.07,0.16,0.18,0.24,9,0.20989559691330004
0.05,0.16,0.18,0.23,9,0.20989559691330004
0.13,0.16,0.14,0.25,9,0.20989559691330004
0.12,0.13,0.11,0.31,9,0.20989559691330004
0.13,0.13,0.14,0.27,9,0.20989559691330004
0.16,0.18,0.17,0.26,9,0.20989559691330004
0.1,0.25,0.21,0.29,9,0.20989559691330004
0.12,0.06,0.06,0.2,9,0.20989559691330004
0.11,0.22,0.19,0.23,9,0.20989559691330004
0.05,0.14,0.15,0.22,9,0.20989559691330004
0.13,0.2,0.21,0.24,9,0.20989559691330004
0.08,0.17,0.2,0.21,9,0.20989559691330004
0.12,0.18,0.2,0.22,9,0.20989559691330004
0.1,0.1,0.1,0.26,9,0.20989559691330004
0.11,0.21,0.16,0.22,9,0.20989559691330004
0.07,0.11,0.11,0.23,9,0.20989559691330004
0.17,0.11,0.12,0.28,9,0.20989559691330004
0.18,0.21,0.2,0.25,9,0.20989559691330004
0.12,0.14,0.12,0.19,9,0.20989559691330004
0.14,0.17,0.16,0.2,9,0.20989559691330004
0.16,0.16,0.17,0.21,9,0.20989559691330004
0.13,0.12,0.14,0.21,9,0.20989559691330004
0.07,0.2,0.16,0.24,9,0.20989559691330004
0.11,0.22,0.2,0.24,9,0.20989559691330004
0.1,0.15,0.13,0.2,9,0.20989559691330004
0.09,0.19,0.2,0.25,9,0.20989559691330004
0.06,0.22,0.22,0.26,9,0.20989559691330004
0.07,0.16,0.14,0.28,9,0.20989559691330004
0.09,0.18,0.15,0.3,9,0.20989559691330004
0.11,0.15,0.14,0.2,9,0.20989559691330004
0.09,0.19,0.23,0.25,9,0.20989559691330004
0.11,0.18,0.19,0.25,9,0.20989559691330004
0.14,0.18,0.2,0.22,9,0.20989559691330004
0.06,0.1,0.09,0.19,9,0.20989559691330004
0.15,0.09,0.11,0.23,9,0.20989559691330004
0.13,0.13,0.11,0.27,9,0.20989559691330004
0.08,0.17,0.16,0.28,9,0.20989559691330004
0.09,0.13,0.12,0.28,9,0.20989559691330004
0.12,0.22,0.24,0.31,9,0.20989559691330004
0.04,0.19,0.16,0.28,9,0.20989559691330004
0.12,0.22,0.23,0.21,9,0.20989559691330004
0.08,0.3,0.28,0.3,9,0.20989559691330004
0.12,0.13,0.14,0.3,9,0.20989559691330004
0.15,0.15,0.16,0.26,9,0.20989559691330004
0.02,0.12,0.12,0.32,9,0.20989559691330004
0.12,0.18,0.21,0.28,9,0.20989559691330004
0.19,0.17,0.16,0.23,9,0.20989559691330004
0.11,0.19,0.17,0.27,9,0.20989559691330004
0.14,0.2,0.21,0.24,9,0.20989559691330004
0.14,0.11,0.11,0.26,9,0.20989559691330004
0.05,0.19,0.18,0.26,9,0.20989559691330004
0.14,0.11,0.13,0.23,9,0.20989559691330004
0.04,0.15,0.13,0.21,9,0.20989559691330004
0.14,0.14,0.14,0.3,9,0.20989559691330004
0.07,0.2,0.2,0.26,9,0.20989559691330004
0.2,0.16,0.16,0.24,9,0.20989559691330004
0.13,0.25,0.24,0.27,9,0.20989559691330004
0.14,0.17,0.16,0.21,9,0.20989559691330004
0.14,0.25,0.26,0.26,9,0.20989559691330004
0.14,0.17,0.15,0.24,9,0.20989559691330004
0.1,0.17,0.16,0.21,9,0.20989559691330004
0.17,0.11,0.12,0.21,9,0.20989559691330004
0.08,0.22,0.22,0.27,9,0.20989559691330004
0.12,0.2,0.22,0.21,9,0.20989559691330004
0.15,0.14,0.15,0.19,9,0.20989559691330004
0.1,0.19,0.17,0.21,9,0.20989559691330004
