base,extra,test,majority,num_classes,majority_all
0.155,0.155,0.16,0.145,11,0.13959277462181655
0.145,0.11,0.165,0.175,11,0.13959277462181655
0.25,0.16,0.18,0.15,11,0.13959277462181655
0.185,0.175,0.175,0.16,11,0.13959277462181655
0.24,0.25,0.255,0.17,11,0.13959277462181655
0.185,0.2,0.2,0.19,11,0.13959277462181655
0.16,0.205,0.17,0.14,11,0.13959277462181655
0.215,0.19,0.195,0.18,11,0.13959277462181655
0.245,0.21,0.19,0.145,11,0.13959277462181655
0.19,0.21,0.215,0.125,11,0.13959277462181655
0.19,0.23,0.21,0.13,11,0.13959277462181655
0.195,0.19,0.2,0.18,11,0.13959277462181655
0.18,0.155,0.165,0.2,11,0.13959277462181655
0.205,0.17,0.165,0.185,11,0.13959277462181655
0.185,0.18,0.17,0.155,11,0.13959277462181655
0.15,0.22,0.14,0.135,11,0.13959277462181655
0.2,0.145,0.145,0.175,11,0.13959277462181655
0.16,0.165,0.165,0.14,11,0.13959277462181655
0.22,0.21,0.17,0.15,11,0.13959277462181655
0.19,0.19,0.19,0.14,11,0.13959277462181655
0.16,0.16,0.225,0.15,11,0.13959277462181655
0.225,0.195,0.205,0.17,11,0.13959277462181655
0.225,0.215,0.175,0.15,11,0.13959277462181655
0.14,0.18,0.175,0.13,11,0.13959277462181655
0.185,0.215,0.175,0.15,11,0.13959277462181655
0.185,0.145,0.19,0.14,11,0.13959277462181655
0.2,0.19,0.185,0.17,11,0.13959277462181655
0.175,0.15,0.16,0.16,11,0.13959277462181655
0.22,0.145,0.17,0.13,11,0.13959277462181655
0.25,0.165,0.18,0.16,11,0.13959277462181655
0.21,0.195,0.18,0.2,11,0.13959277462181655
0.195,0.18,0.18,0.165,11,0.13959277462181655
0.185,0.215,0.225,0.135,11,0.13959277462181655
0.22,0.115,0.135,0.165,11,0.13959277462181655
0.205,0.22,0.22,0.14,11,0.13959277462181655
0.215,0.195,0.245,0.13,11,0.13959277462181655
0.18,0.18,0.15,0.14,11,0.13959277462181655
0.165,0.23,0.22,0.12,11,0.13959277462181655
0.185,0.24,0.225,0.15,11,0.13959277462181655
0.165,0.165,0.21,0.165,11,0.13959277462181655
0.22,0.19,0.19,0.145,11,0.13959277462181655
0.245,0.22,0.225,0.175,11,0.13959277462181655
0.18,0.18,0.205,0.145,11,0.13959277462181655
0.125,0.165,0.165,0.125,11,0.13959277462181655
0.19,0.175,0.215,0.145,11,0.13959277462181655
0.18,0.145,0.155,0.145,11,0.13959277462181655
0.165,0.185,0.18,0.155,11,0.13959277462181655
0.225,0.18,0.24,0.16,11,0.13959277462181655
0.19,0.175,0.2,0.145,11,0.13959277462181655
0.24,0.16,0.165,0.21,11,0.13959277462181655
