base,extra,test,majority,num_classes,majority_all
0.86,0.88,0.88,0.66,2,0.6288525638098716
0.88,0.88,0.84,0.58,2,0.6288525638098716
0.82,0.78,0.82,0.76,2,0.6288525638098716
0.8,0.82,0.84,0.6,2,0.6288525638098716
0.82,0.82,0.8,0.54,2,0.6288525638098716
0.7,0.74,0.72,0.62,2,0.6288525638098716
0.88,0.9,0.92,0.62,2,0.6288525638098716
0.88,0.9,0.9,0.64,2,0.6288525638098716
0.86,0.9,0.94,0.56,2,0.6288525638098716
0.92,0.82,0.84,0.52,2,0.6288525638098716
0.9,0.9,0.86,0.58,2,0.6288525638098716
0.86,0.82,0.86,0.7,2,0.6288525638098716
0.9,0.9,0.9,0.6,2,0.6288525638098716
0.88,0.84,0.86,0.6,2,0.6288525638098716
0.84,0.84,0.84,0.7,2,0.6288525638098716
0.86,0.96,0.9,0.62,2,0.6288525638098716
0.82,0.78,0.84,0.62,2,0.6288525638098716
0.86,0.86,0.9,0.56,2,0.6288525638098716
0.9,0.92,0.94,0.62,2,0.6288525638098716
0.88,0.86,0.9,0.7,2,0.6288525638098716
0.84,0.8,0.86,0.66,2,0.6288525638098716
0.78,0.86,0.86,0.7,2,0.6288525638098716
0.82,0.74,0.82,0.6,2,0.6288525638098716
0.82,0.78,0.84,0.64,2,0.6288525638098716
0.86,0.88,0.9,0.56,2,0.6288525638098716
0.86,0.9,0.88,0.7,2,0.6288525638098716
0.76,0.8,0.78,0.5,2,0.6288525638098716
0.84,0.86,0.86,0.58,2,0.6288525638098716
0.9,0.88,0.9,0.64,2,0.6288525638098716
0.76,0.8,0.78,0.72,2,0.6288525638098716
0.8,0.8,0.78,0.72,2,0.6288525638098716
0.8,0.82,0.82,0.66,2,0.6288525638098716
0.86,0.82,0.82,0.7,2,0.6288525638098716
0.86,0.86,0.86,0.58,2,0.6288525638098716
0.82,0.82,0.8,0.62,2,0.6288525638098716
0.86,0.88,0.88,0.62,2,0.6288525638098716
0.86,0.88,0.88,0.62,2,0.6288525638098716
0.84,0.9,0.84,0.68,2,0.6288525638098716
0.82,0.82,0.82,0.6,2,0.6288525638098716
0.9,0.9,0.92,0.62,2,0.6288525638098716
0.86,0.9,0.88,0.6,2,0.6288525638098716
0.8,0.9,0.88,0.64,2,0.6288525638098716
0.84,0.86,0.86,0.5,2,0.6288525638098716
0.78,0.74,0.76,0.62,2,0.6288525638098716
0.88,0.86,0.84,0.5,2,0.6288525638098716
0.82,0.86,0.76,0.62,2,0.6288525638098716
0.88,0.84,0.92,0.82,2,0.6288525638098716
0.8,0.82,0.76,0.6,2,0.6288525638098716
0.9,0.86,0.92,0.64,2,0.6288525638098716
0.82,0.82,0.88,0.58,2,0.6288525638098716
0.88,0.92,0.9,0.68,2,0.6288525638098716
0.86,0.78,0.84,0.64,2,0.6288525638098716
0.86,0.84,0.82,0.62,2,0.6288525638098716
0.86,0.84,0.86,0.74,2,0.6288525638098716
0.84,0.88,0.86,0.62,2,0.6288525638098716
0.72,0.76,0.78,0.64,2,0.6288525638098716
0.74,0.74,0.78,0.6,2,0.6288525638098716
0.84,0.86,0.86,0.58,2,0.6288525638098716
0.86,0.9,0.9,0.66,2,0.6288525638098716
0.94,0.94,0.92,0.58,2,0.6288525638098716
0.74,0.78,0.82,0.64,2,0.6288525638098716
0.84,0.8,0.78,0.64,2,0.6288525638098716
0.86,0.9,0.88,0.6,2,0.6288525638098716
0.86,0.82,0.8,0.6,2,0.6288525638098716
0.92,0.86,0.88,0.66,2,0.6288525638098716
0.84,0.8,0.78,0.68,2,0.6288525638098716
0.8,0.9,0.78,0.68,2,0.6288525638098716
0.7,0.76,0.78,0.66,2,0.6288525638098716
0.9,0.88,0.88,0.78,2,0.6288525638098716
0.84,0.8,0.86,0.66,2,0.6288525638098716
0.84,0.86,0.78,0.64,2,0.6288525638098716
0.9,0.86,0.92,0.6,2,0.6288525638098716
0.88,0.88,0.88,0.56,2,0.6288525638098716
0.92,0.92,0.9,0.64,2,0.6288525638098716
0.84,0.82,0.84,0.66,2,0.6288525638098716
0.78,0.84,0.82,0.7,2,0.6288525638098716
0.84,0.82,0.86,0.64,2,0.6288525638098716
0.82,0.9,0.9,0.56,2,0.6288525638098716
0.74,0.76,0.78,0.6,2,0.6288525638098716
0.88,0.9,0.88,0.58,2,0.6288525638098716
0.84,0.82,0.86,0.6,2,0.6288525638098716
0.84,0.88,0.88,0.66,2,0.6288525638098716
0.82,0.82,0.78,0.6,2,0.6288525638098716
0.86,0.86,0.84,0.64,2,0.6288525638098716
0.82,0.82,0.82,0.62,2,0.6288525638098716
0.92,0.9,0.92,0.66,2,0.6288525638098716
0.9,0.88,0.84,0.64,2,0.6288525638098716
0.78,0.76,0.76,0.64,2,0.6288525638098716
0.84,0.8,0.8,0.7,2,0.6288525638098716
0.82,0.82,0.78,0.68,2,0.6288525638098716
0.86,0.82,0.8,0.6,2,0.6288525638098716
0.84,0.82,0.86,0.6,2,0.6288525638098716
0.92,0.86,0.86,0.62,2,0.6288525638098716
0.82,0.86,0.88,0.58,2,0.6288525638098716
0.82,0.86,0.88,0.5,2,0.6288525638098716
0.82,0.74,0.82,0.66,2,0.6288525638098716
0.78,0.86,0.86,0.66,2,0.6288525638098716
0.82,0.86,0.84,0.58,2,0.6288525638098716
0.78,0.8,0.9,0.58,2,0.6288525638098716
0.82,0.84,0.86,0.6,2,0.6288525638098716
