base,extra,test,majority,num_classes,majority_all
0.94,0.86,0.82,0.52,2,0.5096165973010468
0.9,0.88,0.86,0.52,2,0.5096165973010468
0.92,0.98,0.94,0.58,2,0.5096165973010468
0.78,0.84,0.82,0.54,2,0.5096165973010468
0.88,0.8,0.78,0.62,2,0.5096165973010468
0.76,0.86,0.86,0.54,2,0.5096165973010468
0.88,0.8,0.76,0.6,2,0.5096165973010468
0.56,0.78,0.82,0.56,2,0.5096165973010468
0.64,0.92,0.9,0.52,2,0.5096165973010468
0.92,0.88,0.92,0.5,2,0.5096165973010468
0.78,0.86,0.78,0.5,2,0.5096165973010468
0.82,0.82,0.78,0.6,2,0.5096165973010468
0.96,0.88,0.86,0.64,2,0.5096165973010468
0.92,0.92,0.92,0.6,2,0.5096165973010468
0.86,0.88,0.92,0.54,2,0.5096165973010468
0.9,0.94,0.98,0.52,2,0.5096165973010468
0.92,0.84,0.9,0.62,2,0.5096165973010468
0.9,0.88,0.92,0.54,2,0.5096165973010468
0.84,0.76,0.86,0.58,2,0.5096165973010468
0.92,0.86,0.9,0.54,2,0.5096165973010468
0.86,0.9,0.9,0.52,2,0.5096165973010468
0.9,0.94,0.86,0.54,2,0.5096165973010468
0.64,0.88,0.9,0.5,2,0.5096165973010468
0.66,0.82,0.9,0.66,2,0.5096165973010468
0.9,0.9,0.88,0.54,2,0.5096165973010468
0.76,0.94,0.98,0.54,2,0.5096165973010468
0.92,0.9,0.94,0.56,2,0.5096165973010468
0.92,0.92,0.98,0.6,2,0.5096165973010468
0.74,0.9,0.84,0.58,2,0.5096165973010468
0.72,0.82,0.78,0.6,2,0.5096165973010468
0.48,0.9,0.92,0.56,2,0.5096165973010468
0.92,0.94,0.96,0.6,2,0.5096165973010468
0.86,0.8,0.84,0.56,2,0.5096165973010468
0.9,0.92,0.86,0.6,2,0.5096165973010468
0.94,0.94,0.88,0.5,2,0.5096165973010468
0.86,0.82,0.88,0.5,2,0.5096165973010468
0.86,0.82,0.84,0.6,2,0.5096165973010468
0.94,0.84,0.88,0.58,2,0.5096165973010468
0.92,0.96,0.94,0.54,2,0.5096165973010468
0.54,0.8,0.84,0.52,2,0.5096165973010468
0.58,0.86,0.84,0.5,2,0.5096165973010468
0.9,0.94,0.92,0.62,2,0.5096165973010468
0.82,0.86,0.9,0.56,2,0.5096165973010468
0.46,0.84,0.88,0.54,2,0.5096165973010468
0.84,0.82,0.84,0.54,2,0.5096165973010468
0.78,0.9,0.9,0.7,2,0.5096165973010468
0.8,0.9,0.88,0.62,2,0.5096165973010468
0.96,0.86,0.92,0.52,2,0.5096165973010468
0.94,0.88,0.84,0.56,2,0.5096165973010468
0.84,0.72,0.76,0.54,2,0.5096165973010468
0.72,0.78,0.9,0.54,2,0.5096165973010468
0.96,0.92,0.94,0.58,2,0.5096165973010468
0.8,0.84,0.86,0.52,2,0.5096165973010468
0.84,0.88,0.82,0.52,2,0.5096165973010468
0.88,0.92,0.9,0.54,2,0.5096165973010468
0.82,0.84,0.82,0.66,2,0.5096165973010468
0.84,0.88,0.88,0.54,2,0.5096165973010468
0.86,0.84,0.84,0.52,2,0.5096165973010468
0.92,0.74,0.8,0.58,2,0.5096165973010468
0.56,0.96,0.92,0.5,2,0.5096165973010468
0.88,0.8,0.8,0.52,2,0.5096165973010468
0.88,0.96,0.92,0.58,2,0.5096165973010468
0.96,0.94,0.98,0.5,2,0.5096165973010468
0.86,0.94,0.96,0.6,2,0.5096165973010468
0.88,0.92,0.94,0.5,2,0.5096165973010468
0.72,0.82,0.86,0.58,2,0.5096165973010468
0.86,0.84,0.86,0.52,2,0.5096165973010468
0.94,0.84,0.94,0.5,2,0.5096165973010468
0.86,0.82,0.7,0.62,2,0.5096165973010468
0.78,0.82,0.84,0.5,2,0.5096165973010468
0.84,0.92,0.88,0.58,2,0.5096165973010468
0.8,0.86,0.86,0.54,2,0.5096165973010468
0.86,0.94,0.94,0.64,2,0.5096165973010468
0.9,0.9,0.84,0.6,2,0.5096165973010468
0.92,0.82,0.8,0.56,2,0.5096165973010468
0.9,0.84,0.9,0.56,2,0.5096165973010468
0.84,0.88,0.88,0.58,2,0.5096165973010468
0.86,0.8,0.84,0.54,2,0.5096165973010468
0.84,0.86,0.86,0.52,2,0.5096165973010468
0.9,0.92,0.84,0.5,2,0.5096165973010468
0.92,0.76,0.86,0.52,2,0.5096165973010468
0.84,0.8,0.86,0.52,2,0.5096165973010468
0.84,0.9,0.82,0.54,2,0.5096165973010468
0.54,0.9,0.86,0.54,2,0.5096165973010468
0.9,0.88,0.92,0.52,2,0.5096165973010468
0.82,0.88,0.88,0.54,2,0.5096165973010468
0.8,0.86,0.88,0.54,2,0.5096165973010468
0.7,0.86,0.78,0.56,2,0.5096165973010468
0.92,0.82,0.88,0.52,2,0.5096165973010468
0.62,0.78,0.88,0.52,2,0.5096165973010468
0.84,0.86,0.84,0.62,2,0.5096165973010468
0.78,0.8,0.82,0.54,2,0.5096165973010468
0.94,0.9,0.94,0.52,2,0.5096165973010468
0.86,0.92,0.9,0.6,2,0.5096165973010468
0.94,0.94,0.94,0.56,2,0.5096165973010468
0.96,0.98,0.94,0.56,2,0.5096165973010468
0.94,0.82,0.86,0.58,2,0.5096165973010468
0.9,0.88,0.8,0.52,2,0.5096165973010468
0.9,0.98,0.98,0.52,2,0.5096165973010468
0.84,0.88,0.84,0.58,2,0.5096165973010468
