base,extra,test,majority,num_classes,majority_all
0.2,0.5,0.64,0.26,6,0.2292736610418195
0.3,0.48,0.52,0.3,6,0.2292736610418195
0.22,0.58,0.58,0.26,6,0.2292736610418195
0.42,0.32,0.36,0.26,6,0.2292736610418195
0.48,0.56,0.64,0.24,6,0.2292736610418195
0.2,0.44,0.46,0.32,6,0.2292736610418195
0.38,0.5,0.3,0.28,6,0.2292736610418195
0.34,0.6,0.54,0.22,6,0.2292736610418195
0.12,0.42,0.6,0.28,6,0.2292736610418195
0.34,0.38,0.62,0.3,6,0.2292736610418195
0.48,0.52,0.56,0.32,6,0.2292736610418195
0.22,0.46,0.44,0.32,6,0.2292736610418195
0.34,0.36,0.48,0.22,6,0.2292736610418195
0.62,0.42,0.46,0.3,6,0.2292736610418195
0.3,0.44,0.36,0.3,6,0.2292736610418195
0.32,0.52,0.4,0.34,6,0.2292736610418195
0.14,0.62,0.6,0.34,6,0.2292736610418195
0.14,0.6,0.42,0.28,6,0.2292736610418195
0.14,0.42,0.52,0.3,6,0.2292736610418195
0.24,0.48,0.5,0.24,6,0.2292736610418195
0.32,0.44,0.56,0.4,6,0.2292736610418195
0.36,0.44,0.42,0.4,6,0.2292736610418195
0.26,0.48,0.5,0.26,6,0.2292736610418195
0.3,0.54,0.42,0.28,6,0.2292736610418195
0.18,0.54,0.38,0.24,6,0.2292736610418195
0.3,0.62,0.48,0.26,6,0.2292736610418195
0.32,0.52,0.4,0.3,6,0.2292736610418195
0.14,0.44,0.56,0.26,6,0.2292736610418195
0.36,0.68,0.4,0.24,6,0.2292736610418195
0.4,0.5,0.5,0.28,6,0.2292736610418195
0.36,0.54,0.58,0.26,6,0.2292736610418195
0.26,0.42,0.58,0.3,6,0.2292736610418195
0.36,0.6,0.5,0.26,6,0.2292736610418195
0.38,0.6,0.52,0.28,6,0.2292736610418195
0.12,0.58,0.58,0.28,6,0.2292736610418195
0.46,0.36,0.58,0.28,6,0.2292736610418195
0.5,0.48,0.48,0.32,6,0.2292736610418195
0.38,0.42,0.6,0.3,6,0.2292736610418195
0.36,0.4,0.68,0.34,6,0.2292736610418195
0.4,0.38,0.32,0.28,6,0.2292736610418195
0.44,0.3,0.46,0.24,6,0.2292736610418195
0.08,0.48,0.48,0.24,6,0.2292736610418195
0.22,0.28,0.52,0.3,6,0.2292736610418195
0.38,0.4,0.56,0.24,6,0.2292736610418195
0.22,0.5,0.46,0.28,6,0.2292736610418195
0.28,0.26,0.54,0.28,6,0.2292736610418195
0.24,0.36,0.58,0.26,6,0.2292736610418195
0.18,0.52,0.36,0.34,6,0.2292736610418195
0.34,0.62,0.52,0.3,6,0.2292736610418195
0.3,0.4,0.5,0.3,6,0.2292736610418195
0.32,0.4,0.5,0.26,6,0.2292736610418195
0.2,0.34,0.52,0.32,6,0.2292736610418195
0.22,0.36,0.36,0.3,6,0.2292736610418195
0.16,0.5,0.44,0.24,6,0.2292736610418195
0.32,0.68,0.64,0.32,6,0.2292736610418195
0.3,0.4,0.4,0.34,6,0.2292736610418195
0.34,0.4,0.42,0.32,6,0.2292736610418195
0.18,0.44,0.48,0.22,6,0.2292736610418195
0.3,0.4,0.46,0.34,6,0.2292736610418195
0.34,0.46,0.46,0.24,6,0.2292736610418195
0.3,0.6,0.5,0.24,6,0.2292736610418195
0.48,0.3,0.64,0.3,6,0.2292736610418195
0.44,0.38,0.52,0.28,6,0.2292736610418195
0.2,0.46,0.16,0.38,6,0.2292736610418195
0.2,0.46,0.36,0.32,6,0.2292736610418195
0.44,0.42,0.52,0.3,6,0.2292736610418195
0.26,0.58,0.52,0.32,6,0.2292736610418195
0.4,0.52,0.56,0.24,6,0.2292736610418195
0.42,0.54,0.26,0.22,6,0.2292736610418195
0.54,0.5,0.58,0.38,6,0.2292736610418195
0.28,0.46,0.46,0.28,6,0.2292736610418195
0.24,0.54,0.54,0.26,6,0.2292736610418195
0.36,0.46,0.48,0.26,6,0.2292736610418195
0.24,0.66,0.44,0.26,6,0.2292736610418195
0.22,0.42,0.56,0.22,6,0.2292736610418195
0.34,0.4,0.44,0.32,6,0.2292736610418195
0.32,0.56,0.46,0.28,6,0.2292736610418195
0.34,0.4,0.52,0.3,6,0.2292736610418195
0.28,0.62,0.46,0.32,6,0.2292736610418195
0.3,0.34,0.56,0.28,6,0.2292736610418195
0.28,0.44,0.46,0.26,6,0.2292736610418195
0.42,0.64,0.5,0.38,6,0.2292736610418195
0.46,0.46,0.52,0.28,6,0.2292736610418195
0.5,0.24,0.36,0.28,6,0.2292736610418195
0.34,0.26,0.64,0.24,6,0.2292736610418195
0.42,0.66,0.56,0.34,6,0.2292736610418195
0.24,0.26,0.5,0.24,6,0.2292736610418195
0.12,0.48,0.32,0.3,6,0.2292736610418195
0.2,0.5,0.32,0.24,6,0.2292736610418195
0.28,0.54,0.48,0.32,6,0.2292736610418195
0.22,0.44,0.56,0.32,6,0.2292736610418195
0.2,0.44,0.46,0.3,6,0.2292736610418195
0.2,0.46,0.58,0.32,6,0.2292736610418195
0.4,0.6,0.5,0.26,6,0.2292736610418195
0.42,0.6,0.44,0.32,6,0.2292736610418195
0.5,0.68,0.52,0.28,6,0.2292736610418195
0.2,0.46,0.28,0.26,6,0.2292736610418195
0.26,0.46,0.4,0.22,6,0.2292736610418195
0.32,0.64,0.52,0.26,6,0.2292736610418195
0.2,0.68,0.38,0.32,6,0.2292736610418195
