base,extra,test,majority,num_classes,majority_all
0.56,0.72,0.7,0.88,2,0.8946
0.54,0.6,0.62,0.92,2,0.8946
0.46,0.72,0.76,0.84,2,0.8946
0.76,0.94,0.96,0.98,2,0.8946
0.54,0.64,0.62,0.88,2,0.8946
0.62,0.82,0.84,0.86,2,0.8946
0.58,0.7,0.82,0.84,2,0.8946
0.6,0.82,0.84,0.94,2,0.8946
0.7,0.88,0.84,0.88,2,0.8946
0.52,0.78,0.76,0.92,2,0.8946
0.46,0.78,0.84,0.88,2,0.8946
0.38,0.7,0.6,0.9,2,0.8946
0.62,0.7,0.72,0.94,2,0.8946
0.74,0.7,0.7,0.98,2,0.8946
0.66,0.74,0.78,0.92,2,0.8946
0.76,0.84,0.86,0.9,2,0.8946
0.8,0.74,0.74,0.86,2,0.8946
0.86,0.94,0.96,0.86,2,0.8946
0.7,0.82,0.76,0.92,2,0.8946
0.7,0.76,0.74,0.84,2,0.8946
0.56,0.9,0.96,0.98,2,0.8946
0.7,0.8,0.84,0.92,2,0.8946
0.48,0.82,0.82,0.88,2,0.8946
0.5,0.68,0.6,0.94,2,0.8946
0.5,0.78,0.8,0.94,2,0.8946
0.82,0.86,0.9,0.9,2,0.8946
0.6,0.72,0.66,0.88,2,0.8946
0.76,0.8,0.78,0.84,2,0.8946
0.36,0.72,0.66,0.9,2,0.8946
0.72,0.82,0.82,0.92,2,0.8946
0.7,0.88,0.82,0.9,2,0.8946
0.76,0.84,0.8,0.94,2,0.8946
0.66,0.8,0.74,0.92,2,0.8946
0.9,0.9,0.9,0.94,2,0.8946
0.64,0.72,0.72,0.84,2,0.8946
0.46,0.68,0.72,0.82,2,0.8946
0.76,0.84,0.86,0.94,2,0.8946
0.66,0.72,0.7,0.94,2,0.8946
0.62,0.88,0.88,0.9,2,0.8946
0.38,0.5,0.6,0.9,2,0.8946
0.4,0.54,0.62,0.94,2,0.8946
0.6,0.74,0.74,0.92,2,0.8946
0.54,0.72,0.72,0.9,2,0.8946
0.7,0.86,0.88,0.86,2,0.8946
0.78,0.7,0.72,0.9,2,0.8946
0.62,0.86,0.96,0.92,2,0.8946
0.58,0.86,0.82,0.88,2,0.8946
0.74,0.84,0.84,0.96,2,0.8946
0.76,0.74,0.7,0.9,2,0.8946
0.38,0.82,0.84,0.98,2,0.8946
0.74,0.9,0.9,0.92,2,0.8946
0.76,0.76,0.86,0.88,2,0.8946
0.84,0.86,0.84,0.86,2,0.8946
0.72,0.88,0.86,0.86,2,0.8946
0.48,0.82,0.88,0.92,2,0.8946
0.66,0.74,0.74,0.9,2,0.8946
0.5,0.78,0.8,0.9,2,0.8946
0.7,0.64,0.68,0.88,2,0.8946
0.46,0.54,0.5,0.96,2,0.8946
0.5,0.7,0.66,0.92,2,0.8946
0.78,0.82,0.8,0.9,2,0.8946
0.74,0.74,0.78,0.9,2,0.8946
0.76,0.46,0.72,0.94,2,0.8946
0.7,0.84,0.9,0.94,2,0.8946
0.8,0.86,0.92,0.98,2,0.8946
0.7,0.74,0.74,0.88,2,0.8946
0.46,0.62,0.56,0.92,2,0.8946
0.74,0.82,0.86,0.98,2,0.8946
0.5,0.48,0.52,0.88,2,0.8946
0.44,0.48,0.58,0.9,2,0.8946
0.6,0.76,0.76,0.92,2,0.8946
0.82,0.86,0.86,0.86,2,0.8946
0.64,0.84,0.72,0.88,2,0.8946
0.84,0.68,0.76,0.96,2,0.8946
0.62,0.88,0.88,0.9,2,0.8946
0.4,0.58,0.56,0.9,2,0.8946
0.48,0.8,0.82,0.88,2,0.8946
0.58,0.54,0.68,0.92,2,0.8946
0.76,0.7,0.68,0.9,2,0.8946
0.16,0.74,0.56,0.9,2,0.8946
0.64,0.72,0.68,0.82,2,0.8946
0.7,0.82,0.78,0.94,2,0.8946
0.88,0.82,0.78,0.98,2,0.8946
0.58,0.52,0.56,0.92,2,0.8946
0.46,0.8,0.82,0.94,2,0.8946
0.76,0.7,0.68,0.86,2,0.8946
0.5,0.8,0.88,0.94,2,0.8946
0.78,0.78,0.72,0.86,2,0.8946
0.84,0.88,0.88,0.94,2,0.8946
0.58,0.8,0.8,0.88,2,0.8946
0.6,0.72,0.68,0.88,2,0.8946
0.66,0.86,0.86,0.86,2,0.8946
0.7,0.8,0.84,0.92,2,0.8946
0.54,0.7,0.7,0.9,2,0.8946
0.84,0.84,0.88,0.88,2,0.8946
0.7,0.68,0.64,0.94,2,0.8946
0.6,0.66,0.62,0.88,2,0.8946
0.54,0.8,0.7,0.92,2,0.8946
0.7,0.74,0.76,0.96,2,0.8946
0.6,0.7,0.76,0.82,2,0.8946
