base,extra,test,majority,num_classes,majority_all
0.9,0.78,0.76,0.46,3,0.4950914982844072
0.92,0.84,0.78,0.54,3,0.4950914982844072
0.9,0.82,0.78,0.46,3,0.4950914982844072
0.84,0.76,0.78,0.44,3,0.4950914982844072
0.94,0.8,0.8,0.56,3,0.4950914982844072
0.9,0.9,0.9,0.56,3,0.4950914982844072
0.88,0.82,0.9,0.48,3,0.4950914982844072
0.84,0.82,0.84,0.48,3,0.4950914982844072
0.92,0.86,0.92,0.5,3,0.4950914982844072
0.92,0.78,0.84,0.48,3,0.4950914982844072
0.92,0.84,0.86,0.5,3,0.4950914982844072
0.92,0.88,0.84,0.5,3,0.4950914982844072
0.94,0.84,0.8,0.52,3,0.4950914982844072
0.8,0.82,0.82,0.54,3,0.4950914982844072
0.86,0.7,0.66,0.56,3,0.4950914982844072
0.94,0.82,0.82,0.48,3,0.4950914982844072
0.94,0.9,0.9,0.48,3,0.4950914982844072
0.86,0.74,0.74,0.48,3,0.4950914982844072
0.9,0.84,0.84,0.5,3,0.4950914982844072
0.94,0.84,0.8,0.48,3,0.4950914982844072
0.94,0.84,0.86,0.54,3,0.4950914982844072
0.78,0.8,0.8,0.56,3,0.4950914982844072
0.92,0.84,0.86,0.56,3,0.4950914982844072
0.94,0.88,0.86,0.66,3,0.4950914982844072
0.9,0.78,0.84,0.46,3,0.4950914982844072
0.88,0.84,0.86,0.54,3,0.4950914982844072
0.86,0.84,0.8,0.6,3,0.4950914982844072
0.94,0.88,0.88,0.56,3,0.4950914982844072
0.9,0.74,0.76,0.46,3,0.4950914982844072
0.72,0.68,0.7,0.5,3,0.4950914982844072
0.96,0.88,0.84,0.44,3,0.4950914982844072
0.9,0.8,0.82,0.5,3,0.4950914982844072
0.88,0.76,0.8,0.6,3,0.4950914982844072
0.92,0.84,0.84,0.56,3,0.4950914982844072
0.96,0.9,0.9,0.46,3,0.4950914982844072
0.88,0.9,0.86,0.48,3,0.4950914982844072
0.84,0.86,0.82,0.62,3,0.4950914982844072
0.84,0.76,0.8,0.44,3,0.4950914982844072
0.9,0.9,0.9,0.62,3,0.4950914982844072
0.92,0.82,0.86,0.66,3,0.4950914982844072
0.88,0.82,0.82,0.54,3,0.4950914982844072
0.9,0.84,0.84,0.52,3,0.4950914982844072
0.86,0.84,0.84,0.5,3,0.4950914982844072
0.9,0.78,0.78,0.5,3,0.4950914982844072
0.86,0.82,0.82,0.64,3,0.4950914982844072
0.76,0.88,0.86,0.48,3,0.4950914982844072
0.86,0.82,0.82,0.5,3,0.4950914982844072
0.92,0.88,0.86,0.48,3,0.4950914982844072
0.82,0.72,0.68,0.54,3,0.4950914982844072
0.94,0.86,0.88,0.56,3,0.4950914982844072
0.84,0.8,0.78,0.58,3,0.4950914982844072
0.88,0.84,0.84,0.46,3,0.4950914982844072
0.88,0.82,0.82,0.58,3,0.4950914982844072
0.84,0.74,0.76,0.5,3,0.4950914982844072
0.78,0.68,0.68,0.48,3,0.4950914982844072
0.92,0.78,0.76,0.5,3,0.4950914982844072
0.82,0.84,0.8,0.52,3,0.4950914982844072
0.92,0.9,0.92,0.54,3,0.4950914982844072
0.9,0.82,0.84,0.56,3,0.4950914982844072
0.74,0.72,0.72,0.6,3,0.4950914982844072
0.9,0.84,0.86,0.52,3,0.4950914982844072
0.86,0.8,0.76,0.52,3,0.4950914982844072
0.94,0.82,0.82,0.48,3,0.4950914982844072
0.86,0.82,0.84,0.52,3,0.4950914982844072
0.92,0.8,0.82,0.42,3,0.4950914982844072
0.9,0.86,0.88,0.58,3,0.4950914982844072
0.96,0.82,0.82,0.48,3,0.4950914982844072
0.9,0.88,0.86,0.52,3,0.4950914982844072
0.94,0.88,0.84,0.48,3,0.4950914982844072
0.9,0.8,0.8,0.54,3,0.4950914982844072
0.8,0.8,0.76,0.48,3,0.4950914982844072
0.9,0.7,0.74,0.48,3,0.4950914982844072
0.92,0.8,0.8,0.44,3,0.4950914982844072
0.94,0.92,0.84,0.52,3,0.4950914982844072
0.98,0.9,0.88,0.48,3,0.4950914982844072
0.84,0.76,0.72,0.52,3,0.4950914982844072
0.9,0.84,0.84,0.46,3,0.4950914982844072
0.9,0.84,0.84,0.44,3,0.4950914982844072
0.82,0.78,0.78,0.54,3,0.4950914982844072
0.88,0.78,0.8,0.48,3,0.4950914982844072
0.9,0.74,0.74,0.44,3,0.4950914982844072
0.96,0.78,0.8,0.48,3,0.4950914982844072
0.9,0.82,0.84,0.58,3,0.4950914982844072
0.96,0.8,0.82,0.6,3,0.4950914982844072
0.92,0.92,0.92,0.5,3,0.4950914982844072
0.96,0.82,0.84,0.68,3,0.4950914982844072
0.94,0.88,0.9,0.56,3,0.4950914982844072
0.9,0.86,0.86,0.46,3,0.4950914982844072
0.94,0.88,0.84,0.58,3,0.4950914982844072
0.98,0.96,0.96,0.52,3,0.4950914982844072
0.84,0.86,0.84,0.48,3,0.4950914982844072
0.8,0.7,0.72,0.48,3,0.4950914982844072
0.94,0.82,0.82,0.52,3,0.4950914982844072
0.82,0.86,0.86,0.62,3,0.4950914982844072
0.82,0.82,0.84,0.46,3,0.4950914982844072
0.9,0.76,0.78,0.56,3,0.4950914982844072
0.84,0.9,0.88,0.52,3,0.4950914982844072
0.88,0.9,0.92,0.52,3,0.4950914982844072
0.92,0.76,0.82,0.48,3,0.4950914982844072
0.88,0.88,0.84,0.56,3,0.4950914982844072
