base,extra,test,majority,num_classes,majority_all
0.24,0.2,0.2,0.42,4,0.4956233421750663
0.34,0.4,0.34,0.54,4,0.4956233421750663
0.38,0.28,0.28,0.36,4,0.4956233421750663
0.14,0.26,0.28,0.58,4,0.4956233421750663
0.2,0.28,0.26,0.44,4,0.4956233421750663
0.14,0.16,0.2,0.44,4,0.4956233421750663
0.16,0.22,0.22,0.56,4,0.4956233421750663
0.18,0.2,0.2,0.54,4,0.4956233421750663
0.26,0.38,0.3,0.4,4,0.4956233421750663
0.34,0.36,0.44,0.44,4,0.4956233421750663
0.3,0.34,0.38,0.48,4,0.4956233421750663
0.2,0.16,0.2,0.34,4,0.4956233421750663
0.2,0.22,0.16,0.56,4,0.4956233421750663
0.18,0.26,0.24,0.48,4,0.4956233421750663
0.24,0.22,0.2,0.46,4,0.4956233421750663
0.22,0.2,0.3,0.54,4,0.4956233421750663
0.3,0.42,0.32,0.5,4,0.4956233421750663
0.32,0.34,0.24,0.52,4,0.4956233421750663
0.24,0.38,0.28,0.42,4,0.4956233421750663
0.24,0.3,0.34,0.42,4,0.4956233421750663
0.18,0.32,0.3,0.48,4,0.4956233421750663
0.2,0.24,0.3,0.54,4,0.4956233421750663
0.26,0.14,0.3,0.54,4,0.4956233421750663
0.2,0.28,0.28,0.4,4,0.4956233421750663
0.3,0.22,0.26,0.58,4,0.4956233421750663
0.16,0.2,0.3,0.54,4,0.4956233421750663
0.34,0.12,0.32,0.54,4,0.4956233421750663
0.28,0.34,0.38,0.58,4,0.4956233421750663
0.28,0.28,0.28,0.44,4,0.4956233421750663
0.24,0.24,0.16,0.44,4,0.4956233421750663
0.24,0.28,0.26,0.52,4,0.4956233421750663
0.12,0.3,0.3,0.58,4,0.4956233421750663
0.3,0.3,0.28,0.36,4,0.4956233421750663
0.18,0.3,0.32,0.5,4,0.4956233421750663
0.24,0.24,0.24,0.52,4,0.4956233421750663
0.3,0.36,0.3,0.44,4,0.4956233421750663
0.2,0.2,0.2,0.54,4,0.4956233421750663
0.3,0.38,0.24,0.42,4,0.4956233421750663
0.22,0.34,0.3,0.52,4,0.4956233421750663
0.12,0.16,0.16,0.54,4,0.4956233421750663
0.28,0.36,0.36,0.5,4,0.4956233421750663
0.28,0.46,0.4,0.36,4,0.4956233421750663
0.16,0.2,0.18,0.5,4,0.4956233421750663
0.14,0.26,0.4,0.62,4,0.4956233421750663
0.2,0.28,0.26,0.4,4,0.4956233421750663
0.24,0.36,0.28,0.44,4,0.4956233421750663
0.3,0.24,0.24,0.46,4,0.4956233421750663
0.2,0.28,0.3,0.44,4,0.4956233421750663
0.1,0.22,0.2,0.76,4,0.4956233421750663
0.34,0.32,0.26,0.44,4,0.4956233421750663
0.18,0.24,0.24,0.58,4,0.4956233421750663
0.26,0.24,0.22,0.42,4,0.4956233421750663
0.2,0.4,0.36,0.5,4,0.4956233421750663
0.3,0.36,0.24,0.48,4,0.4956233421750663
0.18,0.34,0.3,0.46,4,0.4956233421750663
0.32,0.24,0.22,0.52,4,0.4956233421750663
0.16,0.26,0.24,0.56,4,0.4956233421750663
0.28,0.34,0.42,0.46,4,0.4956233421750663
0.22,0.34,0.28,0.58,4,0.4956233421750663
0.3,0.3,0.24,0.5,4,0.4956233421750663
0.22,0.26,0.28,0.56,4,0.4956233421750663
0.28,0.26,0.3,0.64,4,0.4956233421750663
0.24,0.32,0.36,0.52,4,0.4956233421750663
0.28,0.22,0.24,0.54,4,0.4956233421750663
0.16,0.32,0.3,0.5,4,0.4956233421750663
0.26,0.2,0.22,0.6,4,0.4956233421750663
0.18,0.3,0.18,0.52,4,0.4956233421750663
0.26,0.28,0.34,0.52,4,0.4956233421750663
0.18,0.32,0.3,0.52,4,0.4956233421750663
0.2,0.28,0.26,0.46,4,0.4956233421750663
0.3,0.12,0.3,0.46,4,0.4956233421750663
0.36,0.28,0.26,0.48,4,0.4956233421750663
0.28,0.4,0.44,0.52,4,0.4956233421750663
0.24,0.32,0.3,0.46,4,0.4956233421750663
0.14,0.24,0.24,0.44,4,0.4956233421750663
0.22,0.38,0.32,0.58,4,0.4956233421750663
0.24,0.12,0.14,0.62,4,0.4956233421750663
0.2,0.32,0.26,0.46,4,0.4956233421750663
0.22,0.26,0.32,0.4,4,0.4956233421750663
0.24,0.28,0.18,0.52,4,0.4956233421750663
0.28,0.24,0.26,0.52,4,0.4956233421750663
0.22,0.24,0.2,0.44,4,0.4956233421750663
0.24,0.36,0.36,0.5,4,0.4956233421750663
0.16,0.18,0.22,0.56,4,0.4956233421750663
0.24,0.28,0.28,0.58,4,0.4956233421750663
0.18,0.12,0.2,0.46,4,0.4956233421750663
0.3,0.3,0.36,0.4,4,0.4956233421750663
0.24,0.24,0.28,0.62,4,0.4956233421750663
0.12,0.2,0.26,0.52,4,0.4956233421750663
0.18,0.24,0.2,0.56,4,0.4956233421750663
0.12,0.22,0.2,0.6,4,0.4956233421750663
0.22,0.22,0.32,0.5,4,0.4956233421750663
0.3,0.26,0.26,0.34,4,0.4956233421750663
0.26,0.28,0.22,0.52,4,0.4956233421750663
0.22,0.34,0.34,0.48,4,0.4956233421750663
0.28,0.32,0.34,0.48,4,0.4956233421750663
0.24,0.22,0.26,0.36,4,0.4956233421750663
0.2,0.26,0.32,0.54,4,0.4956233421750663
0.26,0.28,0.32,0.56,4,0.4956233421750663
0.28,0.26,0.24,0.54,4,0.4956233421750663
