base,extra,test,majority,num_classes,majority_all
0.52,0.66,0.7,0.94,2,0.9298542018647143
0.78,0.7,0.74,0.94,2,0.9298542018647143
0.46,0.68,0.7,0.94,2,0.9298542018647143
0.6,0.78,0.8,0.98,2,0.9298542018647143
0.44,0.54,0.52,0.94,2,0.9298542018647143
0.66,0.74,0.76,0.88,2,0.9298542018647143
0.58,0.64,0.68,0.92,2,0.9298542018647143
0.46,0.62,0.7,0.9,2,0.9298542018647143
0.64,0.7,0.7,0.94,2,0.9298542018647143
0.62,0.62,0.72,0.92,2,0.9298542018647143
0.6,0.64,0.64,0.9,2,0.9298542018647143
0.62,0.62,0.76,0.96,2,0.9298542018647143
0.72,0.68,0.68,0.96,2,0.9298542018647143
0.58,0.74,0.76,0.96,2,0.9298542018647143
0.7,0.88,0.84,0.92,2,0.9298542018647143
0.56,0.58,0.58,1.0,2,0.9298542018647143
0.78,0.88,0.88,0.92,2,0.9298542018647143
0.5,0.58,0.58,0.92,2,0.9298542018647143
0.44,0.7,0.7,0.94,2,0.9298542018647143
0.64,0.8,0.74,0.94,2,0.9298542018647143
0.56,0.64,0.58,0.96,2,0.9298542018647143
0.64,0.82,0.78,0.94,2,0.9298542018647143
0.66,0.74,0.74,0.86,2,0.9298542018647143
0.5,0.64,0.66,0.9,2,0.9298542018647143
0.68,0.72,0.74,0.98,2,0.9298542018647143
0.66,0.74,0.72,0.9,2,0.9298542018647143
0.84,0.84,0.84,0.94,2,0.9298542018647143
0.72,0.8,0.76,0.9,2,0.9298542018647143
0.84,0.88,0.8,0.92,2,0.9298542018647143
0.68,0.7,0.68,0.94,2,0.9298542018647143
0.64,0.68,0.66,0.96,2,0.9298542018647143
0.6,0.66,0.62,0.98,2,0.9298542018647143
0.56,0.72,0.68,0.84,2,0.9298542018647143
0.62,0.54,0.58,0.96,2,0.9298542018647143
0.6,0.58,0.66,0.98,2,0.9298542018647143
0.66,0.72,0.68,0.9,2,0.9298542018647143
0.64,0.88,0.82,0.88,2,0.9298542018647143
0.62,0.64,0.66,0.94,2,0.9298542018647143
0.68,0.58,0.74,0.92,2,0.9298542018647143
0.68,0.76,0.76,0.92,2,0.9298542018647143
0.74,0.74,0.8,0.9,2,0.9298542018647143
0.52,0.78,0.92,0.94,2,0.9298542018647143
0.5,0.72,0.74,0.9,2,0.9298542018647143
0.68,0.6,0.76,0.96,2,0.9298542018647143
0.72,0.68,0.72,0.92,2,0.9298542018647143
0.7,0.86,0.86,0.9,2,0.9298542018647143
0.72,0.78,0.78,0.94,2,0.9298542018647143
0.62,0.8,0.76,0.92,2,0.9298542018647143
0.76,0.74,0.76,0.92,2,0.9298542018647143
0.7,0.72,0.72,0.9,2,0.9298542018647143
0.6,0.76,0.74,0.88,2,0.9298542018647143
0.42,0.78,0.74,0.94,2,0.9298542018647143
0.5,0.8,0.78,0.9,2,0.9298542018647143
0.76,0.82,0.86,0.92,2,0.9298542018647143
0.72,0.82,0.86,0.94,2,0.9298542018647143
0.76,0.68,0.64,1.0,2,0.9298542018647143
0.66,0.78,0.76,0.94,2,0.9298542018647143
0.58,0.7,0.74,0.98,2,0.9298542018647143
0.68,0.78,0.82,0.98,2,0.9298542018647143
0.48,0.6,0.64,0.92,2,0.9298542018647143
0.58,0.62,0.62,0.94,2,0.9298542018647143
0.64,0.8,0.78,0.98,2,0.9298542018647143
0.76,0.7,0.72,0.94,2,0.9298542018647143
0.72,0.66,0.62,0.9,2,0.9298542018647143
0.76,0.74,0.72,0.98,2,0.9298542018647143
0.64,0.72,0.76,0.86,2,0.9298542018647143
0.68,0.76,0.72,0.96,2,0.9298542018647143
0.78,0.62,0.56,0.92,2,0.9298542018647143
0.82,0.92,0.9,0.98,2,0.9298542018647143
0.72,0.72,0.78,0.92,2,0.9298542018647143
0.4,0.72,0.78,0.96,2,0.9298542018647143
0.48,0.88,0.84,0.9,2,0.9298542018647143
0.56,0.62,0.62,0.9,2,0.9298542018647143
0.86,0.74,0.82,0.96,2,0.9298542018647143
0.76,0.7,0.74,0.94,2,0.9298542018647143
0.56,0.76,0.74,0.94,2,0.9298542018647143
0.34,0.4,0.4,0.98,2,0.9298542018647143
0.66,0.86,0.86,0.96,2,0.9298542018647143
0.8,0.84,0.84,0.92,2,0.9298542018647143
0.66,0.68,0.66,0.92,2,0.9298542018647143
0.5,0.64,0.62,0.96,2,0.9298542018647143
0.5,0.68,0.66,0.94,2,0.9298542018647143
0.74,0.78,0.78,0.94,2,0.9298542018647143
0.68,0.58,0.68,0.96,2,0.9298542018647143
0.78,0.78,0.8,0.92,2,0.9298542018647143
0.68,0.86,0.9,0.94,2,0.9298542018647143
0.7,0.76,0.82,0.92,2,0.9298542018647143
0.7,0.7,0.68,0.9,2,0.9298542018647143
0.38,0.66,0.78,0.86,2,0.9298542018647143
0.68,0.72,0.72,0.9,2,0.9298542018647143
0.78,0.76,0.74,0.96,2,0.9298542018647143
0.58,0.78,0.82,0.96,2,0.9298542018647143
0.72,0.58,0.64,0.96,2,0.9298542018647143
0.56,0.7,0.72,0.96,2,0.9298542018647143
0.76,0.7,0.74,0.94,2,0.9298542018647143
0.62,0.62,0.76,0.9,2,0.9298542018647143
0.68,0.78,0.78,0.92,2,0.9298542018647143
0.74,0.86,0.84,0.88,2,0.9298542018647143
0.64,0.82,0.8,0.96,2,0.9298542018647143
0.7,0.68,0.6,0.9,2,0.9298542018647143
