base,extra,test,majority,num_classes,majority_all
0.38,0.404,0.24,0.448,4,0.4956233421750663
0.358,0.54,0.59,0.462,4,0.4956233421750663
0.424,0.542,0.6,0.458,4,0.4956233421750663
0.384,0.498,0.542,0.522,4,0.4956233421750663
0.444,0.608,0.596,0.498,4,0.4956233421750663
0.406,0.396,0.592,0.49,4,0.4956233421750663
0.332,0.47,0.41,0.508,4,0.4956233421750663
0.326,0.396,0.45,0.512,4,0.4956233421750663
0.284,0.416,0.404,0.484,4,0.4956233421750663
0.428,0.548,0.54,0.48,4,0.4956233421750663
0.33,0.478,0.366,0.492,4,0.4956233421750663
0.288,0.41,0.344,0.494,4,0.4956233421750663
0.326,0.496,0.148,0.502,4,0.4956233421750663
0.338,0.548,0.556,0.496,4,0.4956233421750663
0.536,0.468,0.552,0.502,4,0.4956233421750663
0.266,0.582,0.396,0.526,4,0.4956233421750663
0.328,0.51,0.668,0.5,4,0.4956233421750663
0.292,0.568,0.48,0.432,4,0.4956233421750663
0.44,0.468,0.404,0.488,4,0.4956233421750663
0.37,0.344,0.424,0.51,4,0.4956233421750663
