base,extra,test,majority,num_classes,majority_all
0.524,0.496,0.51,0.532,2,0.5228141513929105
0.544,0.558,0.542,0.524,2,0.5228141513929105
0.512,0.522,0.522,0.528,2,0.5228141513929105
0.518,0.538,0.514,0.576,2,0.5228141513929105
0.536,0.534,0.528,0.502,2,0.5228141513929105
0.496,0.538,0.56,0.546,2,0.5228141513929105
0.532,0.52,0.506,0.536,2,0.5228141513929105
0.564,0.564,0.57,0.522,2,0.5228141513929105
0.486,0.482,0.51,0.55,2,0.5228141513929105
0.518,0.526,0.51,0.504,2,0.5228141513929105
0.558,0.562,0.576,0.522,2,0.5228141513929105
0.532,0.538,0.552,0.534,2,0.5228141513929105
0.548,0.552,0.566,0.522,2,0.5228141513929105
0.5,0.506,0.518,0.512,2,0.5228141513929105
0.498,0.504,0.488,0.514,2,0.5228141513929105
0.506,0.496,0.51,0.52,2,0.5228141513929105
0.51,0.528,0.54,0.534,2,0.5228141513929105
0.51,0.522,0.548,0.506,2,0.5228141513929105
0.536,0.494,0.528,0.51,2,0.5228141513929105
0.52,0.518,0.536,0.52,2,0.5228141513929105
