base,extra,test,majority,num_classes,majority_all
0.306,0.194,0.234,0.404,4,0.4260586319218241
0.312,0.242,0.214,0.452,4,0.4260586319218241
0.246,0.152,0.154,0.434,4,0.4260586319218241
0.304,0.244,0.2,0.416,4,0.4260586319218241
0.308,0.17,0.176,0.42,4,0.4260586319218241
0.314,0.228,0.216,0.436,4,0.4260586319218241
0.294,0.18,0.18,0.446,4,0.4260586319218241
0.184,0.21,0.196,0.412,4,0.4260586319218241
0.33,0.23,0.212,0.46,4,0.4260586319218241
0.336,0.224,0.212,0.46,4,0.4260586319218241
0.324,0.166,0.186,0.436,4,0.4260586319218241
0.316,0.186,0.182,0.456,4,0.4260586319218241
0.242,0.182,0.142,0.448,4,0.4260586319218241
0.352,0.26,0.262,0.468,4,0.4260586319218241
0.286,0.194,0.214,0.408,4,0.4260586319218241
0.316,0.222,0.218,0.444,4,0.4260586319218241
0.36,0.236,0.214,0.456,4,0.4260586319218241
0.276,0.15,0.162,0.442,4,0.4260586319218241
0.298,0.17,0.182,0.436,4,0.4260586319218241
0.35,0.17,0.212,0.45,4,0.4260586319218241
