base,extra,test,majority,num_classes,majority_all
0.366,0.256,0.254,0.448,4,0.4956233421750663
0.262,0.306,0.286,0.462,4,0.4956233421750663
0.264,0.284,0.268,0.458,4,0.4956233421750663
0.206,0.226,0.228,0.522,4,0.4956233421750663
0.22,0.2,0.2,0.498,4,0.4956233421750663
0.226,0.248,0.234,0.49,4,0.4956233421750663
0.228,0.222,0.286,0.508,4,0.4956233421750663
0.212,0.238,0.252,0.512,4,0.4956233421750663
0.21,0.258,0.26,0.484,4,0.4956233421750663
0.224,0.34,0.328,0.48,4,0.4956233421750663
0.234,0.246,0.248,0.492,4,0.4956233421750663
0.202,0.25,0.24,0.494,4,0.4956233421750663
0.218,0.28,0.286,0.502,4,0.4956233421750663
0.216,0.27,0.256,0.496,4,0.4956233421750663
0.284,0.284,0.254,0.502,4,0.4956233421750663
0.222,0.216,0.218,0.526,4,0.4956233421750663
0.264,0.308,0.294,0.5,4,0.4956233421750663
0.244,0.314,0.312,0.432,4,0.4956233421750663
0.252,0.232,0.226,0.488,4,0.4956233421750663
0.188,0.244,0.238,0.51,4,0.4956233421750663
