base,extra,test,majority,num_classes,majority_all
0.192,0.182,0.174,0.3,6,0.335125
0.238,0.162,0.166,0.308,6,0.335125
0.23,0.174,0.164,0.336,6,0.335125
0.232,0.204,0.21,0.324,6,0.335125
0.26,0.158,0.176,0.336,6,0.335125
0.244,0.198,0.186,0.352,6,0.335125
0.238,0.15,0.148,0.356,6,0.335125
0.25,0.184,0.172,0.332,6,0.335125
0.258,0.15,0.136,0.352,6,0.335125
0.236,0.176,0.178,0.344,6,0.335125
0.224,0.17,0.19,0.352,6,0.335125
0.226,0.194,0.194,0.338,6,0.335125
0.216,0.174,0.174,0.32,6,0.335125
0.268,0.18,0.17,0.354,6,0.335125
0.256,0.152,0.168,0.336,6,0.335125
0.292,0.178,0.202,0.382,6,0.335125
0.258,0.156,0.184,0.356,6,0.335125
0.274,0.188,0.19,0.364,6,0.335125
0.224,0.18,0.18,0.314,6,0.335125
0.27,0.194,0.184,0.368,6,0.335125
