base,extra,test,majority,num_classes,majority_all
0.694,0.736,0.68,0.624,3,0.6143992932862191
0.668,0.766,0.736,0.66,3,0.6143992932862191
0.604,0.68,0.716,0.628,3,0.6143992932862191
0.664,0.646,0.684,0.622,3,0.6143992932862191
0.666,0.66,0.702,0.604,3,0.6143992932862191
0.662,0.658,0.678,0.646,3,0.6143992932862191
0.582,0.664,0.662,0.624,3,0.6143992932862191
0.674,0.616,0.548,0.63,3,0.6143992932862191
0.62,0.624,0.644,0.624,3,0.6143992932862191
0.676,0.704,0.718,0.636,3,0.6143992932862191
0.656,0.704,0.72,0.64,3,0.6143992932862191
0.602,0.754,0.704,0.646,3,0.6143992932862191
0.666,0.694,0.716,0.674,3,0.6143992932862191
0.69,0.72,0.682,0.642,3,0.6143992932862191
0.568,0.71,0.7,0.596,3,0.6143992932862191
0.688,0.624,0.644,0.616,3,0.6143992932862191
0.612,0.674,0.594,0.66,3,0.6143992932862191
0.622,0.746,0.714,0.646,3,0.6143992932862191
0.674,0.688,0.668,0.63,3,0.6143992932862191
0.716,0.672,0.55,0.646,3,0.6143992932862191
