base,extra,test,majority,num_classes,majority_all
0.24,0.212,0.184,0.228,6,0.2292736610418195
0.28,0.352,0.322,0.252,6,0.2292736610418195
0.324,0.344,0.292,0.222,6,0.2292736610418195
0.24,0.236,0.282,0.23,6,0.2292736610418195
0.356,0.284,0.218,0.236,6,0.2292736610418195
0.312,0.358,0.368,0.248,6,0.2292736610418195
0.368,0.314,0.32,0.272,6,0.2292736610418195
0.264,0.29,0.252,0.22,6,0.2292736610418195
0.39,0.302,0.294,0.266,6,0.2292736610418195
0.32,0.316,0.29,0.23,6,0.2292736610418195
0.31,0.352,0.288,0.262,6,0.2292736610418195
0.338,0.316,0.338,0.244,6,0.2292736610418195
0.236,0.304,0.268,0.228,6,0.2292736610418195
0.286,0.318,0.328,0.25,6,0.2292736610418195
0.274,0.272,0.302,0.23,6,0.2292736610418195
0.256,0.342,0.398,0.258,6,0.2292736610418195
0.328,0.294,0.304,0.268,6,0.2292736610418195
0.31,0.256,0.258,0.218,6,0.2292736610418195
0.308,0.262,0.288,0.24,6,0.2292736610418195
0.26,0.294,0.33,0.224,6,0.2292736610418195
