base,extra,test,majority,num_classes,majority_all
0.128,0.1,0.106,0.128,10,0.1
0.108,0.116,0.12,0.126,10,0.1
0.11,0.108,0.124,0.126,10,0.1
0.082,0.074,0.082,0.134,10,0.1
0.098,0.094,0.082,0.116,10,0.1
0.108,0.094,0.096,0.116,10,0.1
0.094,0.086,0.104,0.114,10,0.1
0.104,0.11,0.112,0.118,10,0.1
0.094,0.094,0.104,0.122,10,0.1
0.104,0.09,0.108,0.118,10,0.1
0.116,0.106,0.122,0.122,10,0.1
0.114,0.128,0.116,0.128,10,0.1
0.1,0.104,0.114,0.132,10,0.1
0.086,0.078,0.086,0.116,10,0.1
0.092,0.088,0.066,0.112,10,0.1
0.102,0.1,0.102,0.116,10,0.1
0.082,0.088,0.09,0.114,10,0.1
0.092,0.092,0.084,0.118,10,0.1
0.092,0.1,0.098,0.114,10,0.1
0.084,0.102,0.114,0.114,10,0.1
