base,extra,test,majority,num_classes,majority_all
0.232,0.226,0.22,0.228,5,0.2
0.212,0.23,0.208,0.222,5,0.2
0.208,0.212,0.218,0.21,5,0.2
0.228,0.242,0.234,0.226,5,0.2
0.212,0.214,0.216,0.206,5,0.2
0.164,0.214,0.2,0.222,5,0.2
0.204,0.182,0.2,0.22,5,0.2
0.208,0.264,0.27,0.216,5,0.2
0.192,0.192,0.212,0.22,5,0.2
0.198,0.202,0.236,0.214,5,0.2
0.198,0.238,0.252,0.218,5,0.2
0.186,0.202,0.188,0.222,5,0.2
0.194,0.182,0.2,0.22,5,0.2
0.248,0.214,0.236,0.224,5,0.2
0.18,0.198,0.196,0.236,5,0.2
0.186,0.158,0.17,0.252,5,0.2
0.248,0.23,0.278,0.246,5,0.2
0.208,0.192,0.178,0.224,5,0.2
0.24,0.228,0.244,0.234,5,0.2
0.212,0.22,0.24,0.212,5,0.2
