base,extra,test,majority,num_classes,majority_all
0.194,0.256,0.266,0.228,6,0.2292736610418195
0.16,0.172,0.174,0.252,6,0.2292736610418195
0.242,0.176,0.184,0.222,6,0.2292736610418195
0.186,0.244,0.244,0.23,6,0.2292736610418195
0.232,0.254,0.222,0.236,6,0.2292736610418195
0.22,0.218,0.202,0.248,6,0.2292736610418195
0.222,0.236,0.24,0.272,6,0.2292736610418195
0.178,0.206,0.178,0.22,6,0.2292736610418195
0.224,0.21,0.196,0.266,6,0.2292736610418195
0.186,0.194,0.2,0.23,6,0.2292736610418195
0.122,0.198,0.24,0.262,6,0.2292736610418195
0.152,0.17,0.188,0.244,6,0.2292736610418195
0.2,0.204,0.194,0.228,6,0.2292736610418195
0.122,0.22,0.21,0.25,6,0.2292736610418195
0.198,0.212,0.19,0.23,6,0.2292736610418195
0.126,0.176,0.178,0.258,6,0.2292736610418195
0.202,0.176,0.184,0.268,6,0.2292736610418195
0.132,0.226,0.208,0.218,6,0.2292736610418195
0.18,0.194,0.206,0.24,6,0.2292736610418195
0.222,0.186,0.206,0.224,6,0.2292736610418195
