base,extra,test,majority,num_classes,majority_all
0.18,0.2,0.34,0.64,5,0.6053286584624998
0.04,0.14,0.08,0.64,5,0.6053286584624998
0.16,0.38,0.22,0.58,5,0.6053286584624998
0.1,0.5,0.28,0.6,5,0.6053286584624998
0.06,0.1,0.18,0.6,5,0.6053286584624998
0.08,0.2,0.28,0.6,5,0.6053286584624998
0.12,0.2,0.24,0.58,5,0.6053286584624998
0.22,0.26,0.24,0.48,5,0.6053286584624998
0.08,0.26,0.48,0.62,5,0.6053286584624998
0.16,0.12,0.54,0.54,5,0.6053286584624998
0.1,0.34,0.26,0.56,5,0.6053286584624998
0.14,0.22,0.2,0.56,5,0.6053286584624998
0.12,0.28,0.42,0.62,5,0.6053286584624998
0.12,0.24,0.32,0.66,5,0.6053286584624998
0.12,0.36,0.26,0.54,5,0.6053286584624998
0.1,0.08,0.4,0.6,5,0.6053286584624998
0.2,0.24,0.26,0.58,5,0.6053286584624998
0.12,0.56,0.32,0.6,5,0.6053286584624998
0.18,0.12,0.1,0.6,5,0.6053286584624998
0.08,0.24,0.66,0.66,5,0.6053286584624998
0.16,0.46,0.24,0.64,5,0.6053286584624998
0.16,0.2,0.18,0.62,5,0.6053286584624998
0.1,0.22,0.28,0.52,5,0.6053286584624998
0.1,0.24,0.16,0.54,5,0.6053286584624998
0.24,0.22,0.3,0.48,5,0.6053286584624998
0.14,0.5,0.1,0.58,5,0.6053286584624998
0.06,0.36,0.2,0.68,5,0.6053286584624998
0.16,0.42,0.3,0.52,5,0.6053286584624998
0.06,0.16,0.14,0.54,5,0.6053286584624998
0.12,0.22,0.16,0.56,5,0.6053286584624998
0.2,0.36,0.28,0.44,5,0.6053286584624998
0.22,0.46,0.16,0.64,5,0.6053286584624998
0.2,0.12,0.3,0.52,5,0.6053286584624998
0.1,0.32,0.5,0.64,5,0.6053286584624998
0.12,0.26,0.36,0.68,5,0.6053286584624998
0.18,0.12,0.2,0.56,5,0.6053286584624998
0.18,0.24,0.32,0.48,5,0.6053286584624998
0.1,0.06,0.46,0.7,5,0.6053286584624998
0.14,0.24,0.3,0.62,5,0.6053286584624998
0.24,0.48,0.4,0.54,5,0.6053286584624998
0.2,0.26,0.26,0.58,5,0.6053286584624998
0.06,0.38,0.12,0.68,5,0.6053286584624998
0.16,0.2,0.24,0.5,5,0.6053286584624998
0.2,0.32,0.4,0.52,5,0.6053286584624998
0.12,0.1,0.12,0.76,5,0.6053286584624998
0.14,0.34,0.26,0.6,5,0.6053286584624998
0.18,0.34,0.22,0.62,5,0.6053286584624998
0.26,0.16,0.2,0.64,5,0.6053286584624998
0.1,0.4,0.26,0.68,5,0.6053286584624998
0.08,0.26,0.26,0.62,5,0.6053286584624998
0.18,0.14,0.32,0.6,5,0.6053286584624998
0.2,0.1,0.16,0.52,5,0.6053286584624998
0.14,0.38,0.3,0.56,5,0.6053286584624998
0.1,0.16,0.52,0.68,5,0.6053286584624998
0.18,0.28,0.26,0.54,5,0.6053286584624998
0.08,0.12,0.28,0.62,5,0.6053286584624998
0.22,0.18,0.32,0.58,5,0.6053286584624998
0.1,0.18,0.12,0.54,5,0.6053286584624998
0.2,0.22,0.18,0.5,5,0.6053286584624998
0.08,0.32,0.36,0.62,5,0.6053286584624998
0.14,0.22,0.16,0.6,5,0.6053286584624998
0.14,0.32,0.24,0.6,5,0.6053286584624998
0.16,0.22,0.34,0.64,5,0.6053286584624998
0.18,0.16,0.12,0.62,5,0.6053286584624998
0.08,0.06,0.18,0.72,5,0.6053286584624998
0.1,0.44,0.34,0.54,5,0.6053286584624998
0.14,0.2,0.36,0.66,5,0.6053286584624998
0.24,0.24,0.38,0.42,5,0.6053286584624998
0.1,0.04,0.04,0.68,5,0.6053286584624998
0.08,0.42,0.26,0.6,5,0.6053286584624998
0.1,0.28,0.46,0.7,5,0.6053286584624998
0.1,0.24,0.16,0.66,5,0.6053286584624998
0.06,0.42,0.36,0.62,5,0.6053286584624998
0.08,0.16,0.16,0.5,5,0.6053286584624998
0.14,0.2,0.32,0.52,5,0.6053286584624998
0.14,0.28,0.34,0.48,5,0.6053286584624998
0.2,0.14,0.18,0.54,5,0.6053286584624998
0.16,0.24,0.14,0.5,5,0.6053286584624998
0.16,0.28,0.2,0.52,5,0.6053286584624998
0.08,0.44,0.06,0.64,5,0.6053286584624998
0.06,0.18,0.16,0.56,5,0.6053286584624998
0.06,0.18,0.2,0.54,5,0.6053286584624998
0.1,0.12,0.18,0.64,5,0.6053286584624998
0.12,0.52,0.3,0.78,5,0.6053286584624998
0.24,0.36,0.22,0.54,5,0.6053286584624998
0.1,0.22,0.04,0.64,5,0.6053286584624998
0.16,0.32,0.2,0.48,5,0.6053286584624998
0.12,0.3,0.16,0.6,5,0.6053286584624998
0.12,0.36,0.34,0.6,5,0.6053286584624998
0.2,0.16,0.3,0.56,5,0.6053286584624998
0.16,0.28,0.36,0.58,5,0.6053286584624998
0.16,0.08,0.06,0.5,5,0.6053286584624998
0.1,0.3,0.38,0.66,5,0.6053286584624998
0.12,0.26,0.14,0.68,5,0.6053286584624998
0.16,0.24,0.14,0.52,5,0.6053286584624998
0.1,0.14,0.1,0.76,5,0.6053286584624998
0.1,0.5,0.44,0.66,5,0.6053286584624998
0.12,0.16,0.22,0.66,5,0.6053286584624998
0.2,0.22,0.46,0.56,5,0.6053286584624998
0.14,0.08,0.44,0.58,5,0.6053286584624998
