base,extra,test,majority,num_classes,majority_all
0.9,0.9,0.96,0.5,3,0.4950914982844072
0.84,0.88,0.94,0.54,3,0.4950914982844072
0.76,0.8,0.84,0.48,3,0.4950914982844072
0.76,0.76,0.8,0.46,3,0.4950914982844072
0.5,0.82,0.86,0.56,3,0.4950914982844072
0.74,0.9,0.9,0.46,3,0.4950914982844072
0.86,0.74,0.86,0.5,3,0.4950914982844072
0.82,0.82,0.92,0.56,3,0.4950914982844072
0.76,0.82,0.8,0.54,3,0.4950914982844072
0.76,0.94,0.8,0.48,3,0.4950914982844072
0.78,0.74,0.94,0.56,3,0.4950914982844072
0.88,0.9,0.92,0.5,3,0.4950914982844072
0.86,0.98,0.98,0.58,3,0.4950914982844072
0.78,0.88,0.86,0.46,3,0.4950914982844072
0.74,0.88,0.78,0.46,3,0.4950914982844072
0.86,0.78,0.9,0.5,3,0.4950914982844072
0.82,0.74,0.7,0.48,3,0.4950914982844072
0.86,0.8,0.8,0.48,3,0.4950914982844072
0.8,0.88,0.92,0.56,3,0.4950914982844072
0.86,0.92,0.88,0.54,3,0.4950914982844072
0.86,0.94,0.94,0.46,3,0.4950914982844072
0.8,0.9,0.84,0.46,3,0.4950914982844072
0.82,0.94,0.94,0.5,3,0.4950914982844072
0.86,0.84,0.86,0.5,3,0.4950914982844072
0.9,0.94,0.94,0.56,3,0.4950914982844072
0.88,0.96,0.9,0.56,3,0.4950914982844072
0.84,0.94,0.98,0.46,3,0.4950914982844072
0.86,0.86,0.84,0.58,3,0.4950914982844072
0.9,0.9,0.96,0.54,3,0.4950914982844072
0.84,0.9,0.96,0.48,3,0.4950914982844072
0.7,0.84,0.72,0.46,3,0.4950914982844072
0.72,0.86,0.88,0.46,3,0.4950914982844072
0.7,0.86,0.8,0.48,3,0.4950914982844072
0.74,0.86,0.92,0.5,3,0.4950914982844072
0.82,0.9,0.8,0.62,3,0.4950914982844072
0.88,0.9,0.9,0.5,3,0.4950914982844072
0.88,0.78,0.88,0.52,3,0.4950914982844072
0.8,0.88,0.96,0.54,3,0.4950914982844072
0.84,0.86,0.78,0.54,3,0.4950914982844072
0.8,0.9,0.88,0.48,3,0.4950914982844072
0.78,0.92,0.9,0.48,3,0.4950914982844072
0.82,0.92,0.8,0.56,3,0.4950914982844072
0.92,0.92,0.96,0.52,3,0.4950914982844072
0.84,0.88,0.92,0.5,3,0.4950914982844072
0.72,0.78,0.78,0.54,3,0.4950914982844072
0.7,0.88,0.94,0.46,3,0.4950914982844072
0.76,0.78,0.8,0.5,3,0.4950914982844072
0.84,0.86,0.76,0.5,3,0.4950914982844072
0.78,0.86,0.78,0.5,3,0.4950914982844072
0.84,0.78,0.72,0.54,3,0.4950914982844072
0.72,0.7,0.9,0.52,3,0.4950914982844072
0.84,0.94,0.94,0.52,3,0.4950914982844072
0.92,0.76,0.86,0.54,3,0.4950914982844072
0.82,0.92,0.82,0.54,3,0.4950914982844072
0.88,0.88,0.86,0.62,3,0.4950914982844072
0.92,0.88,0.94,0.52,3,0.4950914982844072
0.86,0.9,0.88,0.52,3,0.4950914982844072
0.86,0.7,0.84,0.48,3,0.4950914982844072
0.8,0.82,0.78,0.52,3,0.4950914982844072
0.8,0.86,0.9,0.48,3,0.4950914982844072
0.74,0.7,0.74,0.42,3,0.4950914982844072
0.84,0.92,0.92,0.58,3,0.4950914982844072
0.84,0.86,0.88,0.56,3,0.4950914982844072
0.68,0.84,0.7,0.5,3,0.4950914982844072
0.88,0.82,0.94,0.56,3,0.4950914982844072
0.92,0.96,0.86,0.48,3,0.4950914982844072
0.84,0.88,0.92,0.6,3,0.4950914982844072
0.86,0.88,0.86,0.48,3,0.4950914982844072
0.88,0.88,0.86,0.42,3,0.4950914982844072
0.76,0.9,0.68,0.5,3,0.4950914982844072
0.82,0.9,0.9,0.56,3,0.4950914982844072
0.8,0.96,0.94,0.52,3,0.4950914982844072
0.92,0.9,0.96,0.5,3,0.4950914982844072
0.88,0.92,0.82,0.48,3,0.4950914982844072
0.88,0.76,0.84,0.52,3,0.4950914982844072
0.82,0.86,0.8,0.48,3,0.4950914982844072
0.92,0.9,0.94,0.5,3,0.4950914982844072
0.72,0.66,0.82,0.48,3,0.4950914982844072
0.88,0.98,0.96,0.54,3,0.4950914982844072
0.76,0.86,0.88,0.52,3,0.4950914982844072
0.84,0.98,0.92,0.44,3,0.4950914982844072
0.92,0.9,0.94,0.6,3,0.4950914982844072
0.94,0.68,0.88,0.5,3,0.4950914982844072
0.8,0.82,0.9,0.64,3,0.4950914982844072
0.76,0.88,0.92,0.48,3,0.4950914982844072
0.9,0.92,0.94,0.52,3,0.4950914982844072
0.84,0.8,0.84,0.7,3,0.4950914982844072
0.82,0.88,0.96,0.5,3,0.4950914982844072
0.76,0.92,0.86,0.44,3,0.4950914982844072
0.88,0.98,0.98,0.58,3,0.4950914982844072
0.74,0.92,0.92,0.4,3,0.4950914982844072
0.92,0.98,0.92,0.52,3,0.4950914982844072
0.84,0.94,0.84,0.56,3,0.4950914982844072
0.72,0.96,0.74,0.48,3,0.4950914982844072
0.96,0.92,0.92,0.58,3,0.4950914982844072
0.86,0.9,0.94,0.5,3,0.4950914982844072
0.94,0.88,0.96,0.48,3,0.4950914982844072
0.84,0.86,0.88,0.52,3,0.4950914982844072
0.88,0.96,0.92,0.54,3,0.4950914982844072
0.84,0.94,0.92,0.5,3,0.4950914982844072
