base,extra,test,majority,num_classes,majority_all
0.52,0.24,0.32,0.56,4,0.4956233421750663
0.16,0.58,0.38,0.52,4,0.4956233421750663
0.26,0.44,0.3,0.5,4,0.4956233421750663
0.52,0.56,0.2,0.52,4,0.4956233421750663
0.34,0.5,0.38,0.36,4,0.4956233421750663
0.28,0.4,0.2,0.5,4,0.4956233421750663
0.34,0.28,0.34,0.54,4,0.4956233421750663
0.24,0.24,0.44,0.52,4,0.4956233421750663
0.28,0.2,0.24,0.5,4,0.4956233421750663
0.48,0.46,0.28,0.4,4,0.4956233421750663
0.28,0.26,0.4,0.6,4,0.4956233421750663
0.22,0.44,0.36,0.52,4,0.4956233421750663
0.3,0.52,0.3,0.52,4,0.4956233421750663
0.54,0.5,0.2,0.66,4,0.4956233421750663
0.4,0.6,0.4,0.58,4,0.4956233421750663
0.2,0.36,0.18,0.54,4,0.4956233421750663
0.22,0.6,0.1,0.54,4,0.4956233421750663
0.2,0.36,0.4,0.42,4,0.4956233421750663
0.3,0.22,0.3,0.56,4,0.4956233421750663
0.32,0.56,0.6,0.44,4,0.4956233421750663
0.16,0.16,0.32,0.54,4,0.4956233421750663
0.28,0.36,0.36,0.42,4,0.4956233421750663
0.42,0.4,0.4,0.38,4,0.4956233421750663
0.4,0.4,0.56,0.48,4,0.4956233421750663
0.28,0.36,0.5,0.46,4,0.4956233421750663
0.3,0.32,0.46,0.44,4,0.4956233421750663
0.52,0.68,0.66,0.64,4,0.4956233421750663
0.26,0.18,0.32,0.54,4,0.4956233421750663
0.38,0.26,0.52,0.4,4,0.4956233421750663
0.36,0.34,0.64,0.48,4,0.4956233421750663
0.2,0.32,0.4,0.42,4,0.4956233421750663
0.34,0.66,0.48,0.46,4,0.4956233421750663
0.3,0.2,0.16,0.62,4,0.4956233421750663
0.2,0.18,0.38,0.54,4,0.4956233421750663
0.38,0.28,0.28,0.54,4,0.4956233421750663
0.2,0.18,0.4,0.54,4,0.4956233421750663
0.3,0.08,0.42,0.56,4,0.4956233421750663
0.3,0.54,0.42,0.42,4,0.4956233421750663
0.24,0.3,0.36,0.48,4,0.4956233421750663
0.26,0.5,0.2,0.48,4,0.4956233421750663
0.22,0.42,0.36,0.38,4,0.4956233421750663
0.22,0.52,0.14,0.54,4,0.4956233421750663
0.62,0.48,0.52,0.6,4,0.4956233421750663
0.56,0.46,0.52,0.52,4,0.4956233421750663
0.3,0.5,0.32,0.46,4,0.4956233421750663
0.26,0.36,0.4,0.44,4,0.4956233421750663
0.16,0.4,0.34,0.5,4,0.4956233421750663
0.24,0.3,0.3,0.34,4,0.4956233421750663
0.18,0.22,0.36,0.54,4,0.4956233421750663
0.2,0.46,0.36,0.58,4,0.4956233421750663
0.32,0.34,0.3,0.48,4,0.4956233421750663
0.3,0.44,0.5,0.46,4,0.4956233421750663
0.24,0.44,0.44,0.4,4,0.4956233421750663
0.28,0.44,0.2,0.48,4,0.4956233421750663
0.48,0.44,0.54,0.5,4,0.4956233421750663
0.32,0.32,0.42,0.48,4,0.4956233421750663
0.36,0.34,0.5,0.42,4,0.4956233421750663
0.18,0.22,0.2,0.5,4,0.4956233421750663
0.24,0.36,0.5,0.48,4,0.4956233421750663
0.54,0.3,0.32,0.44,4,0.4956233421750663
0.3,0.6,0.38,0.42,4,0.4956233421750663
0.46,0.4,0.5,0.34,4,0.4956233421750663
0.3,0.26,0.16,0.5,4,0.4956233421750663
0.32,0.5,0.6,0.5,4,0.4956233421750663
0.36,0.56,0.26,0.54,4,0.4956233421750663
0.36,0.28,0.26,0.56,4,0.4956233421750663
0.22,0.3,0.3,0.48,4,0.4956233421750663
0.2,0.34,0.2,0.5,4,0.4956233421750663
0.22,0.34,0.1,0.36,4,0.4956233421750663
0.5,0.2,0.38,0.42,4,0.4956233421750663
0.36,0.48,0.54,0.52,4,0.4956233421750663
0.26,0.32,0.4,0.64,4,0.4956233421750663
0.2,0.4,0.44,0.52,4,0.4956233421750663
0.32,0.26,0.3,0.52,4,0.4956233421750663
0.28,0.38,0.34,0.64,4,0.4956233421750663
0.24,0.44,0.4,0.48,4,0.4956233421750663
0.26,0.16,0.32,0.5,4,0.4956233421750663
0.48,0.44,0.4,0.48,4,0.4956233421750663
0.52,0.48,0.3,0.56,4,0.4956233421750663
0.22,0.36,0.3,0.52,4,0.4956233421750663
0.26,0.24,0.18,0.44,4,0.4956233421750663
0.22,0.3,0.58,0.58,4,0.4956233421750663
0.32,0.52,0.56,0.44,4,0.4956233421750663
0.22,0.52,0.26,0.48,4,0.4956233421750663
0.26,0.18,0.24,0.54,4,0.4956233421750663
0.38,0.28,0.5,0.6,4,0.4956233421750663
0.24,0.24,0.3,0.46,4,0.4956233421750663
0.3,0.42,0.26,0.4,4,0.4956233421750663
0.34,0.4,0.4,0.46,4,0.4956233421750663
0.3,0.34,0.38,0.42,4,0.4956233421750663
0.26,0.42,0.46,0.52,4,0.4956233421750663
0.32,0.34,0.36,0.52,4,0.4956233421750663
0.2,0.4,0.34,0.58,4,0.4956233421750663
0.3,0.2,0.22,0.58,4,0.4956233421750663
0.42,0.2,0.22,0.58,4,0.4956233421750663
0.3,0.42,0.3,0.42,4,0.4956233421750663
0.38,0.44,0.28,0.5,4,0.4956233421750663
0.32,0.52,0.26,0.5,4,0.4956233421750663
0.22,0.18,0.6,0.58,4,0.4956233421750663
0.2,0.36,0.44,0.48,4,0.4956233421750663
