base,extra,test,majority,num_classes,majority_all
0.72,0.56,0.52,0.56,2,0.5096165973010468
0.34,0.88,0.98,0.68,2,0.5096165973010468
0.7,0.9,0.9,0.54,2,0.5096165973010468
0.84,0.86,0.84,0.52,2,0.5096165973010468
0.58,0.84,0.58,0.58,2,0.5096165973010468
0.8,0.8,0.8,0.52,2,0.5096165973010468
0.68,0.78,0.6,0.56,2,0.5096165973010468
0.84,0.78,0.74,0.54,2,0.5096165973010468
0.88,0.74,0.78,0.62,2,0.5096165973010468
0.88,0.82,0.76,0.54,2,0.5096165973010468
0.46,0.74,0.66,0.58,2,0.5096165973010468
0.92,0.84,0.88,0.58,2,0.5096165973010468
0.56,0.84,0.9,0.52,2,0.5096165973010468
0.74,0.84,0.84,0.56,2,0.5096165973010468
0.52,0.82,0.78,0.52,2,0.5096165973010468
0.78,0.7,0.84,0.5,2,0.5096165973010468
0.52,0.76,0.84,0.5,2,0.5096165973010468
0.7,0.76,0.72,0.5,2,0.5096165973010468
0.78,0.48,0.74,0.58,2,0.5096165973010468
0.56,0.9,0.78,0.56,2,0.5096165973010468
0.6,0.66,0.62,0.56,2,0.5096165973010468
0.7,0.8,0.84,0.56,2,0.5096165973010468
0.76,0.8,0.7,0.56,2,0.5096165973010468
0.7,0.84,0.82,0.58,2,0.5096165973010468
0.76,0.9,0.82,0.56,2,0.5096165973010468
0.62,0.74,0.8,0.62,2,0.5096165973010468
0.84,0.9,0.96,0.5,2,0.5096165973010468
0.56,0.86,0.84,0.54,2,0.5096165973010468
0.72,0.76,0.8,0.52,2,0.5096165973010468
0.86,0.88,0.66,0.54,2,0.5096165973010468
0.56,0.7,0.76,0.56,2,0.5096165973010468
0.72,0.82,0.72,0.52,2,0.5096165973010468
0.82,0.66,0.7,0.52,2,0.5096165973010468
0.52,0.78,0.74,0.52,2,0.5096165973010468
0.86,0.76,0.88,0.62,2,0.5096165973010468
0.6,0.7,0.84,0.6,2,0.5096165973010468
0.9,0.9,0.88,0.54,2,0.5096165973010468
0.9,0.82,0.8,0.52,2,0.5096165973010468
0.72,0.76,0.78,0.58,2,0.5096165973010468
0.9,0.74,0.82,0.52,2,0.5096165973010468
0.76,0.8,0.76,0.58,2,0.5096165973010468
0.44,0.78,0.86,0.56,2,0.5096165973010468
0.44,0.92,0.8,0.56,2,0.5096165973010468
0.9,0.82,0.86,0.54,2,0.5096165973010468
0.58,0.94,0.86,0.52,2,0.5096165973010468
0.54,0.72,0.68,0.5,2,0.5096165973010468
0.82,0.74,0.68,0.6,2,0.5096165973010468
0.48,0.72,0.74,0.52,2,0.5096165973010468
0.64,0.74,0.8,0.64,2,0.5096165973010468
0.42,0.66,0.7,0.58,2,0.5096165973010468
0.72,0.66,0.74,0.58,2,0.5096165973010468
0.64,0.78,0.76,0.54,2,0.5096165973010468
0.44,0.8,0.86,0.58,2,0.5096165973010468
0.5,0.78,0.82,0.56,2,0.5096165973010468
0.8,0.74,0.68,0.52,2,0.5096165973010468
0.72,0.68,0.74,0.56,2,0.5096165973010468
0.68,0.72,0.66,0.6,2,0.5096165973010468
0.64,0.74,0.8,0.54,2,0.5096165973010468
0.76,0.78,0.72,0.56,2,0.5096165973010468
0.82,0.7,0.76,0.52,2,0.5096165973010468
0.72,0.7,0.66,0.52,2,0.5096165973010468
0.82,0.7,0.74,0.54,2,0.5096165973010468
0.74,0.68,0.7,0.5,2,0.5096165973010468
0.78,0.78,0.78,0.56,2,0.5096165973010468
0.5,0.78,0.7,0.52,2,0.5096165973010468
0.78,0.62,0.74,0.6,2,0.5096165973010468
0.5,0.82,0.84,0.5,2,0.5096165973010468
0.5,0.88,0.56,0.5,2,0.5096165973010468
0.82,0.82,0.9,0.56,2,0.5096165973010468
0.56,0.7,0.82,0.56,2,0.5096165973010468
0.9,0.84,0.86,0.66,2,0.5096165973010468
0.56,0.84,0.78,0.54,2,0.5096165973010468
0.7,0.7,0.68,0.7,2,0.5096165973010468
0.7,0.72,0.72,0.52,2,0.5096165973010468
0.5,0.6,0.58,0.5,2,0.5096165973010468
0.68,0.68,0.66,0.58,2,0.5096165973010468
0.7,0.72,0.74,0.52,2,0.5096165973010468
0.88,0.82,0.72,0.54,2,0.5096165973010468
0.44,0.36,0.92,0.64,2,0.5096165973010468
0.86,0.66,0.62,0.6,2,0.5096165973010468
0.76,0.78,0.8,0.54,2,0.5096165973010468
0.84,0.76,0.72,0.56,2,0.5096165973010468
0.84,0.88,0.84,0.54,2,0.5096165973010468
0.78,0.9,0.9,0.6,2,0.5096165973010468
0.76,0.8,0.68,0.52,2,0.5096165973010468
0.86,0.76,0.74,0.62,2,0.5096165973010468
0.76,0.8,0.88,0.6,2,0.5096165973010468
0.68,0.86,0.9,0.54,2,0.5096165973010468
0.88,0.76,0.7,0.64,2,0.5096165973010468
0.48,0.74,0.76,0.52,2,0.5096165973010468
0.72,0.66,0.6,0.58,2,0.5096165973010468
0.54,0.72,0.74,0.54,2,0.5096165973010468
0.68,0.62,0.78,0.54,2,0.5096165973010468
0.48,0.8,0.92,0.6,2,0.5096165973010468
0.8,0.78,0.88,0.54,2,0.5096165973010468
0.88,0.6,0.54,0.54,2,0.5096165973010468
0.44,0.6,0.66,0.56,2,0.5096165973010468
0.52,0.72,0.72,0.52,2,0.5096165973010468
0.6,0.8,0.82,0.52,2,0.5096165973010468
0.6,0.84,0.82,0.6,2,0.5096165973010468
