base,extra,test,majority,num_classes,majority_all
0.2,0.48,0.5,0.46,4,0.4574165423884364
0.6,0.36,0.44,0.46,4,0.4574165423884364
0.42,0.26,0.38,0.44,4,0.4574165423884364
0.44,0.64,0.58,0.46,4,0.4574165423884364
0.46,0.38,0.38,0.48,4,0.4574165423884364
0.7,0.32,0.32,0.56,4,0.4574165423884364
0.2,0.56,0.48,0.38,4,0.4574165423884364
0.44,0.46,0.38,0.46,4,0.4574165423884364
0.48,0.4,0.64,0.56,4,0.4574165423884364
0.46,0.52,0.34,0.48,4,0.4574165423884364
0.64,0.64,0.52,0.52,4,0.4574165423884364
0.38,0.48,0.68,0.44,4,0.4574165423884364
0.46,0.6,0.56,0.38,4,0.4574165423884364
0.34,0.52,0.14,0.48,4,0.4574165423884364
0.46,0.54,0.46,0.4,4,0.4574165423884364
0.24,0.48,0.34,0.52,4,0.4574165423884364
0.38,0.58,0.54,0.4,4,0.4574165423884364
0.48,0.42,0.48,0.34,4,0.4574165423884364
0.46,0.66,0.74,0.4,4,0.4574165423884364
0.38,0.28,0.36,0.5,4,0.4574165423884364
0.62,0.52,0.58,0.46,4,0.4574165423884364
0.3,0.46,0.36,0.44,4,0.4574165423884364
0.38,0.34,0.44,0.5,4,0.4574165423884364
0.56,0.66,0.6,0.48,4,0.4574165423884364
0.58,0.4,0.42,0.44,4,0.4574165423884364
0.4,0.5,0.48,0.36,4,0.4574165423884364
0.34,0.5,0.34,0.6,4,0.4574165423884364
0.4,0.48,0.46,0.44,4,0.4574165423884364
0.38,0.26,0.26,0.42,4,0.4574165423884364
0.28,0.4,0.34,0.56,4,0.4574165423884364
0.34,0.52,0.26,0.5,4,0.4574165423884364
0.36,0.38,0.56,0.48,4,0.4574165423884364
0.46,0.34,0.6,0.44,4,0.4574165423884364
0.38,0.68,0.48,0.36,4,0.4574165423884364
0.34,0.26,0.34,0.46,4,0.4574165423884364
0.4,0.36,0.4,0.4,4,0.4574165423884364
0.4,0.58,0.62,0.3,4,0.4574165423884364
0.6,0.38,0.5,0.38,4,0.4574165423884364
0.44,0.26,0.52,0.5,4,0.4574165423884364
0.42,0.54,0.56,0.42,4,0.4574165423884364
0.48,0.62,0.66,0.44,4,0.4574165423884364
0.48,0.28,0.5,0.4,4,0.4574165423884364
0.34,0.5,0.4,0.44,4,0.4574165423884364
0.42,0.36,0.46,0.46,4,0.4574165423884364
0.48,0.4,0.32,0.46,4,0.4574165423884364
0.3,0.42,0.62,0.38,4,0.4574165423884364
0.26,0.68,0.44,0.48,4,0.4574165423884364
0.56,0.42,0.46,0.38,4,0.4574165423884364
0.26,0.4,0.5,0.46,4,0.4574165423884364
0.54,0.54,0.54,0.44,4,0.4574165423884364
0.4,0.46,0.44,0.5,4,0.4574165423884364
0.42,0.32,0.22,0.46,4,0.4574165423884364
0.46,0.64,0.46,0.38,4,0.4574165423884364
0.32,0.56,0.5,0.4,4,0.4574165423884364
0.34,0.5,0.5,0.42,4,0.4574165423884364
0.44,0.36,0.26,0.48,4,0.4574165423884364
0.4,0.44,0.48,0.52,4,0.4574165423884364
0.32,0.44,0.3,0.48,4,0.4574165423884364
0.38,0.66,0.58,0.42,4,0.4574165423884364
0.22,0.22,0.44,0.46,4,0.4574165423884364
0.22,0.3,0.38,0.5,4,0.4574165423884364
0.5,0.5,0.58,0.48,4,0.4574165423884364
0.34,0.4,0.62,0.52,4,0.4574165423884364
0.38,0.74,0.5,0.58,4,0.4574165423884364
0.58,0.44,0.56,0.42,4,0.4574165423884364
0.42,0.54,0.5,0.54,4,0.4574165423884364
0.28,0.62,0.52,0.4,4,0.4574165423884364
0.2,0.38,0.32,0.4,4,0.4574165423884364
0.38,0.52,0.6,0.5,4,0.4574165423884364
0.42,0.66,0.64,0.56,4,0.4574165423884364
0.32,0.28,0.32,0.48,4,0.4574165423884364
0.32,0.54,0.48,0.36,4,0.4574165423884364
0.36,0.54,0.32,0.4,4,0.4574165423884364
0.46,0.3,0.48,0.42,4,0.4574165423884364
0.52,0.44,0.6,0.5,4,0.4574165423884364
0.28,0.24,0.48,0.42,4,0.4574165423884364
0.56,0.4,0.4,0.46,4,0.4574165423884364
0.6,0.42,0.52,0.34,4,0.4574165423884364
0.3,0.34,0.58,0.58,4,0.4574165423884364
0.4,0.52,0.5,0.4,4,0.4574165423884364
0.54,0.46,0.4,0.54,4,0.4574165423884364
0.42,0.56,0.3,0.62,4,0.4574165423884364
0.26,0.14,0.16,0.52,4,0.4574165423884364
0.34,0.5,0.6,0.52,4,0.4574165423884364
0.42,0.68,0.56,0.32,4,0.4574165423884364
0.2,0.44,0.42,0.44,4,0.4574165423884364
0.34,0.26,0.42,0.42,4,0.4574165423884364
0.58,0.58,0.54,0.38,4,0.4574165423884364
0.4,0.28,0.24,0.46,4,0.4574165423884364
0.32,0.34,0.28,0.54,4,0.4574165423884364
0.48,0.28,0.38,0.56,4,0.4574165423884364
0.4,0.58,0.7,0.46,4,0.4574165423884364
0.4,0.34,0.32,0.54,4,0.4574165423884364
0.5,0.62,0.48,0.6,4,0.4574165423884364
0.18,0.36,0.24,0.62,4,0.4574165423884364
0.3,0.42,0.32,0.62,4,0.4574165423884364
0.32,0.66,0.46,0.42,4,0.4574165423884364
0.38,0.56,0.26,0.4,4,0.4574165423884364
0.64,0.44,0.62,0.5,4,0.4574165423884364
0.24,0.34,0.4,0.48,4,0.4574165423884364
