base,extra,test,majority,num_classes,majority_all
0.44,0.6,0.54,0.62,2,0.6288525638098716
0.64,0.64,0.66,0.6,2,0.6288525638098716
0.7,0.5,0.48,0.54,2,0.6288525638098716
0.7,0.66,0.58,0.74,2,0.6288525638098716
0.68,0.48,0.52,0.64,2,0.6288525638098716
0.7,0.58,0.58,0.64,2,0.6288525638098716
0.82,0.5,0.5,0.66,2,0.6288525638098716
0.78,0.58,0.52,0.64,2,0.6288525638098716
0.72,0.54,0.54,0.56,2,0.6288525638098716
0.66,0.56,0.56,0.64,2,0.6288525638098716
0.76,0.72,0.6,0.56,2,0.6288525638098716
0.78,0.38,0.44,0.62,2,0.6288525638098716
0.68,0.54,0.56,0.6,2,0.6288525638098716
0.76,0.48,0.54,0.62,2,0.6288525638098716
0.72,0.64,0.62,0.56,2,0.6288525638098716
0.66,0.56,0.56,0.66,2,0.6288525638098716
0.68,0.52,0.6,0.64,2,0.6288525638098716
0.5,0.62,0.64,0.7,2,0.6288525638098716
0.78,0.42,0.5,0.68,2,0.6288525638098716
0.6,0.54,0.58,0.7,2,0.6288525638098716
0.82,0.52,0.44,0.56,2,0.6288525638098716
0.7,0.48,0.48,0.66,2,0.6288525638098716
0.72,0.44,0.4,0.56,2,0.6288525638098716
0.74,0.56,0.56,0.68,2,0.6288525638098716
0.76,0.7,0.6,0.58,2,0.6288525638098716
0.84,0.54,0.48,0.68,2,0.6288525638098716
0.66,0.5,0.54,0.58,2,0.6288525638098716
0.68,0.6,0.64,0.74,2,0.6288525638098716
0.68,0.64,0.56,0.7,2,0.6288525638098716
0.78,0.58,0.52,0.54,2,0.6288525638098716
0.72,0.62,0.56,0.58,2,0.6288525638098716
0.7,0.58,0.5,0.62,2,0.6288525638098716
0.62,0.64,0.58,0.52,2,0.6288525638098716
0.68,0.54,0.62,0.66,2,0.6288525638098716
0.66,0.46,0.46,0.72,2,0.6288525638098716
0.72,0.62,0.66,0.62,2,0.6288525638098716
0.74,0.52,0.62,0.68,2,0.6288525638098716
0.74,0.64,0.64,0.58,2,0.6288525638098716
0.8,0.52,0.52,0.58,2,0.6288525638098716
0.7,0.48,0.44,0.6,2,0.6288525638098716
0.76,0.52,0.48,0.72,2,0.6288525638098716
0.64,0.62,0.6,0.72,2,0.6288525638098716
0.6,0.46,0.44,0.7,2,0.6288525638098716
0.88,0.5,0.52,0.62,2,0.6288525638098716
0.68,0.56,0.5,0.64,2,0.6288525638098716
0.7,0.6,0.5,0.56,2,0.6288525638098716
0.7,0.62,0.62,0.62,2,0.6288525638098716
0.58,0.58,0.58,0.62,2,0.6288525638098716
0.7,0.44,0.58,0.68,2,0.6288525638098716
0.64,0.56,0.54,0.7,2,0.6288525638098716
0.7,0.36,0.4,0.54,2,0.6288525638098716
0.76,0.6,0.58,0.66,2,0.6288525638098716
0.74,0.52,0.52,0.6,2,0.6288525638098716
0.84,0.68,0.68,0.62,2,0.6288525638098716
0.64,0.62,0.56,0.62,2,0.6288525638098716
0.72,0.64,0.52,0.6,2,0.6288525638098716
0.72,0.5,0.56,0.58,2,0.6288525638098716
0.74,0.4,0.44,0.66,2,0.6288525638098716
0.64,0.58,0.6,0.62,2,0.6288525638098716
0.84,0.48,0.46,0.58,2,0.6288525638098716
0.74,0.58,0.5,0.52,2,0.6288525638098716
0.66,0.54,0.54,0.6,2,0.6288525638098716
0.66,0.42,0.44,0.62,2,0.6288525638098716
0.7,0.5,0.54,0.58,2,0.6288525638098716
0.66,0.6,0.6,0.58,2,0.6288525638098716
0.72,0.48,0.4,0.72,2,0.6288525638098716
0.68,0.58,0.56,0.58,2,0.6288525638098716
0.78,0.5,0.38,0.72,2,0.6288525638098716
0.76,0.52,0.54,0.62,2,0.6288525638098716
0.78,0.54,0.52,0.64,2,0.6288525638098716
0.66,0.5,0.52,0.64,2,0.6288525638098716
0.82,0.58,0.6,0.68,2,0.6288525638098716
0.86,0.52,0.58,0.62,2,0.6288525638098716
0.66,0.56,0.48,0.76,2,0.6288525638098716
0.72,0.5,0.46,0.6,2,0.6288525638098716
0.72,0.48,0.54,0.68,2,0.6288525638098716
0.68,0.64,0.68,0.6,2,0.6288525638098716
0.74,0.52,0.6,0.72,2,0.6288525638098716
0.68,0.5,0.56,0.62,2,0.6288525638098716
0.7,0.56,0.52,0.64,2,0.6288525638098716
0.64,0.58,0.58,0.68,2,0.6288525638098716
0.78,0.56,0.56,0.54,2,0.6288525638098716
0.84,0.66,0.64,0.6,2,0.6288525638098716
0.64,0.56,0.46,0.62,2,0.6288525638098716
0.66,0.46,0.62,0.6,2,0.6288525638098716
0.68,0.6,0.56,0.64,2,0.6288525638098716
0.52,0.62,0.58,0.7,2,0.6288525638098716
0.68,0.44,0.42,0.5,2,0.6288525638098716
0.76,0.48,0.38,0.66,2,0.6288525638098716
0.82,0.58,0.6,0.68,2,0.6288525638098716
0.82,0.6,0.62,0.64,2,0.6288525638098716
0.74,0.42,0.5,0.56,2,0.6288525638098716
0.76,0.64,0.62,0.64,2,0.6288525638098716
0.58,0.54,0.54,0.68,2,0.6288525638098716
0.68,0.36,0.54,0.64,2,0.6288525638098716
0.84,0.48,0.48,0.64,2,0.6288525638098716
0.76,0.52,0.56,0.62,2,0.6288525638098716
0.74,0.52,0.54,0.64,2,0.6288525638098716
0.84,0.58,0.48,0.62,2,0.6288525638098716
0.74,0.58,0.54,0.62,2,0.6288525638098716
