base,extra,test,majority,num_classes,majority_all
0.36,0.22,0.22,0.44,4,0.4260586319218241
0.16,0.06,0.06,0.52,4,0.4260586319218241
0.22,0.1,0.1,0.44,4,0.4260586319218241
0.18,0.04,0.06,0.38,4,0.4260586319218241
0.12,0.14,0.16,0.44,4,0.4260586319218241
0.22,0.06,0.08,0.5,4,0.4260586319218241
0.28,0.12,0.14,0.34,4,0.4260586319218241
0.12,0.04,0.06,0.6,4,0.4260586319218241
0.18,0.14,0.12,0.5,4,0.4260586319218241
0.28,0.12,0.12,0.42,4,0.4260586319218241
0.06,0.14,0.14,0.4,4,0.4260586319218241
0.2,0.16,0.16,0.38,4,0.4260586319218241
0.16,0.14,0.14,0.44,4,0.4260586319218241
0.34,0.12,0.14,0.38,4,0.4260586319218241
0.24,0.08,0.1,0.44,4,0.4260586319218241
0.14,0.16,0.16,0.42,4,0.4260586319218241
0.16,0.08,0.08,0.46,4,0.4260586319218241
0.1,0.16,0.16,0.42,4,0.4260586319218241
0.14,0.06,0.06,0.58,4,0.4260586319218241
0.18,0.22,0.22,0.38,4,0.4260586319218241
0.24,0.18,0.16,0.44,4,0.4260586319218241
0.1,0.08,0.08,0.5,4,0.4260586319218241
0.16,0.12,0.12,0.4,4,0.4260586319218241
0.16,0.12,0.12,0.42,4,0.4260586319218241
0.18,0.06,0.06,0.44,4,0.4260586319218241
0.16,0.16,0.16,0.4,4,0.4260586319218241
0.28,0.06,0.08,0.52,4,0.4260586319218241
0.22,0.16,0.14,0.46,4,0.4260586319218241
0.1,0.1,0.12,0.48,4,0.4260586319218241
0.32,0.06,0.06,0.4,4,0.4260586319218241
0.12,0.16,0.18,0.46,4,0.4260586319218241
0.1,0.04,0.04,0.5,4,0.4260586319218241
0.14,0.12,0.12,0.42,4,0.4260586319218241
0.18,0.08,0.1,0.56,4,0.4260586319218241
0.16,0.08,0.12,0.46,4,0.4260586319218241
0.18,0.14,0.14,0.38,4,0.4260586319218241
0.18,0.08,0.06,0.44,4,0.4260586319218241
0.22,0.14,0.14,0.4,4,0.4260586319218241
0.1,0.18,0.16,0.44,4,0.4260586319218241
0.14,0.08,0.1,0.48,4,0.4260586319218241
0.18,0.1,0.06,0.54,4,0.4260586319218241
0.16,0.14,0.14,0.48,4,0.4260586319218241
0.1,0.18,0.16,0.38,4,0.4260586319218241
0.22,0.14,0.14,0.46,4,0.4260586319218241
0.2,0.16,0.2,0.4,4,0.4260586319218241
0.26,0.04,0.04,0.42,4,0.4260586319218241
0.28,0.08,0.08,0.42,4,0.4260586319218241
0.16,0.14,0.14,0.4,4,0.4260586319218241
0.12,0.12,0.1,0.38,4,0.4260586319218241
0.28,0.06,0.04,0.46,4,0.4260586319218241
0.1,0.08,0.08,0.44,4,0.4260586319218241
0.28,0.1,0.1,0.4,4,0.4260586319218241
0.06,0.14,0.16,0.5,4,0.4260586319218241
0.18,0.1,0.08,0.4,4,0.4260586319218241
0.18,0.12,0.1,0.48,4,0.4260586319218241
0.12,0.08,0.08,0.4,4,0.4260586319218241
0.16,0.14,0.1,0.38,4,0.4260586319218241
0.22,0.1,0.08,0.46,4,0.4260586319218241
0.02,0.04,0.06,0.48,4,0.4260586319218241
0.12,0.04,0.06,0.64,4,0.4260586319218241
0.2,0.1,0.08,0.42,4,0.4260586319218241
0.18,0.12,0.12,0.4,4,0.4260586319218241
0.14,0.14,0.12,0.46,4,0.4260586319218241
0.18,0.08,0.1,0.44,4,0.4260586319218241
0.2,0.04,0.04,0.56,4,0.4260586319218241
0.2,0.14,0.14,0.38,4,0.4260586319218241
0.12,0.12,0.12,0.48,4,0.4260586319218241
0.2,0.08,0.1,0.42,4,0.4260586319218241
0.2,0.2,0.18,0.44,4,0.4260586319218241
0.18,0.1,0.12,0.4,4,0.4260586319218241
0.22,0.12,0.12,0.4,4,0.4260586319218241
0.1,0.16,0.14,0.56,4,0.4260586319218241
0.14,0.1,0.12,0.4,4,0.4260586319218241
0.18,0.1,0.12,0.42,4,0.4260586319218241
0.2,0.16,0.14,0.44,4,0.4260586319218241
0.16,0.06,0.06,0.4,4,0.4260586319218241
0.26,0.12,0.12,0.5,4,0.4260586319218241
0.3,0.18,0.22,0.4,4,0.4260586319218241
0.16,0.06,0.08,0.46,4,0.4260586319218241
0.36,0.1,0.12,0.38,4,0.4260586319218241
0.22,0.1,0.1,0.42,4,0.4260586319218241
0.18,0.12,0.14,0.44,4,0.4260586319218241
0.26,0.16,0.16,0.42,4,0.4260586319218241
0.12,0.1,0.1,0.54,4,0.4260586319218241
0.18,0.16,0.16,0.42,4,0.4260586319218241
0.22,0.12,0.12,0.38,4,0.4260586319218241
0.12,0.1,0.12,0.4,4,0.4260586319218241
0.18,0.12,0.1,0.44,4,0.4260586319218241
0.22,0.14,0.14,0.36,4,0.4260586319218241
0.26,0.14,0.14,0.52,4,0.4260586319218241
0.14,0.0,0.02,0.64,4,0.4260586319218241
0.14,0.04,0.04,0.44,4,0.4260586319218241
0.16,0.16,0.16,0.58,4,0.4260586319218241
0.2,0.12,0.16,0.44,4,0.4260586319218241
0.12,0.1,0.12,0.5,4,0.4260586319218241
0.24,0.14,0.16,0.38,4,0.4260586319218241
0.16,0.16,0.16,0.44,4,0.4260586319218241
0.22,0.14,0.14,0.44,4,0.4260586319218241
0.16,0.16,0.16,0.42,4,0.4260586319218241
0.12,0.12,0.08,0.42,4,0.4260586319218241
