base,extra,test,majority,num_classes,majority_all
0.6,0.5,0.5,0.64,2,0.5
0.76,0.48,0.48,0.58,2,0.5
0.66,0.44,0.42,0.56,2,0.5
0.54,0.5,0.58,0.52,2,0.5
0.64,0.4,0.46,0.58,2,0.5
0.6,0.5,0.44,0.54,2,0.5
0.62,0.54,0.52,0.5,2,0.5
0.6,0.5,0.46,0.52,2,0.5
0.76,0.5,0.5,0.54,2,0.5
0.56,0.38,0.46,0.64,2,0.5
0.58,0.54,0.48,0.54,2,0.5
0.62,0.46,0.46,0.52,2,0.5
0.56,0.6,0.52,0.52,2,0.5
0.72,0.58,0.58,0.6,2,0.5
0.62,0.54,0.54,0.58,2,0.5
0.66,0.52,0.42,0.54,2,0.5
0.74,0.56,0.56,0.54,2,0.5
0.64,0.42,0.5,0.52,2,0.5
0.68,0.46,0.5,0.5,2,0.5
0.6,0.54,0.52,0.52,2,0.5
0.62,0.34,0.36,0.58,2,0.5
0.74,0.4,0.48,0.54,2,0.5
0.64,0.4,0.5,0.64,2,0.5
0.6,0.44,0.46,0.64,2,0.5
0.58,0.5,0.44,0.54,2,0.5
0.58,0.4,0.32,0.54,2,0.5
0.62,0.52,0.54,0.54,2,0.5
0.5,0.52,0.56,0.54,2,0.5
0.48,0.44,0.38,0.52,2,0.5
0.66,0.5,0.46,0.5,2,0.5
0.56,0.44,0.44,0.54,2,0.5
0.62,0.58,0.6,0.64,2,0.5
0.62,0.62,0.6,0.58,2,0.5
0.68,0.5,0.56,0.5,2,0.5
0.68,0.48,0.52,0.52,2,0.5
0.56,0.52,0.54,0.5,2,0.5
0.6,0.5,0.44,0.58,2,0.5
0.62,0.46,0.48,0.52,2,0.5
0.64,0.62,0.56,0.56,2,0.5
0.7,0.5,0.58,0.6,2,0.5
0.68,0.56,0.46,0.56,2,0.5
0.58,0.5,0.5,0.52,2,0.5
0.74,0.48,0.46,0.54,2,0.5
0.5,0.42,0.62,0.6,2,0.5
0.6,0.5,0.5,0.56,2,0.5
0.68,0.4,0.46,0.54,2,0.5
0.66,0.42,0.5,0.54,2,0.5
0.64,0.58,0.5,0.52,2,0.5
0.52,0.5,0.48,0.56,2,0.5
0.68,0.48,0.5,0.56,2,0.5
0.64,0.56,0.56,0.54,2,0.5
0.72,0.48,0.58,0.56,2,0.5
0.54,0.6,0.48,0.54,2,0.5
0.7,0.48,0.48,0.56,2,0.5
0.58,0.4,0.5,0.54,2,0.5
0.58,0.48,0.4,0.5,2,0.5
0.64,0.52,0.48,0.52,2,0.5
0.6,0.58,0.56,0.54,2,0.5
0.5,0.54,0.5,0.56,2,0.5
0.62,0.52,0.5,0.58,2,0.5
0.5,0.62,0.56,0.6,2,0.5
0.56,0.5,0.38,0.5,2,0.5
0.62,0.5,0.44,0.56,2,0.5
0.56,0.54,0.5,0.52,2,0.5
0.56,0.58,0.6,0.6,2,0.5
0.48,0.46,0.52,0.56,2,0.5
0.66,0.48,0.54,0.52,2,0.5
0.62,0.52,0.46,0.52,2,0.5
0.64,0.48,0.56,0.56,2,0.5
0.72,0.54,0.52,0.6,2,0.5
0.66,0.54,0.46,0.52,2,0.5
0.68,0.52,0.5,0.52,2,0.5
0.56,0.46,0.44,0.52,2,0.5
0.56,0.48,0.66,0.6,2,0.5
0.74,0.52,0.58,0.52,2,0.5
0.54,0.42,0.52,0.6,2,0.5
0.52,0.52,0.44,0.54,2,0.5
0.72,0.5,0.44,0.52,2,0.5
0.64,0.6,0.56,0.52,2,0.5
0.64,0.5,0.52,0.5,2,0.5
0.72,0.5,0.6,0.54,2,0.5
0.56,0.34,0.38,0.56,2,0.5
0.66,0.46,0.56,0.52,2,0.5
0.66,0.56,0.54,0.56,2,0.5
0.56,0.54,0.48,0.58,2,0.5
0.56,0.64,0.48,0.62,2,0.5
0.6,0.5,0.54,0.56,2,0.5
0.56,0.54,0.52,0.54,2,0.5
0.64,0.6,0.62,0.56,2,0.5
0.7,0.62,0.54,0.52,2,0.5
0.54,0.52,0.6,0.58,2,0.5
0.62,0.56,0.54,0.5,2,0.5
0.66,0.38,0.36,0.6,2,0.5
0.62,0.38,0.46,0.56,2,0.5
0.7,0.5,0.44,0.52,2,0.5
0.48,0.5,0.36,0.58,2,0.5
0.74,0.54,0.58,0.5,2,0.5
0.66,0.48,0.38,0.56,2,0.5
0.56,0.48,0.4,0.58,2,0.5
0.7,0.5,0.56,0.54,2,0.5
