base,extra,test,majority,num_classes,majority_all
0.4,0.26,0.3,0.46,4,0.4574165423884364
0.24,0.28,0.32,0.46,4,0.4574165423884364
0.44,0.3,0.3,0.44,4,0.4574165423884364
0.2,0.38,0.34,0.46,4,0.4574165423884364
0.32,0.24,0.22,0.48,4,0.4574165423884364
0.26,0.26,0.26,0.56,4,0.4574165423884364
0.36,0.36,0.4,0.38,4,0.4574165423884364
0.42,0.18,0.16,0.46,4,0.4574165423884364
0.3,0.28,0.38,0.56,4,0.4574165423884364
0.28,0.32,0.32,0.48,4,0.4574165423884364
0.34,0.34,0.36,0.52,4,0.4574165423884364
0.48,0.4,0.4,0.44,4,0.4574165423884364
0.28,0.42,0.42,0.38,4,0.4574165423884364
0.36,0.54,0.54,0.48,4,0.4574165423884364
0.36,0.26,0.26,0.4,4,0.4574165423884364
0.3,0.38,0.44,0.52,4,0.4574165423884364
0.4,0.34,0.52,0.4,4,0.4574165423884364
0.22,0.3,0.3,0.34,4,0.4574165423884364
0.46,0.36,0.38,0.4,4,0.4574165423884364
0.22,0.28,0.26,0.5,4,0.4574165423884364
0.32,0.3,0.38,0.46,4,0.4574165423884364
0.44,0.52,0.42,0.44,4,0.4574165423884364
0.42,0.26,0.22,0.5,4,0.4574165423884364
0.3,0.34,0.34,0.48,4,0.4574165423884364
0.28,0.26,0.28,0.44,4,0.4574165423884364
0.5,0.34,0.34,0.36,4,0.4574165423884364
0.36,0.2,0.2,0.6,4,0.4574165423884364
0.34,0.36,0.32,0.44,4,0.4574165423884364
0.38,0.32,0.36,0.42,4,0.4574165423884364
0.32,0.24,0.2,0.56,4,0.4574165423884364
0.26,0.3,0.3,0.5,4,0.4574165423884364
0.36,0.24,0.22,0.48,4,0.4574165423884364
0.42,0.4,0.4,0.44,4,0.4574165423884364
0.38,0.34,0.36,0.36,4,0.4574165423884364
0.34,0.28,0.44,0.46,4,0.4574165423884364
0.4,0.26,0.26,0.4,4,0.4574165423884364
0.26,0.32,0.28,0.3,4,0.4574165423884364
0.42,0.32,0.32,0.38,4,0.4574165423884364
0.26,0.34,0.2,0.5,4,0.4574165423884364
0.44,0.24,0.24,0.42,4,0.4574165423884364
0.3,0.46,0.46,0.44,4,0.4574165423884364
0.36,0.42,0.42,0.4,4,0.4574165423884364
0.4,0.4,0.4,0.44,4,0.4574165423884364
0.28,0.32,0.3,0.46,4,0.4574165423884364
0.16,0.4,0.36,0.46,4,0.4574165423884364
0.4,0.38,0.38,0.38,4,0.4574165423884364
0.34,0.42,0.42,0.48,4,0.4574165423884364
0.46,0.34,0.34,0.38,4,0.4574165423884364
0.44,0.28,0.3,0.46,4,0.4574165423884364
0.24,0.3,0.26,0.44,4,0.4574165423884364
0.44,0.16,0.22,0.5,4,0.4574165423884364
0.34,0.4,0.44,0.46,4,0.4574165423884364
0.26,0.36,0.4,0.38,4,0.4574165423884364
0.5,0.44,0.42,0.4,4,0.4574165423884364
0.34,0.32,0.3,0.42,4,0.4574165423884364
0.34,0.28,0.28,0.48,4,0.4574165423884364
0.36,0.18,0.24,0.52,4,0.4574165423884364
0.42,0.3,0.32,0.48,4,0.4574165423884364
0.42,0.4,0.42,0.42,4,0.4574165423884364
0.34,0.44,0.38,0.46,4,0.4574165423884364
0.28,0.22,0.26,0.5,4,0.4574165423884364
0.34,0.36,0.36,0.48,4,0.4574165423884364
0.3,0.24,0.28,0.52,4,0.4574165423884364
0.36,0.3,0.3,0.58,4,0.4574165423884364
0.4,0.26,0.28,0.42,4,0.4574165423884364
0.22,0.16,0.16,0.54,4,0.4574165423884364
0.44,0.42,0.4,0.4,4,0.4574165423884364
0.38,0.34,0.34,0.4,4,0.4574165423884364
0.22,0.2,0.18,0.5,4,0.4574165423884364
0.28,0.36,0.42,0.56,4,0.4574165423884364
0.44,0.28,0.28,0.48,4,0.4574165423884364
0.4,0.42,0.36,0.36,4,0.4574165423884364
0.3,0.4,0.4,0.4,4,0.4574165423884364
0.3,0.3,0.3,0.42,4,0.4574165423884364
0.36,0.36,0.4,0.5,4,0.4574165423884364
0.36,0.38,0.32,0.42,4,0.4574165423884364
0.36,0.24,0.24,0.46,4,0.4574165423884364
0.42,0.34,0.34,0.34,4,0.4574165423884364
0.18,0.14,0.16,0.58,4,0.4574165423884364
0.44,0.34,0.3,0.4,4,0.4574165423884364
0.24,0.3,0.28,0.54,4,0.4574165423884364
0.28,0.3,0.3,0.62,4,0.4574165423884364
0.36,0.32,0.32,0.52,4,0.4574165423884364
0.36,0.28,0.26,0.52,4,0.4574165423884364
0.34,0.32,0.38,0.32,4,0.4574165423884364
0.34,0.38,0.4,0.44,4,0.4574165423884364
0.36,0.42,0.4,0.42,4,0.4574165423884364
0.48,0.42,0.4,0.38,4,0.4574165423884364
0.42,0.44,0.46,0.46,4,0.4574165423884364
0.32,0.24,0.2,0.54,4,0.4574165423884364
0.24,0.32,0.28,0.56,4,0.4574165423884364
0.4,0.24,0.22,0.46,4,0.4574165423884364
0.4,0.24,0.24,0.54,4,0.4574165423884364
0.32,0.24,0.26,0.6,4,0.4574165423884364
0.28,0.26,0.26,0.62,4,0.4574165423884364
0.2,0.26,0.26,0.62,4,0.4574165423884364
0.44,0.42,0.46,0.42,4,0.4574165423884364
0.36,0.42,0.38,0.4,4,0.4574165423884364
0.32,0.28,0.28,0.5,4,0.4574165423884364
0.32,0.24,0.28,0.48,4,0.4574165423884364
