base,extra,test,majority,num_classes,majority_all
0.47,0.51,0.51,0.54,2,0.5228141513929105
0.56,0.51,0.52,0.54,2,0.5228141513929105
0.51,0.5,0.55,0.52,2,0.5228141513929105
0.53,0.49,0.52,0.52,2,0.5228141513929105
0.6,0.58,0.46,0.58,2,0.5228141513929105
0.48,0.52,0.47,0.53,2,0.5228141513929105
0.54,0.56,0.5,0.53,2,0.5228141513929105
0.5,0.42,0.55,0.5,2,0.5228141513929105
0.51,0.64,0.56,0.56,2,0.5228141513929105
0.48,0.57,0.56,0.53,2,0.5228141513929105
0.62,0.59,0.56,0.6,2,0.5228141513929105
0.5,0.54,0.46,0.59,2,0.5228141513929105
0.49,0.48,0.48,0.52,2,0.5228141513929105
0.49,0.44,0.49,0.52,2,0.5228141513929105
0.47,0.43,0.47,0.55,2,0.5228141513929105
0.49,0.44,0.46,0.53,2,0.5228141513929105
0.55,0.5,0.55,0.51,2,0.5228141513929105
0.34,0.37,0.43,0.57,2,0.5228141513929105
0.53,0.58,0.54,0.53,2,0.5228141513929105
0.45,0.42,0.51,0.58,2,0.5228141513929105
0.49,0.5,0.48,0.51,2,0.5228141513929105
0.55,0.53,0.56,0.54,2,0.5228141513929105
0.42,0.43,0.43,0.58,2,0.5228141513929105
0.45,0.45,0.57,0.57,2,0.5228141513929105
0.47,0.45,0.58,0.53,2,0.5228141513929105
0.52,0.49,0.5,0.53,2,0.5228141513929105
0.46,0.52,0.53,0.53,2,0.5228141513929105
0.42,0.44,0.44,0.55,2,0.5228141513929105
0.49,0.45,0.47,0.51,2,0.5228141513929105
0.52,0.47,0.52,0.52,2,0.5228141513929105
0.56,0.43,0.57,0.57,2,0.5228141513929105
0.46,0.49,0.5,0.51,2,0.5228141513929105
0.53,0.59,0.57,0.58,2,0.5228141513929105
0.51,0.5,0.48,0.52,2,0.5228141513929105
0.47,0.46,0.43,0.57,2,0.5228141513929105
0.53,0.66,0.46,0.51,2,0.5228141513929105
0.5,0.6,0.53,0.5,2,0.5228141513929105
0.52,0.52,0.53,0.53,2,0.5228141513929105
0.46,0.43,0.48,0.52,2,0.5228141513929105
0.47,0.58,0.61,0.58,2,0.5228141513929105
0.56,0.51,0.55,0.57,2,0.5228141513929105
0.59,0.5,0.51,0.55,2,0.5228141513929105
0.6,0.54,0.58,0.56,2,0.5228141513929105
0.47,0.55,0.44,0.54,2,0.5228141513929105
0.52,0.54,0.6,0.54,2,0.5228141513929105
0.57,0.6,0.52,0.52,2,0.5228141513929105
0.53,0.48,0.51,0.5,2,0.5228141513929105
0.47,0.49,0.46,0.55,2,0.5228141513929105
0.56,0.51,0.5,0.57,2,0.5228141513929105
0.65,0.59,0.63,0.54,2,0.5228141513929105
0.6,0.49,0.59,0.61,2,0.5228141513929105
0.33,0.35,0.36,0.66,2,0.5228141513929105
0.55,0.6,0.52,0.51,2,0.5228141513929105
0.47,0.46,0.48,0.52,2,0.5228141513929105
0.51,0.44,0.58,0.51,2,0.5228141513929105
0.52,0.52,0.56,0.51,2,0.5228141513929105
0.52,0.55,0.53,0.52,2,0.5228141513929105
0.54,0.56,0.55,0.53,2,0.5228141513929105
0.51,0.5,0.51,0.52,2,0.5228141513929105
0.46,0.5,0.53,0.56,2,0.5228141513929105
0.51,0.47,0.52,0.51,2,0.5228141513929105
0.52,0.56,0.49,0.51,2,0.5228141513929105
0.51,0.48,0.49,0.54,2,0.5228141513929105
0.57,0.55,0.5,0.53,2,0.5228141513929105
0.51,0.56,0.57,0.56,2,0.5228141513929105
0.5,0.51,0.48,0.52,2,0.5228141513929105
0.52,0.53,0.51,0.52,2,0.5228141513929105
0.43,0.48,0.58,0.53,2,0.5228141513929105
0.48,0.49,0.6,0.51,2,0.5228141513929105
0.46,0.51,0.45,0.6,2,0.5228141513929105
0.37,0.43,0.39,0.6,2,0.5228141513929105
0.56,0.56,0.62,0.61,2,0.5228141513929105
0.5,0.51,0.53,0.5,2,0.5228141513929105
0.51,0.5,0.53,0.51,2,0.5228141513929105
0.38,0.46,0.48,0.62,2,0.5228141513929105
0.46,0.51,0.49,0.52,2,0.5228141513929105
0.51,0.52,0.54,0.55,2,0.5228141513929105
0.49,0.42,0.48,0.54,2,0.5228141513929105
0.51,0.53,0.51,0.53,2,0.5228141513929105
0.41,0.46,0.44,0.6,2,0.5228141513929105
0.52,0.56,0.51,0.56,2,0.5228141513929105
0.44,0.48,0.47,0.54,2,0.5228141513929105
0.51,0.54,0.6,0.5,2,0.5228141513929105
0.56,0.57,0.57,0.57,2,0.5228141513929105
0.59,0.54,0.52,0.53,2,0.5228141513929105
0.57,0.56,0.59,0.52,2,0.5228141513929105
0.5,0.45,0.48,0.61,2,0.5228141513929105
0.52,0.57,0.54,0.52,2,0.5228141513929105
0.43,0.4,0.37,0.56,2,0.5228141513929105
0.5,0.5,0.48,0.56,2,0.5228141513929105
0.56,0.54,0.55,0.51,2,0.5228141513929105
0.5,0.47,0.56,0.53,2,0.5228141513929105
0.43,0.48,0.44,0.53,2,0.5228141513929105
0.53,0.54,0.57,0.53,2,0.5228141513929105
0.54,0.54,0.58,0.53,2,0.5228141513929105
0.49,0.53,0.53,0.51,2,0.5228141513929105
0.53,0.56,0.54,0.54,2,0.5228141513929105
0.51,0.52,0.54,0.52,2,0.5228141513929105
0.44,0.45,0.41,0.59,2,0.5228141513929105
0.64,0.63,0.52,0.62,2,0.5228141513929105
