base,extra,test,majority,num_classes,majority_all
0.12,0.22,0.28,0.34,6,0.335125
0.11,0.39,0.37,0.34,6,0.335125
0.09,0.19,0.36,0.36,6,0.335125
0.14,0.21,0.29,0.32,6,0.335125
0.3,0.34,0.15,0.44,6,0.335125
0.22,0.28,0.31,0.36,6,0.335125
0.19,0.44,0.44,0.34,6,0.335125
0.21,0.23,0.3,0.29,6,0.335125
0.18,0.27,0.21,0.28,6,0.335125
0.3,0.3,0.29,0.32,6,0.335125
0.32,0.35,0.24,0.35,6,0.335125
0.2,0.19,0.29,0.45,6,0.335125
0.13,0.33,0.34,0.36,6,0.335125
0.09,0.31,0.14,0.31,6,0.335125
0.1,0.18,0.31,0.34,6,0.335125
0.15,0.22,0.19,0.39,6,0.335125
0.16,0.33,0.23,0.33,6,0.335125
0.26,0.32,0.24,0.4,6,0.335125
0.3,0.3,0.3,0.36,6,0.335125
0.15,0.32,0.11,0.37,6,0.335125
0.1,0.22,0.27,0.32,6,0.335125
0.17,0.34,0.08,0.37,6,0.335125
0.14,0.15,0.14,0.33,6,0.335125
0.17,0.28,0.31,0.32,6,0.335125
0.15,0.38,0.28,0.38,6,0.335125
0.09,0.19,0.19,0.44,6,0.335125
0.16,0.4,0.16,0.36,6,0.335125
0.26,0.33,0.3,0.36,6,0.335125
0.12,0.33,0.15,0.36,6,0.335125
0.22,0.27,0.29,0.4,6,0.335125
0.24,0.3,0.29,0.37,6,0.335125
0.17,0.24,0.34,0.33,6,0.335125
0.2,0.23,0.25,0.26,6,0.335125
0.13,0.2,0.31,0.34,6,0.335125
0.1,0.46,0.39,0.39,6,0.335125
0.2,0.19,0.29,0.3,6,0.335125
0.1,0.21,0.15,0.37,6,0.335125
0.15,0.33,0.3,0.3,6,0.335125
0.05,0.15,0.05,0.33,6,0.335125
0.14,0.3,0.26,0.29,6,0.335125
0.14,0.19,0.28,0.34,6,0.335125
0.14,0.22,0.21,0.32,6,0.335125
0.11,0.12,0.34,0.35,6,0.335125
0.1,0.22,0.16,0.34,6,0.335125
0.26,0.26,0.29,0.29,6,0.335125
0.09,0.36,0.16,0.32,6,0.335125
0.27,0.23,0.32,0.33,6,0.335125
0.2,0.24,0.3,0.37,6,0.335125
0.19,0.22,0.26,0.39,6,0.335125
0.15,0.11,0.38,0.34,6,0.335125
0.12,0.16,0.24,0.37,6,0.335125
0.1,0.21,0.31,0.33,6,0.335125
0.1,0.3,0.18,0.32,6,0.335125
0.22,0.24,0.27,0.37,6,0.335125
0.16,0.24,0.09,0.37,6,0.335125
0.24,0.36,0.24,0.33,6,0.335125
0.14,0.23,0.26,0.32,6,0.335125
0.28,0.38,0.42,0.31,6,0.335125
0.17,0.33,0.12,0.32,6,0.335125
0.21,0.28,0.29,0.31,6,0.335125
0.14,0.12,0.29,0.35,6,0.335125
0.25,0.26,0.31,0.33,6,0.335125
0.26,0.34,0.5,0.4,6,0.335125
0.15,0.26,0.24,0.34,6,0.335125
0.16,0.23,0.34,0.36,6,0.335125
0.13,0.15,0.29,0.36,6,0.335125
0.22,0.3,0.15,0.4,6,0.335125
0.13,0.22,0.31,0.38,6,0.335125
0.13,0.31,0.21,0.36,6,0.335125
0.12,0.21,0.27,0.35,6,0.335125
0.14,0.25,0.41,0.35,6,0.335125
0.25,0.13,0.27,0.34,6,0.335125
0.16,0.3,0.27,0.39,6,0.335125
0.14,0.07,0.17,0.31,6,0.335125
0.09,0.18,0.34,0.29,6,0.335125
0.13,0.23,0.23,0.36,6,0.335125
0.16,0.11,0.12,0.34,6,0.335125
0.1,0.22,0.15,0.34,6,0.335125
0.12,0.35,0.4,0.34,6,0.335125
0.13,0.13,0.37,0.34,6,0.335125
0.12,0.18,0.23,0.32,6,0.335125
0.22,0.31,0.24,0.36,6,0.335125
0.2,0.19,0.09,0.34,6,0.335125
0.21,0.31,0.25,0.31,6,0.335125
0.21,0.17,0.41,0.34,6,0.335125
0.14,0.15,0.31,0.31,6,0.335125
0.05,0.34,0.23,0.36,6,0.335125
0.21,0.13,0.26,0.33,6,0.335125
0.19,0.38,0.15,0.33,6,0.335125
0.14,0.4,0.23,0.39,6,0.335125
0.1,0.29,0.29,0.34,6,0.335125
0.17,0.13,0.13,0.47,6,0.335125
0.13,0.19,0.23,0.31,6,0.335125
0.08,0.15,0.17,0.38,6,0.335125
0.13,0.22,0.24,0.32,6,0.335125
0.1,0.35,0.24,0.34,6,0.335125
0.12,0.31,0.35,0.31,6,0.335125
0.16,0.24,0.19,0.41,6,0.335125
0.3,0.2,0.1,0.35,6,0.335125
0.22,0.21,0.26,0.34,6,0.335125
