base,extra,test,majority,num_classes,majority_all
0.06,0.17,0.25,0.18,9,0.20989559691330004
0.07,0.07,0.23,0.24,9,0.20989559691330004
0.1,0.29,0.21,0.22,9,0.20989559691330004
0.11,0.17,0.23,0.2,9,0.20989559691330004
0.14,0.21,0.14,0.25,9,0.20989559691330004
0.21,0.14,0.18,0.29,9,0.20989559691330004
0.11,0.25,0.24,0.23,9,0.20989559691330004
0.12,0.12,0.16,0.25,9,0.20989559691330004
0.14,0.12,0.21,0.24,9,0.20989559691330004
0.14,0.2,0.18,0.23,9,0.20989559691330004
0.28,0.16,0.14,0.26,9,0.20989559691330004
0.06,0.16,0.14,0.28,9,0.20989559691330004
0.22,0.13,0.18,0.23,9,0.20989559691330004
0.11,0.07,0.19,0.28,9,0.20989559691330004
0.13,0.15,0.15,0.22,9,0.20989559691330004
0.19,0.13,0.24,0.24,9,0.20989559691330004
0.24,0.1,0.25,0.23,9,0.20989559691330004
0.15,0.16,0.31,0.2,9,0.20989559691330004
0.22,0.17,0.15,0.27,9,0.20989559691330004
0.1,0.29,0.24,0.22,9,0.20989559691330004
0.12,0.16,0.29,0.19,9,0.20989559691330004
0.13,0.24,0.21,0.22,9,0.20989559691330004
0.06,0.23,0.19,0.23,9,0.20989559691330004
0.11,0.24,0.28,0.29,9,0.20989559691330004
0.3,0.24,0.28,0.26,9,0.20989559691330004
0.09,0.17,0.15,0.26,9,0.20989559691330004
0.17,0.18,0.17,0.19,9,0.20989559691330004
0.19,0.15,0.19,0.22,9,0.20989559691330004
0.18,0.17,0.27,0.2,9,0.20989559691330004
0.2,0.32,0.3,0.25,9,0.20989559691330004
0.2,0.11,0.21,0.27,9,0.20989559691330004
0.13,0.2,0.19,0.2,9,0.20989559691330004
0.19,0.15,0.29,0.21,9,0.20989559691330004
0.23,0.16,0.19,0.19,9,0.20989559691330004
0.21,0.27,0.18,0.24,9,0.20989559691330004
0.23,0.21,0.08,0.24,9,0.20989559691330004
0.15,0.17,0.23,0.22,9,0.20989559691330004
0.13,0.22,0.18,0.24,9,0.20989559691330004
0.16,0.26,0.2,0.23,9,0.20989559691330004
0.2,0.2,0.2,0.19,9,0.20989559691330004
0.05,0.2,0.14,0.23,9,0.20989559691330004
0.18,0.2,0.29,0.21,9,0.20989559691330004
0.1,0.18,0.2,0.24,9,0.20989559691330004
0.11,0.31,0.22,0.22,9,0.20989559691330004
0.17,0.16,0.18,0.23,9,0.20989559691330004
0.2,0.21,0.34,0.24,9,0.20989559691330004
0.04,0.18,0.15,0.24,9,0.20989559691330004
0.22,0.19,0.22,0.25,9,0.20989559691330004
0.17,0.32,0.23,0.34,9,0.20989559691330004
0.09,0.27,0.14,0.24,9,0.20989559691330004
0.15,0.28,0.21,0.2,9,0.20989559691330004
0.25,0.16,0.2,0.21,9,0.20989559691330004
0.18,0.22,0.12,0.19,9,0.20989559691330004
0.21,0.15,0.28,0.24,9,0.20989559691330004
0.1,0.18,0.11,0.3,9,0.20989559691330004
0.23,0.27,0.3,0.24,9,0.20989559691330004
0.19,0.25,0.27,0.2,9,0.20989559691330004
0.12,0.13,0.27,0.23,9,0.20989559691330004
0.23,0.24,0.24,0.2,9,0.20989559691330004
0.17,0.19,0.24,0.18,9,0.20989559691330004
0.31,0.3,0.28,0.24,9,0.20989559691330004
0.12,0.22,0.23,0.21,9,0.20989559691330004
0.25,0.11,0.19,0.24,9,0.20989559691330004
0.18,0.16,0.11,0.25,9,0.20989559691330004
0.13,0.26,0.19,0.24,9,0.20989559691330004
0.21,0.33,0.26,0.24,9,0.20989559691330004
0.15,0.16,0.25,0.22,9,0.20989559691330004
0.1,0.35,0.26,0.26,9,0.20989559691330004
0.15,0.14,0.19,0.21,9,0.20989559691330004
0.24,0.15,0.06,0.25,9,0.20989559691330004
0.07,0.09,0.19,0.25,9,0.20989559691330004
0.22,0.28,0.18,0.21,9,0.20989559691330004
0.09,0.29,0.26,0.22,9,0.20989559691330004
0.11,0.19,0.28,0.27,9,0.20989559691330004
0.26,0.39,0.2,0.24,9,0.20989559691330004
0.3,0.21,0.33,0.23,9,0.20989559691330004
0.13,0.19,0.19,0.22,9,0.20989559691330004
0.22,0.13,0.18,0.27,9,0.20989559691330004
0.1,0.11,0.21,0.21,9,0.20989559691330004
0.1,0.22,0.18,0.27,9,0.20989559691330004
0.17,0.25,0.29,0.21,9,0.20989559691330004
0.2,0.28,0.25,0.21,9,0.20989559691330004
0.16,0.2,0.12,0.24,9,0.20989559691330004
0.12,0.28,0.23,0.21,9,0.20989559691330004
0.21,0.07,0.2,0.21,9,0.20989559691330004
0.28,0.37,0.32,0.24,9,0.20989559691330004
0.11,0.11,0.19,0.22,9,0.20989559691330004
0.18,0.27,0.18,0.26,9,0.20989559691330004
0.18,0.06,0.25,0.27,9,0.20989559691330004
0.16,0.29,0.16,0.26,9,0.20989559691330004
0.22,0.28,0.27,0.28,9,0.20989559691330004
0.18,0.12,0.24,0.23,9,0.20989559691330004
0.24,0.19,0.17,0.22,9,0.20989559691330004
0.09,0.06,0.16,0.27,9,0.20989559691330004
0.24,0.2,0.14,0.18,9,0.20989559691330004
0.1,0.18,0.18,0.22,9,0.20989559691330004
0.17,0.27,0.2,0.21,9,0.20989559691330004
0.23,0.16,0.19,0.25,9,0.20989559691330004
0.07,0.22,0.19,0.24,9,0.20989559691330004
0.21,0.16,0.14,0.25,9,0.20989559691330004
