base,extra,test,majority,num_classes,majority_all
0.72,0.79,0.91,0.91,2,0.9298542018647143
0.65,0.69,0.8,0.95,2,0.9298542018647143
0.5,0.75,0.81,0.95,2,0.9298542018647143
0.59,0.72,0.72,0.94,2,0.9298542018647143
0.68,0.88,0.6,0.93,2,0.9298542018647143
0.69,0.65,0.64,0.96,2,0.9298542018647143
0.64,0.82,0.71,0.89,2,0.9298542018647143
0.77,0.91,0.85,0.92,2,0.9298542018647143
0.52,0.51,0.45,0.87,2,0.9298542018647143
0.53,0.72,0.66,0.92,2,0.9298542018647143
0.63,0.73,0.77,0.94,2,0.9298542018647143
0.6,0.65,0.68,0.87,2,0.9298542018647143
0.46,0.26,0.67,0.96,2,0.9298542018647143
0.54,0.91,0.75,0.92,2,0.9298542018647143
0.69,0.63,0.37,0.95,2,0.9298542018647143
0.57,0.53,0.42,0.94,2,0.9298542018647143
0.63,0.63,0.14,0.92,2,0.9298542018647143
0.57,0.69,0.69,0.96,2,0.9298542018647143
0.62,0.58,0.75,0.89,2,0.9298542018647143
0.8,0.74,0.83,0.93,2,0.9298542018647143
0.69,0.8,0.8,0.92,2,0.9298542018647143
0.55,0.88,0.74,0.94,2,0.9298542018647143
0.71,0.81,0.76,0.91,2,0.9298542018647143
0.64,0.67,0.19,0.94,2,0.9298542018647143
0.61,0.4,0.71,0.88,2,0.9298542018647143
0.55,0.86,0.66,0.95,2,0.9298542018647143
0.58,0.74,0.54,0.93,2,0.9298542018647143
0.8,0.37,0.57,0.96,2,0.9298542018647143
0.7,0.72,0.72,0.92,2,0.9298542018647143
0.75,0.64,0.8,0.93,2,0.9298542018647143
0.66,0.81,0.7,0.88,2,0.9298542018647143
0.72,0.48,0.81,0.94,2,0.9298542018647143
0.58,0.69,0.58,0.9,2,0.9298542018647143
0.71,0.5,0.66,0.93,2,0.9298542018647143
0.57,0.7,0.69,0.91,2,0.9298542018647143
0.48,0.88,0.77,0.93,2,0.9298542018647143
0.69,0.79,0.57,0.91,2,0.9298542018647143
0.62,0.33,0.51,0.95,2,0.9298542018647143
0.61,0.75,0.74,0.96,2,0.9298542018647143
0.47,0.74,0.8,0.93,2,0.9298542018647143
0.38,0.64,0.55,0.89,2,0.9298542018647143
0.74,0.68,0.75,0.89,2,0.9298542018647143
0.6,0.44,0.18,0.95,2,0.9298542018647143
0.59,0.62,0.84,0.96,2,0.9298542018647143
0.8,0.76,0.75,0.94,2,0.9298542018647143
0.68,0.66,0.27,0.95,2,0.9298542018647143
0.62,0.88,0.75,0.92,2,0.9298542018647143
0.73,0.87,0.77,0.93,2,0.9298542018647143
0.65,0.8,0.8,0.91,2,0.9298542018647143
0.49,0.47,0.62,0.93,2,0.9298542018647143
0.69,0.73,0.83,0.94,2,0.9298542018647143
0.44,0.78,0.71,0.91,2,0.9298542018647143
0.72,0.69,0.73,0.87,2,0.9298542018647143
0.61,0.87,0.74,0.94,2,0.9298542018647143
0.6,0.47,0.43,0.96,2,0.9298542018647143
0.63,0.69,0.42,0.93,2,0.9298542018647143
0.56,0.79,0.77,0.92,2,0.9298542018647143
0.86,0.65,0.75,0.96,2,0.9298542018647143
0.63,0.84,0.88,0.94,2,0.9298542018647143
0.79,0.76,0.77,0.92,2,0.9298542018647143
0.88,0.74,0.83,0.93,2,0.9298542018647143
0.63,0.63,0.5,0.86,2,0.9298542018647143
0.45,0.58,0.52,0.95,2,0.9298542018647143
0.66,0.76,0.31,0.87,2,0.9298542018647143
0.82,0.69,0.78,0.96,2,0.9298542018647143
0.65,0.27,0.85,0.95,2,0.9298542018647143
0.65,0.77,0.64,0.95,2,0.9298542018647143
0.73,0.66,0.85,0.98,2,0.9298542018647143
0.73,0.79,0.8,0.92,2,0.9298542018647143
0.52,0.81,0.69,0.93,2,0.9298542018647143
0.55,0.83,0.82,0.89,2,0.9298542018647143
0.39,0.7,0.57,0.95,2,0.9298542018647143
0.85,0.83,0.66,0.96,2,0.9298542018647143
0.7,0.85,0.72,0.89,2,0.9298542018647143
0.52,0.78,0.72,0.96,2,0.9298542018647143
0.59,0.62,0.96,0.94,2,0.9298542018647143
0.7,0.78,0.71,0.95,2,0.9298542018647143
0.83,0.39,0.83,0.94,2,0.9298542018647143
0.78,0.89,0.81,0.98,2,0.9298542018647143
0.53,0.79,0.85,0.94,2,0.9298542018647143
0.66,0.76,0.57,0.95,2,0.9298542018647143
0.5,0.3,0.86,0.95,2,0.9298542018647143
0.73,0.84,0.67,0.94,2,0.9298542018647143
0.57,0.54,0.7,0.91,2,0.9298542018647143
0.72,0.71,0.56,0.94,2,0.9298542018647143
0.65,0.59,0.86,0.96,2,0.9298542018647143
0.83,0.8,0.85,0.95,2,0.9298542018647143
0.44,0.8,0.7,0.92,2,0.9298542018647143
0.68,0.9,0.9,0.91,2,0.9298542018647143
0.62,0.59,0.83,0.94,2,0.9298542018647143
0.66,0.88,0.65,0.95,2,0.9298542018647143
0.49,0.59,0.77,0.94,2,0.9298542018647143
0.42,0.57,0.58,0.92,2,0.9298542018647143
0.71,0.89,0.88,0.94,2,0.9298542018647143
0.67,0.64,0.63,0.9,2,0.9298542018647143
0.5,0.78,0.34,0.93,2,0.9298542018647143
0.43,0.75,0.66,0.96,2,0.9298542018647143
0.67,0.75,0.72,0.96,2,0.9298542018647143
0.45,0.51,0.41,0.96,2,0.9298542018647143
0.43,0.87,0.92,0.92,2,0.9298542018647143
