base,extra,test,majority,num_classes,majority_all
0.47,0.62,0.62,0.54,2,0.5186701999518188
0.51,0.58,0.56,0.51,2,0.5186701999518188
0.46,0.54,0.52,0.54,2,0.5186701999518188
0.46,0.61,0.59,0.55,2,0.5186701999518188
0.49,0.6,0.59,0.51,2,0.5186701999518188
0.5,0.53,0.54,0.52,2,0.5186701999518188
0.5,0.5,0.52,0.5,2,0.5186701999518188
0.47,0.68,0.67,0.53,2,0.5186701999518188
0.45,0.54,0.58,0.54,2,0.5186701999518188
0.48,0.53,0.55,0.52,2,0.5186701999518188
0.45,0.56,0.56,0.55,2,0.5186701999518188
0.53,0.52,0.56,0.52,2,0.5186701999518188
0.57,0.58,0.61,0.56,2,0.5186701999518188
0.6,0.58,0.58,0.58,2,0.5186701999518188
0.47,0.68,0.59,0.53,2,0.5186701999518188
0.53,0.6,0.55,0.51,2,0.5186701999518188
0.34,0.63,0.61,0.66,2,0.5186701999518188
0.42,0.55,0.54,0.59,2,0.5186701999518188
0.41,0.55,0.58,0.59,2,0.5186701999518188
0.42,0.57,0.57,0.59,2,0.5186701999518188
0.45,0.57,0.55,0.53,2,0.5186701999518188
0.48,0.49,0.5,0.52,2,0.5186701999518188
0.49,0.65,0.65,0.5,2,0.5186701999518188
0.44,0.56,0.57,0.54,2,0.5186701999518188
0.45,0.51,0.49,0.56,2,0.5186701999518188
0.5,0.61,0.64,0.5,2,0.5186701999518188
0.48,0.6,0.64,0.51,2,0.5186701999518188
0.57,0.47,0.49,0.61,2,0.5186701999518188
0.55,0.52,0.54,0.53,2,0.5186701999518188
0.34,0.6,0.59,0.65,2,0.5186701999518188
0.46,0.55,0.57,0.57,2,0.5186701999518188
0.45,0.59,0.57,0.53,2,0.5186701999518188
0.45,0.55,0.53,0.56,2,0.5186701999518188
0.43,0.64,0.61,0.58,2,0.5186701999518188
0.52,0.55,0.57,0.51,2,0.5186701999518188
0.45,0.54,0.54,0.55,2,0.5186701999518188
0.53,0.57,0.54,0.51,2,0.5186701999518188
0.49,0.59,0.61,0.5,2,0.5186701999518188
0.48,0.54,0.5,0.52,2,0.5186701999518188
0.46,0.66,0.6,0.54,2,0.5186701999518188
0.45,0.54,0.53,0.54,2,0.5186701999518188
0.59,0.51,0.51,0.6,2,0.5186701999518188
0.47,0.53,0.49,0.53,2,0.5186701999518188
0.43,0.5,0.53,0.57,2,0.5186701999518188
0.49,0.61,0.62,0.52,2,0.5186701999518188
0.57,0.57,0.62,0.56,2,0.5186701999518188
0.55,0.5,0.47,0.55,2,0.5186701999518188
0.46,0.51,0.52,0.53,2,0.5186701999518188
0.54,0.54,0.53,0.56,2,0.5186701999518188
0.57,0.46,0.51,0.55,2,0.5186701999518188
0.5,0.55,0.58,0.5,2,0.5186701999518188
0.6,0.59,0.52,0.59,2,0.5186701999518188
0.47,0.56,0.56,0.55,2,0.5186701999518188
0.41,0.57,0.58,0.61,2,0.5186701999518188
0.46,0.52,0.51,0.56,2,0.5186701999518188
0.45,0.61,0.62,0.56,2,0.5186701999518188
0.46,0.5,0.52,0.54,2,0.5186701999518188
0.46,0.54,0.53,0.54,2,0.5186701999518188
0.48,0.54,0.55,0.54,2,0.5186701999518188
0.52,0.42,0.42,0.53,2,0.5186701999518188
0.59,0.58,0.56,0.58,2,0.5186701999518188
0.55,0.5,0.49,0.56,2,0.5186701999518188
0.39,0.59,0.58,0.61,2,0.5186701999518188
0.48,0.58,0.56,0.52,2,0.5186701999518188
0.42,0.49,0.53,0.58,2,0.5186701999518188
0.51,0.51,0.53,0.53,2,0.5186701999518188
0.47,0.63,0.63,0.54,2,0.5186701999518188
0.47,0.5,0.49,0.54,2,0.5186701999518188
0.56,0.44,0.46,0.57,2,0.5186701999518188
0.53,0.6,0.58,0.51,2,0.5186701999518188
0.44,0.53,0.47,0.55,2,0.5186701999518188
0.51,0.66,0.65,0.53,2,0.5186701999518188
0.55,0.52,0.5,0.55,2,0.5186701999518188
0.53,0.51,0.57,0.54,2,0.5186701999518188
0.42,0.54,0.55,0.58,2,0.5186701999518188
0.51,0.53,0.5,0.52,2,0.5186701999518188
0.47,0.56,0.52,0.51,2,0.5186701999518188
0.45,0.51,0.53,0.54,2,0.5186701999518188
0.47,0.69,0.64,0.54,2,0.5186701999518188
0.47,0.6,0.61,0.54,2,0.5186701999518188
0.46,0.55,0.55,0.55,2,0.5186701999518188
0.43,0.48,0.48,0.58,2,0.5186701999518188
0.44,0.56,0.54,0.57,2,0.5186701999518188
0.45,0.55,0.59,0.55,2,0.5186701999518188
0.54,0.54,0.53,0.54,2,0.5186701999518188
0.52,0.54,0.59,0.5,2,0.5186701999518188
0.55,0.6,0.59,0.53,2,0.5186701999518188
0.43,0.5,0.46,0.57,2,0.5186701999518188
0.56,0.55,0.51,0.55,2,0.5186701999518188
0.46,0.63,0.57,0.53,2,0.5186701999518188
0.42,0.55,0.55,0.59,2,0.5186701999518188
0.49,0.53,0.5,0.52,2,0.5186701999518188
0.49,0.59,0.58,0.52,2,0.5186701999518188
0.42,0.58,0.56,0.57,2,0.5186701999518188
0.57,0.55,0.54,0.55,2,0.5186701999518188
0.52,0.49,0.48,0.51,2,0.5186701999518188
0.57,0.62,0.57,0.57,2,0.5186701999518188
0.57,0.5,0.52,0.57,2,0.5186701999518188
0.53,0.61,0.6,0.52,2,0.5186701999518188
0.46,0.57,0.51,0.54,2,0.5186701999518188
