base,extra,test,majority,num_classes,majority_all
0.19,0.26,0.28,0.38,4,0.4260586319218241
0.15,0.19,0.23,0.47,4,0.4260586319218241
0.2,0.12,0.09,0.4,4,0.4260586319218241
0.2,0.19,0.21,0.44,4,0.4260586319218241
0.16,0.21,0.24,0.41,4,0.4260586319218241
0.13,0.17,0.2,0.47,4,0.4260586319218241
0.21,0.24,0.27,0.36,4,0.4260586319218241
0.13,0.12,0.12,0.58,4,0.4260586319218241
0.23,0.18,0.16,0.44,4,0.4260586319218241
0.24,0.24,0.23,0.48,4,0.4260586319218241
0.16,0.19,0.22,0.38,4,0.4260586319218241
0.2,0.19,0.18,0.42,4,0.4260586319218241
0.17,0.19,0.18,0.5,4,0.4260586319218241
0.24,0.13,0.11,0.41,4,0.4260586319218241
0.28,0.23,0.23,0.49,4,0.4260586319218241
0.13,0.24,0.27,0.43,4,0.4260586319218241
0.19,0.18,0.2,0.42,4,0.4260586319218241
0.12,0.23,0.22,0.44,4,0.4260586319218241
0.19,0.1,0.12,0.57,4,0.4260586319218241
0.14,0.19,0.2,0.43,4,0.4260586319218241
0.2,0.22,0.19,0.42,4,0.4260586319218241
0.14,0.16,0.14,0.41,4,0.4260586319218241
0.17,0.14,0.16,0.37,4,0.4260586319218241
0.16,0.23,0.23,0.43,4,0.4260586319218241
0.22,0.16,0.17,0.43,4,0.4260586319218241
0.13,0.32,0.24,0.4,4,0.4260586319218241
0.22,0.2,0.17,0.52,4,0.4260586319218241
0.25,0.15,0.18,0.41,4,0.4260586319218241
0.16,0.11,0.12,0.44,4,0.4260586319218241
0.29,0.18,0.2,0.41,4,0.4260586319218241
0.14,0.21,0.21,0.47,4,0.4260586319218241
0.16,0.17,0.14,0.4,4,0.4260586319218241
0.12,0.12,0.12,0.43,4,0.4260586319218241
0.15,0.23,0.2,0.56,4,0.4260586319218241
0.19,0.17,0.21,0.4,4,0.4260586319218241
0.22,0.28,0.3,0.38,4,0.4260586319218241
0.16,0.17,0.16,0.44,4,0.4260586319218241
0.19,0.22,0.13,0.46,4,0.4260586319218241
0.12,0.22,0.22,0.45,4,0.4260586319218241
0.15,0.1,0.12,0.47,4,0.4260586319218241
0.14,0.15,0.19,0.45,4,0.4260586319218241
0.15,0.2,0.2,0.45,4,0.4260586319218241
0.17,0.13,0.18,0.39,4,0.4260586319218241
0.21,0.15,0.18,0.47,4,0.4260586319218241
0.18,0.14,0.18,0.46,4,0.4260586319218241
0.22,0.18,0.15,0.39,4,0.4260586319218241
0.23,0.19,0.19,0.43,4,0.4260586319218241
0.15,0.23,0.2,0.43,4,0.4260586319218241
0.14,0.2,0.23,0.39,4,0.4260586319218241
0.23,0.12,0.14,0.45,4,0.4260586319218241
0.16,0.23,0.26,0.41,4,0.4260586319218241
0.2,0.19,0.2,0.43,4,0.4260586319218241
0.1,0.23,0.21,0.49,4,0.4260586319218241
0.19,0.2,0.19,0.39,4,0.4260586319218241
0.19,0.25,0.24,0.43,4,0.4260586319218241
0.13,0.14,0.2,0.38,4,0.4260586319218241
0.17,0.28,0.3,0.39,4,0.4260586319218241
0.25,0.16,0.16,0.46,4,0.4260586319218241
0.11,0.15,0.14,0.47,4,0.4260586319218241
0.11,0.21,0.22,0.55,4,0.4260586319218241
0.17,0.12,0.16,0.47,4,0.4260586319218241
0.23,0.22,0.2,0.39,4,0.4260586319218241
0.17,0.17,0.21,0.47,4,0.4260586319218241
0.2,0.23,0.2,0.47,4,0.4260586319218241
0.18,0.18,0.17,0.57,4,0.4260586319218241
0.22,0.22,0.2,0.4,4,0.4260586319218241
0.14,0.14,0.18,0.51,4,0.4260586319218241
0.17,0.1,0.08,0.41,4,0.4260586319218241
0.2,0.22,0.3,0.43,4,0.4260586319218241
0.18,0.19,0.14,0.48,4,0.4260586319218241
0.2,0.19,0.18,0.38,4,0.4260586319218241
0.11,0.15,0.15,0.5,4,0.4260586319218241
0.12,0.17,0.2,0.4,4,0.4260586319218241
0.14,0.2,0.17,0.39,4,0.4260586319218241
0.17,0.28,0.26,0.43,4,0.4260586319218241
0.16,0.2,0.25,0.43,4,0.4260586319218241
0.19,0.14,0.13,0.55,4,0.4260586319218241
0.23,0.29,0.24,0.36,4,0.4260586319218241
0.13,0.18,0.19,0.41,4,0.4260586319218241
0.28,0.15,0.18,0.41,4,0.4260586319218241
0.21,0.15,0.13,0.41,4,0.4260586319218241
0.21,0.22,0.23,0.45,4,0.4260586319218241
0.23,0.18,0.13,0.42,4,0.4260586319218241
0.18,0.21,0.19,0.42,4,0.4260586319218241
0.19,0.19,0.23,0.4,4,0.4260586319218241
0.18,0.15,0.18,0.43,4,0.4260586319218241
0.12,0.24,0.23,0.38,4,0.4260586319218241
0.19,0.28,0.32,0.38,4,0.4260586319218241
0.24,0.24,0.21,0.34,4,0.4260586319218241
0.23,0.19,0.17,0.48,4,0.4260586319218241
0.12,0.16,0.17,0.54,4,0.4260586319218241
0.1,0.13,0.16,0.44,4,0.4260586319218241
0.13,0.18,0.18,0.48,4,0.4260586319218241
0.21,0.2,0.17,0.45,4,0.4260586319218241
0.16,0.19,0.23,0.48,4,0.4260586319218241
0.21,0.17,0.19,0.46,4,0.4260586319218241
0.14,0.24,0.25,0.47,4,0.4260586319218241
0.18,0.18,0.17,0.41,4,0.4260586319218241
0.19,0.12,0.16,0.42,4,0.4260586319218241
0.17,0.09,0.13,0.43,4,0.4260586319218241
