base,extra,test,majority,num_classes,majority_all
0.19,0.29,0.28,0.34,6,0.335125
0.15,0.24,0.23,0.34,6,0.335125
0.15,0.23,0.29,0.36,6,0.335125
0.19,0.23,0.26,0.32,6,0.335125
0.15,0.3,0.29,0.44,6,0.335125
0.21,0.23,0.24,0.36,6,0.335125
0.19,0.25,0.29,0.34,6,0.335125
0.18,0.17,0.21,0.29,6,0.335125
0.16,0.23,0.23,0.28,6,0.335125
0.17,0.29,0.3,0.32,6,0.335125
0.18,0.26,0.31,0.35,6,0.335125
0.18,0.22,0.26,0.45,6,0.335125
0.15,0.23,0.28,0.36,6,0.335125
0.15,0.21,0.2,0.31,6,0.335125
0.16,0.3,0.32,0.34,6,0.335125
0.13,0.43,0.44,0.39,6,0.335125
0.12,0.24,0.26,0.33,6,0.335125
0.18,0.34,0.32,0.4,6,0.335125
0.19,0.19,0.25,0.36,6,0.335125
0.19,0.17,0.19,0.37,6,0.335125
0.13,0.32,0.32,0.32,6,0.335125
0.19,0.27,0.23,0.37,6,0.335125
0.23,0.23,0.23,0.33,6,0.335125
0.18,0.26,0.26,0.32,6,0.335125
0.13,0.29,0.26,0.38,6,0.335125
0.13,0.26,0.24,0.44,6,0.335125
0.16,0.25,0.23,0.36,6,0.335125
0.25,0.28,0.28,0.36,6,0.335125
0.18,0.3,0.28,0.36,6,0.335125
0.18,0.32,0.34,0.4,6,0.335125
0.2,0.32,0.34,0.37,6,0.335125
0.15,0.28,0.31,0.33,6,0.335125
0.19,0.23,0.18,0.26,6,0.335125
0.25,0.28,0.26,0.34,6,0.335125
0.16,0.39,0.32,0.39,6,0.335125
0.14,0.25,0.25,0.3,6,0.335125
0.16,0.27,0.27,0.37,6,0.335125
0.16,0.27,0.28,0.3,6,0.335125
0.14,0.23,0.23,0.33,6,0.335125
0.13,0.29,0.27,0.29,6,0.335125
0.19,0.32,0.34,0.34,6,0.335125
0.19,0.19,0.21,0.32,6,0.335125
0.22,0.36,0.32,0.35,6,0.335125
0.14,0.27,0.24,0.34,6,0.335125
0.18,0.3,0.2,0.29,6,0.335125
0.23,0.18,0.17,0.32,6,0.335125
0.16,0.25,0.28,0.33,6,0.335125
0.19,0.35,0.34,0.37,6,0.335125
0.2,0.35,0.34,0.39,6,0.335125
0.17,0.26,0.31,0.34,6,0.335125
0.13,0.29,0.3,0.37,6,0.335125
0.21,0.24,0.23,0.33,6,0.335125
0.09,0.21,0.23,0.32,6,0.335125
0.11,0.21,0.22,0.37,6,0.335125
0.12,0.2,0.21,0.37,6,0.335125
0.1,0.27,0.26,0.33,6,0.335125
0.15,0.26,0.27,0.32,6,0.335125
0.14,0.26,0.31,0.31,6,0.335125
0.22,0.28,0.31,0.32,6,0.335125
0.15,0.25,0.22,0.31,6,0.335125
0.17,0.25,0.25,0.35,6,0.335125
0.13,0.26,0.26,0.33,6,0.335125
0.16,0.29,0.3,0.4,6,0.335125
0.22,0.18,0.13,0.34,6,0.335125
0.19,0.28,0.26,0.36,6,0.335125
0.14,0.21,0.2,0.36,6,0.335125
0.23,0.3,0.29,0.4,6,0.335125
0.15,0.29,0.27,0.38,6,0.335125
0.15,0.29,0.33,0.36,6,0.335125
0.14,0.29,0.31,0.35,6,0.335125
0.16,0.24,0.25,0.35,6,0.335125
0.19,0.33,0.33,0.34,6,0.335125
0.16,0.28,0.25,0.39,6,0.335125
0.2,0.28,0.27,0.31,6,0.335125
0.18,0.25,0.29,0.29,6,0.335125
0.12,0.24,0.26,0.36,6,0.335125
0.18,0.3,0.28,0.34,6,0.335125
0.1,0.3,0.3,0.34,6,0.335125
0.14,0.28,0.22,0.34,6,0.335125
0.19,0.24,0.26,0.34,6,0.335125
0.22,0.24,0.23,0.32,6,0.335125
0.16,0.25,0.28,0.36,6,0.335125
0.17,0.35,0.31,0.34,6,0.335125
0.15,0.24,0.26,0.31,6,0.335125
0.15,0.29,0.25,0.34,6,0.335125
0.23,0.21,0.24,0.31,6,0.335125
0.09,0.33,0.29,0.36,6,0.335125
0.25,0.23,0.23,0.33,6,0.335125
0.17,0.27,0.26,0.33,6,0.335125
0.15,0.28,0.23,0.39,6,0.335125
0.16,0.33,0.28,0.34,6,0.335125
0.2,0.28,0.3,0.47,6,0.335125
0.2,0.24,0.26,0.31,6,0.335125
0.18,0.39,0.37,0.38,6,0.335125
0.16,0.29,0.28,0.32,6,0.335125
0.1,0.32,0.33,0.34,6,0.335125
0.17,0.22,0.24,0.31,6,0.335125
0.17,0.3,0.28,0.41,6,0.335125
0.21,0.4,0.37,0.35,6,0.335125
0.14,0.28,0.33,0.34,6,0.335125
