base,extra,test,majority,num_classes,majority_all
0.61,0.39,0.39,0.52,2,0.5
0.65,0.53,0.54,0.55,2,0.5
0.58,0.53,0.53,0.56,2,0.5
0.5,0.55,0.52,0.52,2,0.5
0.6,0.57,0.53,0.51,2,0.5
0.46,0.37,0.38,0.53,2,0.5
0.55,0.48,0.48,0.54,2,0.5
0.57,0.52,0.51,0.5,2,0.5
0.45,0.51,0.52,0.51,2,0.5
0.53,0.39,0.38,0.54,2,0.5
0.46,0.57,0.5,0.52,2,0.5
0.47,0.52,0.51,0.52,2,0.5
0.58,0.56,0.6,0.52,2,0.5
0.49,0.43,0.43,0.57,2,0.5
0.58,0.56,0.44,0.55,2,0.5
0.51,0.58,0.53,0.57,2,0.5
0.54,0.54,0.48,0.55,2,0.5
0.54,0.61,0.61,0.53,2,0.5
0.44,0.42,0.43,0.51,2,0.5
0.52,0.54,0.5,0.51,2,0.5
0.62,0.5,0.46,0.55,2,0.5
0.59,0.51,0.51,0.55,2,0.5
0.58,0.54,0.53,0.54,2,0.5
0.53,0.43,0.5,0.51,2,0.5
0.51,0.51,0.53,0.51,2,0.5
0.54,0.49,0.53,0.52,2,0.5
0.49,0.55,0.53,0.55,2,0.5
0.63,0.54,0.48,0.53,2,0.5
0.56,0.5,0.51,0.55,2,0.5
0.56,0.51,0.54,0.54,2,0.5
0.54,0.44,0.44,0.55,2,0.5
0.44,0.56,0.56,0.57,2,0.5
0.5,0.6,0.51,0.52,2,0.5
0.5,0.54,0.55,0.5,2,0.5
0.48,0.6,0.57,0.56,2,0.5
0.52,0.49,0.45,0.6,2,0.5
0.53,0.54,0.56,0.53,2,0.5
0.44,0.39,0.57,0.54,2,0.5
0.48,0.59,0.6,0.56,2,0.5
0.49,0.62,0.62,0.57,2,0.5
0.56,0.58,0.52,0.56,2,0.5
0.44,0.56,0.56,0.51,2,0.5
0.52,0.48,0.46,0.53,2,0.5
0.6,0.39,0.38,0.59,2,0.5
0.59,0.54,0.5,0.52,2,0.5
0.5,0.5,0.5,0.55,2,0.5
0.52,0.48,0.53,0.53,2,0.5
0.4,0.56,0.6,0.59,2,0.5
0.54,0.35,0.36,0.57,2,0.5
0.47,0.59,0.56,0.55,2,0.5
0.54,0.49,0.48,0.51,2,0.5
0.54,0.56,0.54,0.51,2,0.5
0.62,0.57,0.58,0.63,2,0.5
0.53,0.45,0.46,0.56,2,0.5
0.52,0.51,0.54,0.54,2,0.5
0.56,0.48,0.47,0.56,2,0.5
0.48,0.57,0.65,0.51,2,0.5
0.51,0.51,0.49,0.54,2,0.5
0.52,0.51,0.52,0.56,2,0.5
0.6,0.51,0.55,0.51,2,0.5
0.64,0.6,0.6,0.53,2,0.5
0.57,0.59,0.59,0.54,2,0.5
0.57,0.53,0.49,0.52,2,0.5
0.55,0.5,0.51,0.5,2,0.5
0.5,0.44,0.46,0.5,2,0.5
0.46,0.51,0.49,0.51,2,0.5
0.49,0.48,0.57,0.53,2,0.5
0.57,0.53,0.53,0.5,2,0.5
0.45,0.44,0.44,0.5,2,0.5
0.52,0.56,0.54,0.51,2,0.5
0.52,0.54,0.54,0.51,2,0.5
0.59,0.51,0.48,0.53,2,0.5
0.52,0.52,0.59,0.53,2,0.5
0.48,0.56,0.51,0.52,2,0.5
0.54,0.58,0.55,0.54,2,0.5
0.5,0.55,0.56,0.53,2,0.5
0.41,0.52,0.52,0.54,2,0.5
0.5,0.43,0.48,0.5,2,0.5
0.46,0.56,0.56,0.6,2,0.5
0.42,0.55,0.56,0.5,2,0.5
0.56,0.51,0.48,0.51,2,0.5
0.5,0.49,0.49,0.53,2,0.5
0.46,0.52,0.52,0.54,2,0.5
0.59,0.54,0.53,0.53,2,0.5
0.59,0.56,0.51,0.51,2,0.5
0.49,0.47,0.49,0.52,2,0.5
0.47,0.52,0.52,0.51,2,0.5
0.4,0.51,0.55,0.57,2,0.5
0.47,0.51,0.5,0.51,2,0.5
0.49,0.43,0.44,0.53,2,0.5
0.47,0.57,0.57,0.51,2,0.5
0.55,0.49,0.45,0.54,2,0.5
0.45,0.57,0.57,0.61,2,0.5
0.6,0.5,0.47,0.5,2,0.5
0.46,0.6,0.58,0.59,2,0.5
0.58,0.46,0.46,0.56,2,0.5
0.5,0.56,0.48,0.52,2,0.5
0.57,0.48,0.48,0.51,2,0.5
0.43,0.48,0.39,0.57,2,0.5
0.54,0.49,0.51,0.54,2,0.5
