base,extra,test,majority,num_classes,majority_all
0.62,0.83,0.82,0.9,2,0.8946
0.795,0.895,0.74,0.92,2,0.8946
0.68,0.82,0.845,0.855,2,0.8946
0.76,0.345,0.605,0.89,2,0.8946
0.75,0.51,0.765,0.885,2,0.8946
0.555,0.66,0.695,0.905,2,0.8946
0.77,0.85,0.865,0.915,2,0.8946
0.83,0.85,0.88,0.925,2,0.8946
0.575,0.54,0.705,0.9,2,0.8946
0.85,0.855,0.74,0.91,2,0.8946
0.815,0.645,0.86,0.895,2,0.8946
0.605,0.435,0.635,0.885,2,0.8946
0.72,0.85,0.84,0.905,2,0.8946
0.77,0.845,0.765,0.93,2,0.8946
0.575,0.915,0.65,0.91,2,0.8946
0.71,0.795,0.825,0.915,2,0.8946
0.54,0.73,0.855,0.89,2,0.8946
0.83,0.755,0.9,0.915,2,0.8946
0.765,0.495,0.71,0.9,2,0.8946
0.705,0.815,0.7,0.905,2,0.8946
0.62,0.79,0.82,0.885,2,0.8946
0.74,0.65,0.845,0.89,2,0.8946
0.405,0.555,0.355,0.885,2,0.8946
0.595,0.75,0.2,0.895,2,0.8946
0.61,0.665,0.69,0.87,2,0.8946
0.805,0.85,0.82,0.9,2,0.8946
0.39,0.635,0.6,0.87,2,0.8946
0.81,0.93,0.675,0.895,2,0.8946
0.845,0.715,0.74,0.91,2,0.8946
0.655,0.925,0.805,0.895,2,0.8946
0.565,0.475,0.48,0.915,2,0.8946
0.625,0.75,0.655,0.91,2,0.8946
0.56,0.75,0.715,0.935,2,0.8946
0.57,0.84,0.77,0.87,2,0.8946
0.705,0.815,0.92,0.895,2,0.8946
0.77,0.895,0.36,0.915,2,0.8946
0.61,0.81,0.15,0.905,2,0.8946
0.75,0.755,0.785,0.88,2,0.8946
0.605,0.38,0.705,0.915,2,0.8946
0.55,0.595,0.665,0.9,2,0.8946
0.68,0.575,0.825,0.9,2,0.8946
0.785,0.735,0.78,0.87,2,0.8946
0.645,0.88,0.875,0.88,2,0.8946
0.63,0.18,0.525,0.9,2,0.8946
0.485,0.58,0.9,0.945,2,0.8946
0.665,0.825,0.735,0.935,2,0.8946
0.47,0.75,0.535,0.915,2,0.8946
0.76,0.855,0.84,0.905,2,0.8946
0.78,0.43,0.63,0.905,2,0.8946
0.76,0.695,0.675,0.89,2,0.8946
