base,extra,test,majority,num_classes,majority_all
0.13,0.125,0.125,0.245,6,0.2484942685059258
0.185,0.185,0.19,0.21,6,0.2484942685059258
0.22,0.235,0.285,0.26,6,0.2484942685059258
0.15,0.15,0.15,0.28,6,0.2484942685059258
0.195,0.19,0.19,0.26,6,0.2484942685059258
0.17,0.215,0.17,0.245,6,0.2484942685059258
0.18,0.175,0.225,0.215,6,0.2484942685059258
0.195,0.19,0.195,0.29,6,0.2484942685059258
0.21,0.165,0.165,0.205,6,0.2484942685059258
0.15,0.125,0.125,0.245,6,0.2484942685059258
0.265,0.145,0.145,0.25,6,0.2484942685059258
0.2,0.195,0.185,0.31,6,0.2484942685059258
0.155,0.165,0.19,0.26,6,0.2484942685059258
0.225,0.17,0.165,0.285,6,0.2484942685059258
0.135,0.135,0.135,0.285,6,0.2484942685059258
0.255,0.165,0.17,0.25,6,0.2484942685059258
0.17,0.17,0.245,0.26,6,0.2484942685059258
0.25,0.18,0.185,0.225,6,0.2484942685059258
0.2,0.195,0.195,0.25,6,0.2484942685059258
0.17,0.175,0.18,0.23,6,0.2484942685059258
0.16,0.16,0.16,0.235,6,0.2484942685059258
0.19,0.195,0.19,0.245,6,0.2484942685059258
0.125,0.125,0.125,0.28,6,0.2484942685059258
0.185,0.19,0.19,0.255,6,0.2484942685059258
0.19,0.19,0.1,0.27,6,0.2484942685059258
0.205,0.205,0.205,0.215,6,0.2484942685059258
0.195,0.195,0.195,0.25,6,0.2484942685059258
0.19,0.13,0.13,0.285,6,0.2484942685059258
0.2,0.18,0.18,0.225,6,0.2484942685059258
0.185,0.185,0.185,0.265,6,0.2484942685059258
0.18,0.14,0.18,0.255,6,0.2484942685059258
0.21,0.21,0.21,0.25,6,0.2484942685059258
0.17,0.165,0.16,0.235,6,0.2484942685059258
0.215,0.22,0.23,0.22,6,0.2484942685059258
0.22,0.22,0.23,0.295,6,0.2484942685059258
0.15,0.195,0.205,0.275,6,0.2484942685059258
0.155,0.155,0.155,0.245,6,0.2484942685059258
0.16,0.16,0.16,0.24,6,0.2484942685059258
0.23,0.2,0.13,0.275,6,0.2484942685059258
0.16,0.165,0.17,0.25,6,0.2484942685059258
0.19,0.19,0.205,0.24,6,0.2484942685059258
0.205,0.185,0.18,0.22,6,0.2484942685059258
0.17,0.125,0.17,0.28,6,0.2484942685059258
0.19,0.2,0.19,0.275,6,0.2484942685059258
0.205,0.165,0.17,0.27,6,0.2484942685059258
0.28,0.225,0.225,0.255,6,0.2484942685059258
0.155,0.155,0.155,0.265,6,0.2484942685059258
0.155,0.15,0.15,0.315,6,0.2484942685059258
0.18,0.145,0.165,0.295,6,0.2484942685059258
0.205,0.195,0.195,0.225,6,0.2484942685059258
