base,extra,test,majority,num_classes,majority_all
0.3,0.42,0.41,0.305,4,0.25
0.405,0.39,0.395,0.275,4,0.25
0.285,0.4,0.4,0.265,4,0.25
0.25,0.375,0.355,0.265,4,0.25
0.29,0.325,0.33,0.305,4,0.25
0.335,0.375,0.38,0.31,4,0.25
0.26,0.365,0.35,0.28,4,0.25
0.345,0.385,0.35,0.295,4,0.25
0.245,0.325,0.31,0.26,4,0.25
0.295,0.315,0.29,0.29,4,0.25
0.315,0.39,0.38,0.285,4,0.25
0.32,0.4,0.395,0.29,4,0.25
0.325,0.355,0.39,0.295,4,0.25
0.29,0.41,0.395,0.295,4,0.25
0.295,0.44,0.45,0.305,4,0.25
0.395,0.37,0.395,0.285,4,0.25
0.26,0.375,0.365,0.31,4,0.25
0.31,0.42,0.42,0.275,4,0.25
0.3,0.445,0.465,0.295,4,0.25
0.265,0.375,0.415,0.265,4,0.25
0.32,0.45,0.405,0.315,4,0.25
0.315,0.39,0.41,0.27,4,0.25
0.36,0.35,0.33,0.28,4,0.25
0.31,0.41,0.43,0.3,4,0.25
0.3,0.395,0.45,0.255,4,0.25
0.285,0.38,0.38,0.27,4,0.25
0.345,0.27,0.35,0.28,4,0.25
0.36,0.28,0.325,0.31,4,0.25
0.28,0.4,0.425,0.28,4,0.25
0.36,0.41,0.38,0.26,4,0.25
0.21,0.34,0.31,0.285,4,0.25
0.305,0.325,0.36,0.275,4,0.25
0.35,0.38,0.37,0.29,4,0.25
0.35,0.44,0.45,0.275,4,0.25
0.375,0.355,0.39,0.26,4,0.25
0.34,0.45,0.445,0.305,4,0.25
0.36,0.365,0.355,0.285,4,0.25
0.375,0.375,0.4,0.275,4,0.25
0.295,0.385,0.34,0.275,4,0.25
0.36,0.33,0.32,0.275,4,0.25
0.275,0.42,0.425,0.27,4,0.25
0.32,0.425,0.4,0.29,4,0.25
0.33,0.35,0.34,0.29,4,0.25
0.4,0.38,0.4,0.35,4,0.25
0.345,0.365,0.355,0.26,4,0.25
0.225,0.36,0.4,0.295,4,0.25
0.4,0.345,0.38,0.285,4,0.25
0.315,0.405,0.39,0.27,4,0.25
0.29,0.295,0.3,0.295,4,0.25
0.32,0.4,0.41,0.285,4,0.25
