base,extra,test,majority,num_classes,majority_all
0.625,0.5,0.34,0.9,2,0.8946
0.46,0.435,0.475,0.92,2,0.8946
0.67,0.53,0.505,0.855,2,0.8946
0.705,0.43,0.45,0.89,2,0.8946
0.59,0.285,0.3,0.885,2,0.8946
0.325,0.495,0.315,0.905,2,0.8946
0.415,0.355,0.36,0.915,2,0.8946
0.515,0.51,0.34,0.925,2,0.8946
0.515,0.595,0.455,0.9,2,0.8946
0.725,0.52,0.5,0.91,2,0.8946
0.8,0.66,0.61,0.895,2,0.8946
0.405,0.365,0.295,0.885,2,0.8946
0.44,0.535,0.59,0.905,2,0.8946
0.46,0.575,0.615,0.93,2,0.8946
0.38,0.25,0.285,0.91,2,0.8946
0.445,0.345,0.31,0.915,2,0.8946
0.465,0.725,0.325,0.89,2,0.8946
0.74,0.61,0.575,0.915,2,0.8946
0.355,0.405,0.57,0.9,2,0.8946
0.4,0.365,0.315,0.905,2,0.8946
0.715,0.56,0.525,0.885,2,0.8946
0.435,0.625,0.59,0.89,2,0.8946
0.36,0.305,0.32,0.885,2,0.8946
0.65,0.455,0.48,0.895,2,0.8946
0.745,0.335,0.34,0.87,2,0.8946
0.68,0.405,0.445,0.9,2,0.8946
0.76,0.34,0.34,0.87,2,0.8946
0.51,0.575,0.58,0.895,2,0.8946
0.54,0.695,0.74,0.91,2,0.8946
0.7,0.695,0.63,0.895,2,0.8946
0.375,0.565,0.495,0.915,2,0.8946
0.73,0.735,0.77,0.91,2,0.8946
0.68,0.285,0.635,0.935,2,0.8946
0.795,0.61,0.56,0.87,2,0.8946
0.435,0.79,0.775,0.895,2,0.8946
0.18,0.56,0.6,0.915,2,0.8946
0.605,0.725,0.66,0.905,2,0.8946
0.46,0.805,0.73,0.88,2,0.8946
0.605,0.435,0.53,0.915,2,0.8946
0.59,0.295,0.38,0.9,2,0.8946
0.615,0.575,0.55,0.9,2,0.8946
0.27,0.265,0.21,0.87,2,0.8946
0.71,0.665,0.55,0.88,2,0.8946
0.76,0.42,0.335,0.9,2,0.8946
0.475,0.34,0.29,0.945,2,0.8946
0.635,0.5,0.635,0.935,2,0.8946
0.49,0.67,0.495,0.915,2,0.8946
0.67,0.56,0.585,0.905,2,0.8946
0.745,0.57,0.59,0.905,2,0.8946
0.55,0.65,0.485,0.89,2,0.8946
