base,extra,test,majority,num_classes,majority_all
0.255,0.24,0.23,0.245,6,0.2484942685059258
0.17,0.15,0.135,0.21,6,0.2484942685059258
0.155,0.15,0.19,0.26,6,0.2484942685059258
0.23,0.225,0.19,0.28,6,0.2484942685059258
0.23,0.225,0.22,0.26,6,0.2484942685059258
0.26,0.185,0.205,0.245,6,0.2484942685059258
0.145,0.16,0.145,0.215,6,0.2484942685059258
0.255,0.19,0.185,0.29,6,0.2484942685059258
0.18,0.195,0.19,0.205,6,0.2484942685059258
0.18,0.21,0.215,0.245,6,0.2484942685059258
0.245,0.225,0.2,0.25,6,0.2484942685059258
0.245,0.155,0.195,0.31,6,0.2484942685059258
0.22,0.205,0.22,0.26,6,0.2484942685059258
0.215,0.235,0.17,0.285,6,0.2484942685059258
0.24,0.2,0.215,0.285,6,0.2484942685059258
0.225,0.19,0.17,0.25,6,0.2484942685059258
0.215,0.19,0.245,0.26,6,0.2484942685059258
0.17,0.18,0.215,0.225,6,0.2484942685059258
0.24,0.21,0.205,0.25,6,0.2484942685059258
0.18,0.19,0.19,0.23,6,0.2484942685059258
0.255,0.21,0.18,0.235,6,0.2484942685059258
0.27,0.19,0.155,0.245,6,0.2484942685059258
0.22,0.205,0.17,0.28,6,0.2484942685059258
0.195,0.235,0.21,0.255,6,0.2484942685059258
0.225,0.21,0.175,0.27,6,0.2484942685059258
0.18,0.19,0.195,0.215,6,0.2484942685059258
0.28,0.19,0.18,0.25,6,0.2484942685059258
0.25,0.215,0.19,0.285,6,0.2484942685059258
0.22,0.185,0.19,0.225,6,0.2484942685059258
0.17,0.185,0.195,0.265,6,0.2484942685059258
0.215,0.2,0.19,0.255,6,0.2484942685059258
0.24,0.195,0.21,0.25,6,0.2484942685059258
0.205,0.185,0.215,0.235,6,0.2484942685059258
0.22,0.21,0.215,0.22,6,0.2484942685059258
0.23,0.16,0.165,0.295,6,0.2484942685059258
0.19,0.15,0.17,0.275,6,0.2484942685059258
0.25,0.245,0.205,0.245,6,0.2484942685059258
0.215,0.185,0.175,0.24,6,0.2484942685059258
0.235,0.195,0.21,0.275,6,0.2484942685059258
0.19,0.18,0.175,0.25,6,0.2484942685059258
0.225,0.24,0.17,0.24,6,0.2484942685059258
0.24,0.23,0.23,0.22,6,0.2484942685059258
0.235,0.205,0.225,0.28,6,0.2484942685059258
0.2,0.175,0.165,0.275,6,0.2484942685059258
0.225,0.16,0.185,0.27,6,0.2484942685059258
0.235,0.21,0.205,0.255,6,0.2484942685059258
0.25,0.19,0.18,0.265,6,0.2484942685059258
0.23,0.235,0.25,0.315,6,0.2484942685059258
0.225,0.235,0.265,0.295,6,0.2484942685059258
0.2,0.175,0.155,0.225,6,0.2484942685059258
