base,extra,test,majority,num_classes,majority_all
0.835,0.72,0.71,0.48,3,0.4950914982844072
0.92,0.62,0.635,0.555,3,0.4950914982844072
0.86,0.63,0.61,0.48,3,0.4950914982844072
0.84,0.66,0.58,0.495,3,0.4950914982844072
0.875,0.59,0.535,0.455,3,0.4950914982844072
0.835,0.54,0.555,0.455,3,0.4950914982844072
0.89,0.605,0.595,0.53,3,0.4950914982844072
0.79,0.495,0.53,0.49,3,0.4950914982844072
0.85,0.59,0.625,0.455,3,0.4950914982844072
0.835,0.66,0.6,0.495,3,0.4950914982844072
0.845,0.55,0.675,0.48,3,0.4950914982844072
0.82,0.66,0.68,0.495,3,0.4950914982844072
0.865,0.625,0.72,0.535,3,0.4950914982844072
0.84,0.64,0.63,0.44,3,0.4950914982844072
0.835,0.66,0.65,0.48,3,0.4950914982844072
0.89,0.65,0.745,0.505,3,0.4950914982844072
0.89,0.655,0.655,0.52,3,0.4950914982844072
0.83,0.605,0.57,0.475,3,0.4950914982844072
0.84,0.585,0.6,0.495,3,0.4950914982844072
0.835,0.625,0.62,0.46,3,0.4950914982844072
0.84,0.745,0.715,0.545,3,0.4950914982844072
0.855,0.565,0.535,0.485,3,0.4950914982844072
0.87,0.65,0.685,0.54,3,0.4950914982844072
0.815,0.665,0.64,0.46,3,0.4950914982844072
0.865,0.6,0.615,0.51,3,0.4950914982844072
0.875,0.69,0.715,0.505,3,0.4950914982844072
0.83,0.6,0.595,0.47,3,0.4950914982844072
0.88,0.625,0.665,0.47,3,0.4950914982844072
0.85,0.65,0.58,0.465,3,0.4950914982844072
0.86,0.695,0.705,0.495,3,0.4950914982844072
0.865,0.565,0.53,0.48,3,0.4950914982844072
0.85,0.58,0.56,0.445,3,0.4950914982844072
0.87,0.755,0.715,0.46,3,0.4950914982844072
0.905,0.705,0.74,0.525,3,0.4950914982844072
0.91,0.63,0.59,0.555,3,0.4950914982844072
0.915,0.71,0.71,0.47,3,0.4950914982844072
0.885,0.605,0.64,0.5,3,0.4950914982844072
0.85,0.68,0.685,0.505,3,0.4950914982844072
0.87,0.565,0.565,0.46,3,0.4950914982844072
0.87,0.665,0.675,0.485,3,0.4950914982844072
0.87,0.69,0.705,0.475,3,0.4950914982844072
0.865,0.72,0.74,0.55,3,0.4950914982844072
0.895,0.65,0.635,0.5,3,0.4950914982844072
0.885,0.545,0.59,0.515,3,0.4950914982844072
0.82,0.6,0.625,0.485,3,0.4950914982844072
0.855,0.64,0.615,0.505,3,0.4950914982844072
0.835,0.61,0.635,0.485,3,0.4950914982844072
0.87,0.68,0.72,0.475,3,0.4950914982844072
0.86,0.63,0.55,0.485,3,0.4950914982844072
0.905,0.66,0.68,0.53,3,0.4950914982844072
